workId,axisId,state,value,confidence,authorityClass,sourceType,sourceUrl,edition,scopeMapping,pageOrTimeRefs,sampleCount,contexts,observation,limitation,reviewStatus
dungeon-meshi,artRealism,known,2,0.88,originalPublisher,publisher,https://comic-walker.com/detail/KC_000393_S/episodes/KC_0003930000100011_E?episodeType=first,standard Volume 1; ISBN 9784047301535; released 2015-01-15,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kadocomi viewer p1; Kadocomi viewer p2; Kadocomi viewer p3; Kadocomi viewer p4; Kadocomi viewer p5; Kadocomi viewer p6; Kadocomi viewer p7; Kadocomi viewer p8,8,dungeon approach and party; basilisk combat and cooking,Conventional manga stylization and stable functional anatomy recur across the cited pages.,Six or more distinct official interior pages across at least two contexts were inspected; translated lettering was excluded from artDensity; panel approval remains pending.,modelObservedPendingPanel
dungeon-meshi,artDensity,known,3,0.89,originalPublisher,publisher,https://comic-walker.com/detail/KC_000393_S/episodes/KC_0003930000100011_E?episodeType=first,standard Volume 1; ISBN 9784047301535; released 2015-01-15,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kadocomi viewer p1; Kadocomi viewer p2; Kadocomi viewer p3; Kadocomi viewer p4; Kadocomi viewer p5; Kadocomi viewer p6; Kadocomi viewer p7; Kadocomi viewer p8,8,dungeon approach and party; basilisk combat and cooking,Layered backgrounds and hatching produce above-balanced density; translated lettering was excluded.,Six or more distinct official interior pages across at least two contexts were inspected; translated lettering was excluded from artDensity; panel approval remains pending.,modelObservedPendingPanel
dungeon-meshi,visualSoftness,known,2,0.84,originalPublisher,publisher,https://comic-walker.com/detail/KC_000393_S/episodes/KC_0003930000100011_E?episodeType=first,standard Volume 1; ISBN 9784047301535; released 2015-01-15,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kadocomi viewer p1; Kadocomi viewer p2; Kadocomi viewer p3; Kadocomi viewer p4; Kadocomi viewer p5; Kadocomi viewer p6; Kadocomi viewer p7; Kadocomi viewer p8,8,dungeon approach and party; basilisk combat and cooking,Hard and soft treatments remain balanced across the cited pages.,Six or more distinct official interior pages across at least two contexts were inspected; translated lettering was excluded from artDensity; panel approval remains pending.,modelObservedPendingPanel
dungeon-meshi,motionImpact,known,3,0.86,originalPublisher,publisher,https://comic-walker.com/detail/KC_000393_S/episodes/KC_0003930000100011_E?episodeType=first,standard Volume 1; ISBN 9784047301535; released 2015-01-15,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kadocomi viewer p1; Kadocomi viewer p2; Kadocomi viewer p3; Kadocomi viewer p4; Kadocomi viewer p5; Kadocomi viewer p6; Kadocomi viewer p7; Kadocomi viewer p8; consecutive pages 1-4; consecutive panels 1-8,8,dungeon approach and party; basilisk combat and cooking,The cited continuous sequence uses above-moderate speed and impact emphasis.,The continuous basilisk sequence directly exposes movement; later volumes were not used.,modelObservedPendingPanel
kingdom,artRealism,known,4,0.92,originalPublisher,publisher,https://tonarinoyj.jp/episode/13932016480028986503,standard Volume 1; ISBN 9784088770796; released 2006-05-19,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Tonari no Young Jump turn 4 left page; Tonari no Young Jump turn 4 right page; Tonari no Young Jump turn 8 left page; Tonari no Young Jump turn 8 right page; Tonari no Young Jump turn 12 left page; Tonari no Young Jump turn 12 right page,6,battlefield and journey; village and domestic scenes,"Realistic anatomy, objects, and spatial perspective recur across the cited pages.",Six or more distinct official interior pages across at least two contexts were inspected; translated lettering was excluded from artDensity; panel approval remains pending.,modelObservedPendingPanel
kingdom,artDensity,known,4,0.94,originalPublisher,publisher,https://tonarinoyj.jp/episode/13932016480028986503,standard Volume 1; ISBN 9784088770796; released 2006-05-19,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Tonari no Young Jump turn 4 left page; Tonari no Young Jump turn 4 right page; Tonari no Young Jump turn 8 left page; Tonari no Young Jump turn 8 right page; Tonari no Young Jump turn 12 left page; Tonari no Young Jump turn 12 right page,6,battlefield and journey; village and domestic scenes,"High background, object, and line density recurs; translated lettering was excluded.",Six or more distinct official interior pages across at least two contexts were inspected; translated lettering was excluded from artDensity; panel approval remains pending.,modelObservedPendingPanel
kingdom,visualSoftness,known,0,0.91,originalPublisher,publisher,https://tonarinoyj.jp/episode/13932016480028986503,standard Volume 1; ISBN 9784088770796; released 2006-05-19,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Tonari no Young Jump turn 4 left page; Tonari no Young Jump turn 4 right page; Tonari no Young Jump turn 8 left page; Tonari no Young Jump turn 8 right page; Tonari no Young Jump turn 12 left page; Tonari no Young Jump turn 12 right page,6,battlefield and journey; village and domestic scenes,"Hard angles, coarse marks, or strong black masses dominate the cited pages.",Six or more distinct official interior pages across at least two contexts were inspected; translated lettering was excluded from artDensity; panel approval remains pending.,modelObservedPendingPanel
kingdom,motionImpact,unknown,,,originalPublisher,publisher,https://tonarinoyj.jp/episode/13932016480028986503,standard Volume 1; ISBN 9784088770796; released 2006-05-19,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Tonari no Young Jump turn 4 left page; Tonari no Young Jump turn 4 right page; Tonari no Young Jump turn 8 left page; Tonari no Young Jump turn 8 right page; Tonari no Young Jump turn 12 left page; Tonari no Young Jump turn 12 right page,6,battlefield and journey; village and domestic scenes,No supported value was inferred for this axis from the cited official sample.,The inspected pages do not expose a representative continuous action sequence; motion remains unknown.,modelObservedPendingPanel
fullmetal-alchemist,artRealism,known,2,0.90,originalPublisher,publisher,https://magazine.jp.square-enix.com/gangan/tcym/hagaren_01/index.html,standard Volume 1; ISBN 9784757506206; released 2002-01-22,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Square Enix viewer frame 4 left page; Square Enix viewer frame 4 right page; Square Enix viewer frame 7 left page; Square Enix viewer frame 7 right page; Square Enix viewer frame 10 left page; Square Enix viewer frame 10 right page,6,alchemy incident; church interior and dialogue,Conventional manga stylization and stable functional anatomy recur across the cited pages.,Six or more distinct official interior pages across at least two contexts were inspected; translated lettering was excluded from artDensity; panel approval remains pending.,modelObservedPendingPanel
fullmetal-alchemist,artDensity,known,2,0.89,originalPublisher,publisher,https://magazine.jp.square-enix.com/gangan/tcym/hagaren_01/index.html,standard Volume 1; ISBN 9784757506206; released 2002-01-22,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Square Enix viewer frame 4 left page; Square Enix viewer frame 4 right page; Square Enix viewer frame 7 left page; Square Enix viewer frame 7 right page; Square Enix viewer frame 10 left page; Square Enix viewer frame 10 right page,6,alchemy incident; church interior and dialogue,Background detail and whitespace are balanced; translated lettering was excluded.,Six or more distinct official interior pages across at least two contexts were inspected; translated lettering was excluded from artDensity; panel approval remains pending.,modelObservedPendingPanel
