workId,canonicalTitle,officialUrl,sourceName,sourceType,publishedAt,retrievedAt,editionMapping,accessResult,readableInternalPageCount,distinctContextCount,pageRefs,staticGateAttemptable,motionGateAttemptable,stateEligibility,temporarySampleSha256,limitation
work-84b7c7d7720447075c25,軍靴のバルツァー,https://www.shinchosha.co.jp/book/771626/,新潮社 軍靴のバルツァー 1巻,officialPublisherProduct,2011-07-08,2026-08-23,official standard volume 1 product maps directly to frozen ISBN 9784107716262,official-product-only,0,0,,false,false,unknown-ready,,The official product page exposes no publisher internal preview and no eligible page sample was found so all Art axes close unknown without a blocker
work-9072892a767332254f00,flat,https://magcomi.com/episode/13933686331605684933,マグコミ 公式第1話,officialPublisherInternalPreview,2020-03-05,2026-08-23,official first episode identifies 青桐ナツ and links related flat 1 ISBN 9784861275333,accessible,6,3,reader-step-01;reader-step-07;reader-step-14,true,false,sample-ready,reader-step-01=0d8947d8fa15e9bd46fbd2ab2096d425c8f9f6d187558127b22881254cad75ab;reader-step-07=941802b172d239366f134d853023882c69af2104352c78b44b65455bccff3805;reader-step-14=3c16587217534b463d67d911c871097d063d5b9b825d68d6c5a8b5c4d14373d4,Count capped at six after threshold; the school departure home bookcase and doorway mishap groups do not form one exact bounded action sequence
work-98b7d2ef065bde405972,スーパーの裏でヤニ吸うふたり,https://magazine.jp.square-enix.com/biggangan/introduction/yanisuu/,月刊ビッグガンガン 公式作品紹介・第1話プレビュー,officialPublisherInternalPreview,undated,2026-08-23,official introduction page lists volume 1 ISBN 9784757580947 and embeds the opening episode,accessible,6,3,preview-slide-02;preview-slide-05;preview-slide-08,true,false,sample-ready,preview-slide-02=4175c07a282221d9d5c9a2ad4448f332e2f040ceae9d5ccfa8912b8865f309e6;preview-slide-05=2e0830778c651c337ac9e444b064132deccf214c3fb864eb7252291ac2bb817f;preview-slide-08=e242d3fc174b3f8f73fd7fe60b9a25014f377a730844ed1d8497268881c8ca7d,Count capped at six after threshold; meeting smoking conversation and store-departure contexts are discontinuous and cannot establish motion
work-a59481c00155de21d75f,ケロロ軍曹,https://www.kadokawa.co.jp/product/200659000036/,KADOKAWA ケロロ軍曹 1巻,officialPublisherProduct,1999-11-29,2026-08-23,official volume 1 product maps directly to frozen ISBN 9784047133075 and delegates trial reading to BOOK☆WALKER,delegated-preview-timeout,0,0,,false,false,unknown-ready,,The exact publisher-linked BOOK☆WALKER sample did not complete loading under repeated browser attempts; no pixels were retained and all Art axes close unknown without a blocker
work-a8349445836546a82934,百姓貴族,https://www.shinshokan.com/comic/tameshiyomi/67085-5/html5.html#page=1,新書館 公式試し読み,officialPublisherInternalPreview,undated,2026-08-23,viewer title 百姓貴族（1） and official product identifier 67085-5 map to frozen volume 1 ISBN 9784403670855,accessible,6,3,p004-p005;p006-p007;p010-p011,true,false,sample-ready,p004-p005=b563ccfcd8e7a664958245b4a0cb3641fc26c3e3be72c953f7216e46dd860499;p006-p007=f42373030ad7b3084a4591eb3e46925f396e3ef766dc41a42541d45a397bce12;p010-p011=c5c6b7cc6b01f62ff4749e5a966f1d925c3e06ab6a9273b666c19d74588b8b4f,Count capped at six after threshold; food supply dairy and household-purchase contexts are discontinuous and no bounded motion sequence was isolated
work-ab95f4d4997113e0687a,月刊少女野崎くん,https://www.ganganonline.com/title/6/chapter/284,ガンガンONLINE 公式第1号,officialPublisherInternalPreview,undated,2026-08-23,official volume 1 product ISBN 9784757535664 and official title page route identify the same opening chapter and creators,accessible,6,3,reader-step-01;reader-step-03;reader-step-06,true,false,sample-ready,reader-step-01=20816d211162275f939d9b979ee440eb8e1463700de446933c8a1902bb735b98;reader-step-03=c02f296b0a5db79be0690908ebd8ba919e9cdb85228d6f468a7c436e9cd94724;reader-step-06=c1464234ca80eb11e0ca5f2e29e6c3c2d029dbfb793b811ac2fa0b2851752d3b,Count capped at six after threshold; confession manga-work and renewed-confession groups are discontinuous and do not preserve a bounded action sequence
work-ad32c71b07fd13c65a79,私の推しは悪役令嬢。,https://ichicomi.com/episode/2550912965923202772,一迅プラス 公式第1話,officialPublisherInternalPreview,2025-08-08,2026-08-23,official episode page identifies the manga creators and links related volume 1 ISBN 9784758021937,accessible,6,3,p008-p009;p010-p011;p018-p019,true,false,sample-ready,p008-p009=0e7e695678945d6590ddd2b0c74cf09c9dcadf173885b335a207de8f6213ec2b;p010-p011=660b8668aa3cde12c92ff444a187903efa2872e28a46c8c8beeccb9aae3924ce;p018-p019=6a06fb4e213bf1c7cc8e29558a5cf3f8f1a1e75d8d0d3ffcee91304171d71159,The color chapter-title splash was excluded; six later internal pages cover awakening courtyard and school-corridor contexts without a bounded action sequence
work-bbeeaad9e37ab267dc29,僕とロボコ,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088825090,集英社 公式試し読み,officialPublisherInternalPreview,2020-11-04,2026-08-23,reader cid is the exact frozen volume 1 ISBN 9784088825090,accessible,6,3,reader-step-05;reader-step-07;reader-step-09,true,false,sample-ready,reader-step-05=c3377b8c70d2234af5dce14ddb15f9b04822582eb97cf5f26892281342520dca;reader-step-07=a3af60046761a29647561ba0e02932f9fdca3613db5df61c33a6fc0e8cd99dc5;reader-step-09=d2b252e35c646da85a949a75f39d5ddb6c43c276df51aee753335814ded0f0f3,Title and cover pages were excluded; six internal pages cover motorcycle arrival kitchen and emotional-misunderstanding contexts without exact motion bounds
work-c221a17d6b962b17c9f4,屍鬼,https://www.shueisha.co.jp/books/reader/main.php?cid=08874549874549315501,集英社 公式試し読み,officialPublisherInternalPreview,2008-07-04,2026-08-23,official digital volume 1 JDCN preserves original volume order and paper release date but the reader does not display frozen paper ISBN 9784088745497,accessible-with-paper-isbn-caveat,6,3,reader-step-05;reader-step-09;reader-step-13,true,false,sample-ready,reader-step-05=0314513a707995c7a70c042b737834447f255608ce41779e1e125736a057cc4f;reader-step-09=9674ab4178f76ef0b26aa7aadb389a80af2219dc3310fb897a075f141b72d5c5;reader-step-13=0bdc77903fc8a2403ff5b9527fcbfe0358d4f55ab85df145d667b8df1e7d430e,Static judgments are limited to the officially bridged original-volume digital sample; three discontinuous contexts do not establish motion
work-c55467873ec70e670484,大ダーク,https://sc-portal.tameshiyo.me/9784091294869,小学館 公式試し読み,officialPublisherInternalPreview,2019-11-12,2026-08-23,trial URL embeds the exact frozen volume 1 ISBN 9784091294869,accessible,6,3,p008-p009;p016-p017;p024-p025,true,false,sample-ready,p008-p009=1319e29f58481907bb79ce323788647faee770bd7ceadfc35fb35062a9fc254f;p016-p017=64aeeba5650537fe417ca94cd4b5508405e29d18d23b674672362224618b7e8b;p024-p025=1195fe19d32ac9c27e4edab021a0d06a0151009bcdd71db9087615dd6dfd2a32,Opening cover color plates and tutorial-obscured captures were excluded; six body pages cover ship confrontation corpse declaration and laboratory corridor without a bounded action sequence
