workId,catalogRole,seriesGroupId,volumeCount,sourceName,sourceUrl,sourcePublishedAt,retrievedAt,statusNote
work-017446dd1a9039d9839b,anchor,,10,講談社 サンダー３,https://www.kodansha.co.jp/titles/1000042981,2026-08-17,2026-08-23,Complete at 10 standard volumes.
work-02d5d329c9ef85e481cb,discovery,,36,小学館コミック のたり松太郎 36,https://shogakukan-comic.jp/book?jdcn=091850860000d0000000,2017-12-01,2026-08-23,Complete historical run at 36 standard Big Comics volumes.
work-089947c5303024841fef,bridge,,12,集英社 デカワンコ 12,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08865664865501315501,2013-03-25,2026-08-23,Standard volumes 1-12 were released; the publisher does not mark the series complete or ongoing.
work-0e036724913c69bb937a,anchor,,8,集英社 ファイアパンチ 8,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-881327-1,2018-02-02,2026-08-23,Complete at 8 standard Jump Comics volumes.
work-1088a1dc00a3b0d22201,anchor,,1,小学館コミック 邪眼は月輪に飛ぶ,https://shogakukan-comic.jp/book?isbn=9784091811974,2007-04-27,2026-08-23,Complete in 1 standard volume; the official series catalog explicitly states one volume complete.
work-19a26f01512166856a6a,anchor,,21,小学館 銀河鉄道999 21,https://www.shogakukan.co.jp/books/09188181,2005-03-30,2026-08-23,Complete at 21 current standard Big Comics volumes; later collector editions are excluded.
work-1e27731b880d0d9012f8,discovery,,4,小学館 吉祥天女 4,https://www.shogakukan.co.jp/books/09131304,1984-09-26,2026-08-23,Complete at 4 standard Flower Comics volumes.
work-207bb1ca28b7472fbe1d,anchor,,24,小学館 六三四の剣 24,https://www.shogakukan.co.jp/books/09121324,1985-11-18,2026-08-23,Complete at 24 standard Shonen Sunday Comics volumes.
work-23851cd7ccf1d0c676cc,bridge,,16,集英社 怪獣8号 16,https://www.shueisha.co.jp/books/items/contents_amp.html?isbn=978-4-08-884726-9,2025-09-04,2026-08-23,Complete at 16 standard main-series volumes; Side B and RELAX are excluded.
work-29d4300ad9d3358fb67a,discovery,,1,講談社 外天楼,https://www.kodansha.co.jp/comic/products/0000223170,2011-10-21,2026-08-23,Complete in 1 original KC Deluxe volume; the later Kodansha bunko reissue is excluded.
work-3dfaf6231e21133620c6,anchor,,17,講談社 忍者と極道,https://www.kodansha.co.jp/titles/1000036050,2026-04-08,2026-08-23,Ongoing; standard volumes 1-17 were released by the cutoff.
work-3e725951eb9c49771087,bridge,,10,白泉社 嘘解きレトリック 10,https://www.hakusensha.co.jp/comicslist/52166/,2018-08-20,2026-08-23,Complete at 10 standard Hana to Yume Comics volumes.
work-4c784fc78dfd9b139c3f,anchor,,8,集英社 正反対な君と僕 8,https://www.shueisha.co.jp/books/items/contents_amp.html?jdcn=08X10000000059600800,2025-03-04,2026-08-23,Complete at 8 standard Jump Comics volumes.
work-518d7ed42dd9253679c3,anchor,,11,小学館 墨攻 11,https://www.shogakukan.co.jp/books/09183236,1996-09-30,2026-08-23,Complete at 11 standard Big Comics volumes.
work-53e54c95f637b66c4fb2,anchor,,28,小学館 がんばれ元気 28,https://www.shogakukan.co.jp/books/09120488,1981-07-17,2026-08-23,Complete at 28 standard Shonen Sunday Comics volumes.
work-5915d6d7601377fcc75f,bridge,,27,白泉社 赤髪の白雪姫 27,https://www.hakusensha.co.jp/comicslist/74758/,2025-05-02,2026-08-23,Not marked complete; standard volumes 1-27 were released by the cutoff.
work-5b4dc4e6e966436b2990,discovery,,4,白泉社 人形芝居 4,https://www.hakusensha.co.jp/comicslist/52004/,2018-06-20,2026-08-23,Four standard volumes were released; the publisher does not explicitly classify completion or continuation.
work-5b9a3ec60ac5fc90f444,bridge,,24,コミックグロウル 魔法使いの嫁 24,https://comic-growl.com/store_items/17424,2026-04-08,2026-08-23,Ongoing at 24 released standard manga volumes; volume 25 is scheduled after the cutoff and is excluded.
