position,workId,canonicalTitle,narrativeKnown,toneKnown,artKnown,genreCount,themeCount,outcome,blockerCode,blockerDetails
1,work-017446dd1a9039d9839b,サンダー３,3,4,3,2,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600); Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota.
2,work-02d5d329c9ef85e481cb,のたり松太郎,6,5,3,2,3,recommendationVerified,,
3,work-089947c5303024841fef,デカワンコ,4,5,3,2,2,recommendationVerified,,
4,work-0e036724913c69bb937a,ファイアパンチ,4,5,3,3,4,recommendationVerified,,
5,work-1012948f5de799831da4,RED,2,4,0,1,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Tone 4/7=0.571 (<0.600); Art 0/4=0.000 (<0.300). Unknown is not a low value and no value was filled to meet a quota.
6,work-1088a1dc00a3b0d22201,邪眼は月輪に飛ぶ,4,5,3,2,2,recommendationVerified,,
7,work-19a26f01512166856a6a,銀河鉄道999,2,4,3,1,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota.
8,work-1e27731b880d0d9012f8,吉祥天女,0,5,4,0,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 0/6=0.000 (<0.600); Genre 0. Unknown is not a low value and no value was filled to meet a quota.
9,work-207bb1ca28b7472fbe1d,六三四の剣,6,5,4,1,2,recommendationVerified,,
10,work-23851cd7ccf1d0c676cc,怪獣8号,4,5,3,2,2,recommendationVerified,,
11,work-29d4300ad9d3358fb67a,外天楼,4,3,3,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Tone 3/7=0.429 (<0.600). Unknown is not a low value and no value was filled to meet a quota.
12,work-3dfaf6231e21133620c6,忍者と極道,4,5,3,1,2,recommendationVerified,,
13,work-3e725951eb9c49771087,嘘解きレトリック,4,5,3,2,1,recommendationVerified,,
14,work-40b8c35b1d8c9a90144c,orange,0,0,0,0,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600); Art 0/4=0.000 (<0.300); Genre 0; Theme 0. Unknown is not a low value and no value was filled to meet a quota.
15,work-4c784fc78dfd9b139c3f,正反対な君と僕,5,5,3,3,1,recommendationVerified,,
16,work-518d7ed42dd9253679c3,墨攻,5,4,3,2,3,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota.
17,work-53e54c95f637b66c4fb2,がんばれ元気,4,5,3,1,2,recommendationVerified,,
18,work-5915d6d7601377fcc75f,赤髪の白雪姫,4,6,3,2,2,recommendationVerified,,
19,work-5b4dc4e6e966436b2990,人形芝居,4,5,3,2,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Theme 0. Unknown is not a low value and no value was filled to meet a quota.
20,work-5b9a3ec60ac5fc90f444,魔法使いの嫁,4,6,3,2,1,recommendationVerified,,
21,work-5cafd57db6b870a71a05,機動警察パトレイバー,4,5,0,0,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Art 0/4=0.000 (<0.300); Genre 0; Theme 0. Unknown is not a low value and no value was filled to meet a quota.
22,work-5e20323e014d6d390aaf,あさひなぐ,4,5,3,1,3,recommendationVerified,,
23,work-5ebbc9bede841d2faf7b,高台家の人々,3,6,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600). Unknown is not a low value and no value was filled to meet a quota.
24,work-6f849a8e785deee3d5dc,怪物事変,4,5,3,2,2,recommendationVerified,,
25,work-71e824df2e6bc2125294,SAKAMOTO DAYS,4,5,4,1,2,recommendationVerified,,
26,work-7975d62582a89492a35f,図書館の大魔術師,4,5,3,1,2,recommendationVerified,,
27,work-7d259c925286a9f91310,聖☆おにいさん,3,5,3,3,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600); Theme 0. Unknown is not a low value and no value was filled to meet a quota.
28,work-8147aefccc365b0ecb4d,黒執事,4,5,3,2,3,recommendationVerified,,
29,work-838a6f0ad2d1ef487588,信長協奏曲,4,5,3,2,4,recommendationVerified,,
30,work-83fc3c4366e51b35b821,風と木の詩,4,5,0,0,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Art 0/4=0.000 (<0.300); Genre 0; Theme 0. Unknown is not a low value and no value was filled to meet a quota.
31,work-84b7c7d7720447075c25,軍靴のバルツァー,4,4,0,1,3,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Tone 4/7=0.571 (<0.600); Art 0/4=0.000 (<0.300). Unknown is not a low value and no value was filled to meet a quota.
32,work-9072892a767332254f00,flat,4,5,3,1,1,recommendationVerified,,
33,work-98b7d2ef065bde405972,スーパーの裏でヤニ吸うふたり,4,5,3,1,1,recommendationVerified,,
34,work-a59481c00155de21d75f,ケロロ軍曹,4,4,0,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Tone 4/7=0.571 (<0.600); Art 0/4=0.000 (<0.300). Unknown is not a low value and no value was filled to meet a quota.
35,work-a8349445836546a82934,百姓貴族,4,5,3,1,2,recommendationVerified,,
36,work-ab95f4d4997113e0687a,月刊少女野崎くん,4,5,3,2,2,recommendationVerified,,
37,work-ad32c71b07fd13c65a79,私の推しは悪役令嬢。,4,5,3,2,3,recommendationVerified,,
38,work-bbeeaad9e37ab267dc29,僕とロボコ,4,5,3,3,1,recommendationVerified,,
39,work-c221a17d6b962b17c9f4,屍鬼,4,5,3,2,1,recommendationVerified,,
40,work-c55467873ec70e670484,大ダーク,5,6,3,2,2,recommendationVerified,,
41,work-ccf0ddff9c6410c4de14,サンキューピッチ,5,5,4,1,2,recommendationVerified,,
42,work-cdef8cfd678998a51447,うさぎドロップ,4,5,3,1,1,recommendationVerified,,
43,work-ced7a8e6d9c3b8147702,水は海に向かって流れる,4,5,3,1,1,recommendationVerified,,
44,work-daf65c6f2cce3e076dfa,凪のお暇,4,6,3,2,1,recommendationVerified,,
45,work-db80d94709b62aa8823f,逃げ上手の若君,5,5,3,2,5,recommendationVerified,,
46,work-ef1bdac46a0956a87f7f,タコピーの原罪,4,5,3,1,1,recommendationVerified,,
47,work-f5847c45d30753150364,闇のパープル・アイ,3,5,3,2,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600). Unknown is not a low value and no value was filled to meet a quota.
48,work-fabc7f5d853e361acaf3,YAIBA,4,5,4,2,2,recommendationVerified,,
49,work-fb7a0ed6a88db7d7bc71,夢の碑,4,5,0,3,3,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Art 0/4=0.000 (<0.300). Unknown is not a low value and no value was filled to meet a quota.
50,work-fd88144bf7334c4aae39,おそ松くん,0,0,0,1,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Finite official-first routes exhausted; unchanged promotion coverage fails: Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600); Art 0/4=0.000 (<0.300); Theme 0. Unknown is not a low value and no value was filled to meet a quota.
