id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-batch-003-text-work-0029e59a039dce3f6e74,work-0029e59a039dce3f6e74,work,work-0029e59a039dce3f6e74,model,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-891650-7,2026-08-25T00:00:00+09:00,batch-003-text-overlay-v1,false,0.72,"reviewedByHuman=false; primary source lead/index=集英社 【推しの子】 1권 상품 페이지; source published=2020-07-17 (단행본 발매일; 웹 페이지 자체는 무기재); retrieved=2026-08-23; the sourceUrl is a research lead/index and is not asserted as the sole support for every Axis or Theme. Supporting official, annotation, review, and adjudication packets are immutably bound under final-overlay-validation.json inputBindings; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff. Official-first entry-range research, independent Pass B, and Local Codex Pass C were combined claim by claim. Multiple independent user observations were supplemental only where recorded; selection provenance was not reused as Factor evidence."
ev-batch-003-art-work-0029e59a039dce3f6e74-art-realism,work-0029e59a039dce3f6e74,axis,artRealism,publisher,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088916507,2026-08-25T00:00:00+09:00,batch-003-art-overlay-v1,false,0.82,reviewedByHuman=false; source=集英社 公式試し読み; published=2020-07-17; retrieved=2026-08-23; Local Codex and gemini-3.7-flash-high pixel quorum; Cursor Grok ART_ABSTAIN; Muse NOT_USED; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff; Only six readable pages from three early volume-one contexts were reviewed; later visual changes were not assessed.; Count capped at six after threshold; deterministic reader-step refs are used because print folios are not visible consistently; no bounded continuous start-development-impact-end sequence was isolated; temporary sample SHA-256=58c489b72d2f9fcafd861382df49110da96379e95955a2d1b8656f983f9b1bcc;ad792627f3a5fb6f959643389c587c61e998306878bcf9c6e0a22ea325e1307b;45f40f94cfad1e0fe6f9fdb5e5f2cf05cefc8a06fad543ce1fc0ce499fe83b76. Temporary images and paths are not committed.
ev-batch-003-art-work-0029e59a039dce3f6e74-art-density,work-0029e59a039dce3f6e74,axis,artDensity,publisher,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088916507,2026-08-25T00:00:00+09:00,batch-003-art-overlay-v1,false,0.88,reviewedByHuman=false; source=集英社 公式試し読み; published=2020-07-17; retrieved=2026-08-23; Local Codex and gemini-3.7-flash-high pixel quorum; Cursor Grok ART_ABSTAIN; Muse NOT_USED; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff; The decision covers six official volume-one pages across three contexts and does not generalize beyond them.; Count capped at six after threshold; deterministic reader-step refs are used because print folios are not visible consistently; no bounded continuous start-development-impact-end sequence was isolated; temporary sample SHA-256=58c489b72d2f9fcafd861382df49110da96379e95955a2d1b8656f983f9b1bcc;ad792627f3a5fb6f959643389c587c61e998306878bcf9c6e0a22ea325e1307b;45f40f94cfad1e0fe6f9fdb5e5f2cf05cefc8a06fad543ce1fc0ce499fe83b76. Temporary images and paths are not committed.
ev-batch-003-art-work-0029e59a039dce3f6e74-visual-softness,work-0029e59a039dce3f6e74,axis,visualSoftness,publisher,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088916507,2026-08-25T00:00:00+09:00,batch-003-art-overlay-v1,false,0.78,reviewedByHuman=false; source=集英社 公式試し読み; published=2020-07-17; retrieved=2026-08-23; Local Codex and gemini-3.7-flash-high pixel quorum; Cursor Grok ART_ABSTAIN; Muse NOT_USED; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff; The sample contains both polished character close-ups and one gritty scene so the upper-softness anchor is not fully sustained.; Count capped at six after threshold; deterministic reader-step refs are used because print folios are not visible consistently; no bounded continuous start-development-impact-end sequence was isolated; temporary sample SHA-256=58c489b72d2f9fcafd861382df49110da96379e95955a2d1b8656f983f9b1bcc;ad792627f3a5fb6f959643389c587c61e998306878bcf9c6e0a22ea325e1307b;45f40f94cfad1e0fe6f9fdb5e5f2cf05cefc8a06fad543ce1fc0ce499fe83b76. Temporary images and paths are not committed.
ev-batch-003-art-work-0029e59a039dce3f6e74-motion-impact,work-0029e59a039dce3f6e74,axis,motionImpact,publisher,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088916507,2026-08-25T00:00:00+09:00,batch-003-art-overlay-v1,false,1,reviewedByHuman=false; source=集英社 公式試し読み; published=2020-07-17; retrieved=2026-08-23; Local Codex and gemini-3.7-flash-high pixel quorum; Cursor Grok ART_ABSTAIN; Muse NOT_USED; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff; No start-development-impact-end sequence was available; isolated poses and panel changes cannot support a numeric value.; Count capped at six after threshold; deterministic reader-step refs are used because print folios are not visible consistently; no bounded continuous start-development-impact-end sequence was isolated; temporary sample SHA-256=58c489b72d2f9fcafd861382df49110da96379e95955a2d1b8656f983f9b1bcc;ad792627f3a5fb6f959643389c587c61e998306878bcf9c6e0a22ea325e1307b;45f40f94cfad1e0fe6f9fdb5e5f2cf05cefc8a06fad543ce1fc0ce499fe83b76. Temporary images and paths are not committed.
ev-batch-003-text-work-064c0062e7a8e29cfbed,work-064c0062e7a8e29cfbed,work,work-064c0062e7a8e29cfbed,model,https://e-comi.shogakukan.co.jp/books/091577840000d0000000,2026-08-25T00:00:00+09:00,batch-003-text-overlay-v1,false,0.75,"reviewedByHuman=false; primary source lead/index=小学館eコミックストア COSMOS 1권 작품 페이지; source published=2023-11-17 (단행본 발매일); retrieved=2026-08-23; the sourceUrl is a research lead/index and is not asserted as the sole support for every Axis or Theme. Supporting official, annotation, review, and adjudication packets are immutably bound under final-overlay-validation.json inputBindings; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff. Official-first entry-range research, independent Pass B, and Local Codex Pass C were combined claim by claim. Multiple independent user observations were supplemental only where recorded; selection provenance was not reused as Factor evidence."
ev-batch-003-art-work-064c0062e7a8e29cfbed-art-realism,work-064c0062e7a8e29cfbed,axis,artRealism,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091577840000d0000000,2026-08-25T00:00:00+09:00,batch-003-art-overlay-v1,false,0.88,reviewedByHuman=false; source=小学館eコミックストア 公式試し読み; published=2023-11-17; retrieved=2026-08-23; Local Codex and gemini-3.7-flash-high pixel quorum; Cursor Grok ART_ABSTAIN; Muse NOT_USED; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff; The decision is bounded to six official early volume-one pages and does not establish later-volume consistency.; Count capped at six after threshold; deterministic reader-step refs are used where folios are not consistently visible; printed p065-p066 at reader-step-19 contains an exact throw-development-impact-immediate-aftermath sequence so motion review is attemptable; temporary sample SHA-256=083baa9f95694b76db5a6f1a8ccabecde2b1e9148631ae87da1895e10473953a;e4dd07ab6d5eafd20b0a631fa83c1778fa042fe93609d20e15ad64945a2fd6f3;9eef7c17a070271f84b71cb1a78b1aaa3a9623a5506898c59001cd1601f0536b. Temporary images and paths are not committed.
ev-batch-003-art-work-064c0062e7a8e29cfbed-art-density,work-064c0062e7a8e29cfbed,axis,artDensity,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091577840000d0000000,2026-08-25T00:00:00+09:00,batch-003-art-overlay-v1,false,0.87,reviewedByHuman=false; source=小学館eコミックストア 公式試し読み; published=2023-11-17; retrieved=2026-08-23; Local Codex and gemini-3.7-flash-high pixel quorum; Cursor Grok ART_ABSTAIN; Muse NOT_USED; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff; The action spread is locally dense but does not make high density persistent across all three sampled contexts.; Count capped at six after threshold; deterministic reader-step refs are used where folios are not consistently visible; printed p065-p066 at reader-step-19 contains an exact throw-development-impact-immediate-aftermath sequence so motion review is attemptable; temporary sample SHA-256=083baa9f95694b76db5a6f1a8ccabecde2b1e9148631ae87da1895e10473953a;e4dd07ab6d5eafd20b0a631fa83c1778fa042fe93609d20e15ad64945a2fd6f3;9eef7c17a070271f84b71cb1a78b1aaa3a9623a5506898c59001cd1601f0536b. Temporary images and paths are not committed.
ev-batch-003-art-work-064c0062e7a8e29cfbed-visual-softness,work-064c0062e7a8e29cfbed,axis,visualSoftness,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091577840000d0000000,2026-08-25T00:00:00+09:00,batch-003-art-overlay-v1,false,0.79,reviewedByHuman=false; source=小学館eコミックストア 公式試し読み; published=2023-11-17; retrieved=2026-08-23; Local Codex and gemini-3.7-flash-high pixel quorum; Cursor Grok ART_ABSTAIN; Muse NOT_USED; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff; The small sample spans quiet dialogue and one action sequence; neither consistently rough nor consistently soft rendering dominates.; Count capped at six after threshold; deterministic reader-step refs are used where folios are not consistently visible; printed p065-p066 at reader-step-19 contains an exact throw-development-impact-immediate-aftermath sequence so motion review is attemptable; temporary sample SHA-256=083baa9f95694b76db5a6f1a8ccabecde2b1e9148631ae87da1895e10473953a;e4dd07ab6d5eafd20b0a631fa83c1778fa042fe93609d20e15ad64945a2fd6f3;9eef7c17a070271f84b71cb1a78b1aaa3a9623a5506898c59001cd1601f0536b. Temporary images and paths are not committed.
ev-batch-003-art-work-064c0062e7a8e29cfbed-motion-impact,work-064c0062e7a8e29cfbed,axis,motionImpact,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091577840000d0000000,2026-08-25T00:00:00+09:00,batch-003-art-overlay-v1,false,0.91,reviewedByHuman=false; source=小学館eコミックストア 公式試し読み; published=2023-11-17; retrieved=2026-08-23; Local Codex and gemini-3.7-flash-high pixel quorum; Cursor Grok ART_ABSTAIN; Muse NOT_USED; combined input/review packet SHA-256=f4f08de2b64f307247b140ef10810a100bb07e05bd42593130818edf00158bff; The value applies only to this exact bounded official volume-one sequence and is not inferred from isolated poses or the work genre.; Count capped at six after threshold; deterministic reader-step refs are used where folios are not consistently visible; printed p065-p066 at reader-step-19 contains an exact throw-development-impact-immediate-aftermath sequence so motion review is attemptable; temporary sample SHA-256=083baa9f95694b76db5a6f1a8ccabecde2b1e9148631ae87da1895e10473953a;e4dd07ab6d5eafd20b0a631fa83c1778fa042fe93609d20e15ad64945a2fd6f3;9eef7c17a070271f84b71cb1a78b1aaa3a9623a5506898c59001cd1601f0536b. Temporary images and paths are not committed.
