workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
work-0029e59a039dce3f6e74,anchor,,16,,
work-064c0062e7a8e29cfbed,anchor,,9,,
work-131ba7a362fa9e38a10a,discovery,,8,,
work-174e7603bb0e71bb62ab,anchor,,20,,
work-1d447cc9026b530fb53d,bridge,,11,,
work-550854424fc9cc94d585,bridge,,10,,
work-5baea1ce0e7e74df34b9,anchor,,8,,
work-88e75622b83b794c03ac,discovery,,7,,
work-a25bac53b4757f13f21a,anchor,,31,,
work-f1d22b68efa7fbd501ee,discovery,,6,,
work-f6fa4c2d3a7e1dc5257b,bridge,,27,,
