mappingId,sourceItemId,candidateId,workId,mappingType,canonicalTitleJa,confidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,notes
mapping-c70561f9b04ac5cee307,konomanga-2022-ranking-07,candidate-0029e59a039dce3f6e74,work-0029e59a039dce3f6e74,included,【推しの子】,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4815/,2021-12-07,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4815/; rakutenProductUrl=https://books.rakuten.co.jp/rb/16373626/; normalizedTitle=【推しの子】; matchedRakutenAuthor=赤坂 アカ × 横槍 メンゴ; isbn=9784088916507.
mapping-1354960cf97f92149517,mangataisho-2021-005,candidate-0029e59a039dce3f6e74,work-0029e59a039dce3f6e74,duplicate,【推しの子】,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2021.html,2021,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2021.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/16373626/; normalizedTitle=【推しの子】; matchedRakutenAuthor=赤坂 アカ × 横槍 メンゴ; isbn=9784088916507.
mapping-1a85389cc013ece22423,mangataisho-2022-008,candidate-0029e59a039dce3f6e74,work-0029e59a039dce3f6e74,duplicate,【推しの子】,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2022.html,2022,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2022.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/16373626/; normalizedTitle=【推しの子】; matchedRakutenAuthor=赤坂 アカ × 横槍 メンゴ; isbn=9784088916507.
mapping-111f0af735e82372ee55,tsugimanga-2021-comics-007,candidate-0029e59a039dce3f6e74,work-0029e59a039dce3f6e74,duplicate,【推しの子】,1,KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match,https://tsugimanga.jp/winner/2021/comics,2021-08-24,2026-08-22,sourceOfficialUrl=https://tsugimanga.jp/winner/2021/comics; rakutenProductUrl=https://books.rakuten.co.jp/rb/16373626/; normalizedTitle=【推しの子】; matchedRakutenAuthor=赤坂 アカ × 横槍 メンゴ; isbn=9784088916507.
mapping-46f9fbbc1cd5b491be4d,mangataisho-2008-023,candidate-048a39f42bd18cb0823e,work-048a39f42bd18cb0823e,included,大東京トイボックス,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2008.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4290644/; normalizedTitle=大東京といぼっくす; matchedRakutenAuthor=うめ; isbn=9784344809437.
mapping-294c969d48e511009deb,mangataisho-2009-013,candidate-048a39f42bd18cb0823e,work-048a39f42bd18cb0823e,duplicate,大東京トイボックス,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2009.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4290644/; normalizedTitle=大東京といぼっくす; matchedRakutenAuthor=うめ; isbn=9784344809437.
mapping-a0f92650109e2d515f8d,mangataisho-2010-032,candidate-048a39f42bd18cb0823e,work-048a39f42bd18cb0823e,duplicate,大東京トイボックス,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2010.html,2010,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2010.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4290644/; normalizedTitle=大東京といぼっくす; matchedRakutenAuthor=うめ; isbn=9784344809437.
mapping-5acc4e353d67125c3d10,mangataisho-2012-002,candidate-048a39f42bd18cb0823e,work-048a39f42bd18cb0823e,duplicate,大東京トイボックス,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2012.html,2012,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2012.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4290644/; normalizedTitle=大東京といぼっくす; matchedRakutenAuthor=うめ; isbn=9784344809437.
mapping-80497135118930004d51,mangataisho-2008-140,candidate-04f35b4c99514d50231d,work-04f35b4c99514d50231d,included,デトロイト・メタル・シティ,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2008.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4021813/; normalizedTitle=でとろいと めたる してぃ; matchedRakutenAuthor=若杉公徳; isbn=9784592143512.
mapping-2301bf131c548a0c6e14,mangataisho-2009-135,candidate-04f35b4c99514d50231d,work-04f35b4c99514d50231d,duplicate,デトロイト・メタル・シティ,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2009.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4021813/; normalizedTitle=でとろいと めたる してぃ; matchedRakutenAuthor=若杉公徳; isbn=9784592143512.
mapping-eb24c121b11cef4faedb,nippan-bookseller-recommendations-2007-001,candidate-04f35b4c99514d50231d,work-04f35b4c99514d50231d,duplicate,デトロイト・メタル・シティ,1,日本出版販売「全国書店員が選んだおすすめコミック」 official selection + Rakuten Books exact product match,https://hon-hikidashi.jp/event/104741/,2007,2026-08-22,sourceOfficialUrl=https://hon-hikidashi.jp/event/104741/; rakutenProductUrl=https://books.rakuten.co.jp/rb/4021813/; normalizedTitle=でとろいと めたる してぃ; matchedRakutenAuthor=若杉公徳; isbn=9784592143512.
mapping-90573e79c791e9fb2450,mangataisho-2025-008,candidate-064c0062e7a8e29cfbed,work-064c0062e7a8e29cfbed,duplicate,COSMOS,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/index.html,2025,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/index.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/17655999/; normalizedTitle=cosmos; matchedRakutenAuthor=田村 隆平; isbn=9784091577849.
