candidateId,safetyStatus,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,reviewedAt,notes
candidate-0029e59a039dce3f6e74,safe,宝島社「このマンガがすごい！」編集部 mainstream selection + Rakuten Books manga category,https://sugoiweb.jp/column/4815/,2021-12-07,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001003005; rakutenProductUrl=https://books.rakuten.co.jp/rb/16373626/.
candidate-048a39f42bd18cb0823e,safe,マンガ大賞実行委員会 mainstream selection + Rakuten Books manga category,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001003020; rakutenProductUrl=https://books.rakuten.co.jp/rb/4290644/.
candidate-04f35b4c99514d50231d,safe,マンガ大賞実行委員会 mainstream selection + Rakuten Books manga category,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001003010; rakutenProductUrl=https://books.rakuten.co.jp/rb/4021813/.
candidate-064c0062e7a8e29cfbed,safe,KADOKAWA「次にくるマンガ大賞」 mainstream selection + Rakuten Books manga category,https://tsugimanga.jp/winner/2024/comics,2024-08-28,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001003039; rakutenProductUrl=https://books.rakuten.co.jp/rb/17655999/.
candidate-07faf4019b12de5e877d,safe,KADOKAWA「次にくるマンガ大賞」 mainstream selection + Rakuten Books manga category,https://tsugimanga.jp/winner/2017/comics,2017-08-23,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001012; rakutenProductUrl=https://books.rakuten.co.jp/rb/14161248/.
candidate-131ba7a362fa9e38a10a,safe,KADOKAWA「次にくるマンガ大賞」 mainstream selection + Rakuten Books manga category,https://tsugimanga.jp/winner/2024/comics,2024-08-28,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001001008; rakutenProductUrl=https://books.rakuten.co.jp/rb/17856922/.
candidate-171b262b7ad72871f795,safe,マンガ大賞実行委員会 mainstream selection + Rakuten Books manga category,https://www.mangataisho.com/archives/2011.html,2011,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001003049/001001003040/001001003017; rakutenProductUrl=https://books.rakuten.co.jp/rb/6484005/.
candidate-174e7603bb0e71bb62ab,safe,KADOKAWA「次にくるマンガ大賞」 mainstream selection + Rakuten Books manga category,https://tsugimanga.jp/winner/2015/comics,2015-02-06,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001003048/001001001009; rakutenProductUrl=https://books.rakuten.co.jp/rb/12753325/.
candidate-197089286d30de82f9e9,safe,宝島社「このマンガがすごい！」編集部 mainstream selection + Rakuten Books manga category,https://sugoiweb.jp/column/4772/,2022-12-12,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001002009; rakutenProductUrl=https://books.rakuten.co.jp/rb/16995781/.
candidate-1d447cc9026b530fb53d,safe,KADOKAWA「次にくるマンガ大賞」 mainstream selection + Rakuten Books manga category,https://tsugimanga.jp/winner/2015/comics,2015-02-06,2026-08-22,2026-08-22,No explicit adult/TL marker in matched source or product; Rakuten booksGenreId=001001001009; rakutenProductUrl=https://books.rakuten.co.jp/rb/12866156/.
