id,title,titleKana,creators,publisher,demographic,status,firstPublishedYear,genres,factorScope,onboardingEligible,recommendationEligible,libraryOnly,metadataConfidence,groupingConfidence,sourceAgreement,annotationReviewMethod,annotationReviewedAt,annotationReviewReference,evidenceId
work-0029e59a039dce3f6e74,【推しの子】,,赤坂 アカ;横槍 メンゴ,集英社,seinen,unknown,2020,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-0029e59a039dce3f6e74
work-048a39f42bd18cb0823e,大東京トイボックス,,うめ,幻冬舎コミックス,seinen,unknown,2007,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-048a39f42bd18cb0823e
work-04f35b4c99514d50231d,デトロイト・メタル・シティ,,若杉公徳,白泉社,seinen,unknown,2006,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-04f35b4c99514d50231d
work-064c0062e7a8e29cfbed,COSMOS,,田村 隆平,小学館,seinen,unknown,2023,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-064c0062e7a8e29cfbed
work-07faf4019b12de5e877d,私の少年,,高野 ひと深,双葉社,unknown,unknown,2016,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-07faf4019b12de5e877d
work-131ba7a362fa9e38a10a,超巡！超条先輩,,沼 駿,集英社,shonen,unknown,2024,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-131ba7a362fa9e38a10a
work-171b262b7ad72871f795,ドリフターズ,,平野耕太,少年画報社,seinen,unknown,2010,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-171b262b7ad72871f795
work-174e7603bb0e71bb62ab,からかい上手の高木さん,,山本 崇一朗,小学館,unknown,unknown,2014,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-174e7603bb0e71bb62ab
work-197089286d30de82f9e9,多聞くん今どっち!?,,師走 ゆき,白泉社,shojo,unknown,2022,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-197089286d30de82f9e9
work-1d447cc9026b530fb53d,だがしかし,,コトヤマ,小学館,shonen,unknown,2014,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-1d447cc9026b530fb53d
work-29806fe5f9633b940747,暗殺教室,,松井優征,集英社,shonen,unknown,2012,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-29806fe5f9633b940747
work-319e39a597d16251efc9,乱と灰色の世界,,入江 亜季,KADOKAWA,seinen,unknown,2009,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-319e39a597d16251efc9
work-3ba6e8e3cfdec674eae3,劇光仮面,,山口 貴由,小学館,seinen,unknown,2022,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-3ba6e8e3cfdec674eae3
work-40ea287aae6305289cf6,その着せ替え人形は恋をする,,福田晋一,スクウェア・エニックス,seinen,unknown,2018,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-40ea287aae6305289cf6
work-550854424fc9cc94d585,高杉さん家のおべんとう,,柳原 望,KADOKAWA,unknown,unknown,2010,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-550854424fc9cc94d585
work-5baea1ce0e7e74df34b9,刻刻,,堀尾 省太,講談社,seinen,unknown,2009,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-5baea1ce0e7e74df34b9
work-672862529a341488245b,BUTTER！！！,,ヤマシタトモコ,講談社,seinen,unknown,2010,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-672862529a341488245b
work-680837b0db4ec9d2932c,トクサツガガガ,,丹羽庭,小学館,seinen,unknown,2014,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-680837b0db4ec9d2932c
work-724c064d491faf4c7414,もやしもん,,石川 雅之,講談社,seinen,unknown,2005,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-724c064d491faf4c7414
work-78d44d381562e37dd94a,きょうは会社休みます。,,藤村真理,集英社,shojo,unknown,2012,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-78d44d381562e37dd94a
work-7a4e7ba45413e1b8af34,青空エール,,河原和音,集英社,shojo,unknown,2008,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-7a4e7ba45413e1b8af34
work-7abb6e8396c5e1252173,甘々と稲妻,,雨隠ギド,講談社,seinen,unknown,2013,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-7abb6e8396c5e1252173
work-81c561ca6bb74a301cf8,ライドンキング,,馬場 康誌,講談社,seinen,unknown,2019,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-81c561ca6bb74a301cf8
work-83510afea8d961aec880,俺はまだ本気出してないだけ,,青野春秋,小学館,unknown,unknown,2007,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-83510afea8d961aec880
work-84a6a139c55f2760544e,僕の心のヤバイやつ,,桜井 のりお,秋田書店,shonen,unknown,2018,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-84a6a139c55f2760544e
work-88e75622b83b794c03ac,山賊ダイアリー,,岡本 健太郎,講談社,seinen,unknown,2011,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-88e75622b83b794c03ac
work-9036a98c069b5ef8cd54,よふかしのうた,,コトヤマ,小学館,shonen,unknown,2019,,entry_1_3_volumes,false,false,true,1,1,1,unreviewed,,,ev-rakuten-library-work-9036a98c069b5ef8cd54
