workId,axisId,state,value,confidence,evidenceId
work-23077ad33a2066bef5a6,progression,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,problemSolving,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,strategy,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,pacing,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,mysteryReveal,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,worldBuilding,known,2,0.76,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,characterArcWeight,known,2,0.79,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,relationshipStructure,known,2,0.84,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,comedy,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,darkness,known,2,0.76,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,mentalStress,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,romance,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,emotionalWarmth,known,2,0.82,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,artRealism,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,artDensity,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,visualSoftness,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-23077ad33a2066bef5a6,motionImpact,unknown,,,ev-batch-004-a-work-23077ad33a2066bef5a6
work-2356050c72240569e1c5,progression,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,problemSolving,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,strategy,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,pacing,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,mysteryReveal,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,worldBuilding,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,characterArcWeight,known,3,0.79,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,relationshipStructure,known,2,0.78,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,comedy,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,darkness,known,2,0.78,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,mentalStress,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,romance,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,emotionalWarmth,known,3,0.84,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,artRealism,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,artDensity,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,visualSoftness,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2356050c72240569e1c5,motionImpact,unknown,,,ev-batch-004-a-work-2356050c72240569e1c5
work-2c4fe00df5255fc082f9,progression,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,problemSolving,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,strategy,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,pacing,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,mysteryReveal,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,worldBuilding,known,2,0.8,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,characterArcWeight,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,relationshipStructure,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,comedy,known,2,0.7,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,darkness,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,mentalStress,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,romance,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,emotionalWarmth,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,artRealism,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,artDensity,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,visualSoftness,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2c4fe00df5255fc082f9,motionImpact,unknown,,,ev-batch-004-a-work-2c4fe00df5255fc082f9
work-2d385ad0525742330e70,progression,known,2,0.84,ev-batch-004-a-work-2d385ad0525742330e70
work-2d385ad0525742330e70,problemSolving,unknown,,,ev-batch-004-a-work-2d385ad0525742330e70
work-2d385ad0525742330e70,strategy,unknown,,,ev-batch-004-a-work-2d385ad0525742330e70
work-2d385ad0525742330e70,pacing,known,3,0.84,ev-batch-004-a-work-2d385ad0525742330e70
work-2d385ad0525742330e70,mysteryReveal,unknown,,,ev-batch-004-a-work-2d385ad0525742330e70
work-2d385ad0525742330e70,worldBuilding,known,2,0.86,ev-batch-004-a-work-2d385ad0525742330e70
work-2d385ad0525742330e70,characterArcWeight,known,3,0.83,ev-batch-004-a-work-2d385ad0525742330e70
