workId,batchId,batchType,status,selectionReason,methodPolicy,panelPolicy,lastUpdatedAt
work-025c8ab93483a39c9330,batch-004,batch,frozen,era-2020s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-098b1781e14365eea667,batch-004,batch,frozen,era-2020s;audience-shojo;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-0f3a44f5dcab9623d1be,batch-004,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-11d23966f22f777e95d0,batch-004,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-132ce7172750a3b1fa53,batch-004,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-15dba4fdb46308ab45d7,batch-004,batch,frozen,era-2000s;audience-shojo;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-188ba092c6195603bb3f,batch-004,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-19c2017b33c07f48634e,batch-004,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-1a6ad6771865b43c8516,batch-004,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-1cdc6c5cca7c33fafe51,batch-004,batch,frozen,era-2010s;audience-unknown;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-23077ad33a2066bef5a6,batch-004,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-2356050c72240569e1c5,batch-004,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-2c4fe00df5255fc082f9,batch-004,batch,frozen,era-2010s;audience-unknown;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-2d385ad0525742330e70,batch-004,batch,frozen,era-2020s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-2df743e085adef5e9bd3,batch-004,batch,frozen,era-2020s;audience-shonen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
