workId,themeId,centrality,confidence,evidenceId
work-0f3a44f5dcab9623d1be,politics,1,0.72,ev-batch-004-text-work-0f3a44f5dcab9623d1be
work-0f3a44f5dcab9623d1be,investigation,2,0.90,ev-batch-004-text-work-0f3a44f5dcab9623d1be
work-0f3a44f5dcab9623d1be,historicalReconstruction,2,0.86,ev-batch-004-text-work-0f3a44f5dcab9623d1be
work-188ba092c6195603bb3f,adventure,2,0.82,ev-batch-004-text-work-188ba092c6195603bb3f
work-188ba092c6195603bb3f,politics,2,0.84,ev-batch-004-text-work-188ba092c6195603bb3f
work-188ba092c6195603bb3f,historicalReconstruction,2,0.86,ev-batch-004-text-work-188ba092c6195603bb3f
work-1a6ad6771865b43c8516,workplace,1,0.80,ev-batch-004-text-work-1a6ad6771865b43c8516
work-2d385ad0525742330e70,combat,2,0.94,ev-batch-004-text-work-2d385ad0525742330e70
work-3713ab561de583d709bc,workplace,1,0.68,ev-batch-004-text-work-3713ab561de583d709bc
work-39c1a2b6791238827ed5,crafting,2,0.9,ev-batch-004-text-work-39c1a2b6791238827ed5
work-39c1a2b6791238827ed5,workplace,2,0.94,ev-batch-004-text-work-39c1a2b6791238827ed5
work-44d0000353478596369e,revenge,1,0.68,ev-batch-004-text-work-44d0000353478596369e
work-44d0000353478596369e,historicalReconstruction,2,0.9,ev-batch-004-text-work-44d0000353478596369e
work-53fb816835ab36e40a1f,combat,2,0.82,ev-batch-004-text-work-53fb816835ab36e40a1f
work-65f856a6fa2078f21d2f,combat,2,0.80,ev-batch-004-text-work-65f856a6fa2078f21d2f
work-c7280f9dcc2754d3f864,combat,2,0.84,ev-batch-004-text-work-c7280f9dcc2754d3f864
work-c7280f9dcc2754d3f864,school,1,0.78,ev-batch-004-text-work-c7280f9dcc2754d3f864
work-d8a87d01c1f35d58e791,cooking,2,0.88,ev-batch-004-text-work-d8a87d01c1f35d58e791
work-d8a87d01c1f35d58e791,sportsCompetition,1,0.72,ev-batch-004-text-work-d8a87d01c1f35d58e791
work-e2f095e08fc5e08d5a2b,school,1,0.72,ev-batch-004-text-work-e2f095e08fc5e08d5a2b
work-f8cb26831612e0c6ece5,combat,2,0.86,ev-batch-004-text-work-f8cb26831612e0c6ece5
work-f8cb26831612e0c6ece5,investigation,2,0.84,ev-batch-004-text-work-f8cb26831612e0c6ece5
work-fd2a957c501c36047ed0,combat,2,0.88,ev-batch-004-text-work-fd2a957c501c36047ed0
work-fd2a957c501c36047ed0,school,2,0.86,ev-batch-004-text-work-fd2a957c501c36047ed0
