id,title,titleKana,creators,publisher,demographic,status,firstPublishedYear,genres,factorScope,onboardingEligible,recommendationEligible,libraryOnly,metadataConfidence,groupingConfidence,sourceAgreement,annotationReviewMethod,annotationReviewedAt,annotationReviewReference,evidenceId
work-0f3a44f5dcab9623d1be,応天の門,,灰原薬,新潮社,seinen,unknown,2014,historical;mystery,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-0f3a44f5dcab9623d1be
work-188ba092c6195603bb3f,つらつらわらじ,,オノ・ナツメ,講談社,seinen,unknown,2010,historical,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-188ba092c6195603bb3f
work-1a6ad6771865b43c8516,それでも町は廻っている,,石黒正数,少年画報社,seinen,unknown,2006,comedy;sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-1a6ad6771865b43c8516
work-2d385ad0525742330e70,ねずみの初恋,,大瀬戸 陸,講談社,seinen,unknown,2024,action;romance,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-2d385ad0525742330e70
work-3713ab561de583d709bc,アリスと蔵六,,今井哲也,徳間書店,unknown,unknown,2013,scienceFiction;sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-3713ab561de583d709bc
work-39c1a2b6791238827ed5,とろける鉄工所,,野村宗弘,講談社,seinen,unknown,2008,sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-39c1a2b6791238827ed5
work-44d0000353478596369e,環と周,,よしなが ふみ,集英社,shojo,unknown,,historical;romance,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-44d0000353478596369e
work-53fb816835ab36e40a1f,アンデッドアンラック,,戸塚 慶文,集英社,shonen,unknown,2020,action;fantasy,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-53fb816835ab36e40a1f
work-65f856a6fa2078f21d2f,黒月のイェルクナハト,,スズモト コウ,講談社,unknown,unknown,2025,action;fantasy;romance,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-65f856a6fa2078f21d2f
work-c7280f9dcc2754d3f864,鵺の陰陽師,,川江 康太,集英社,shonen,unknown,2023,action;fantasy,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-c7280f9dcc2754d3f864
work-d8a87d01c1f35d58e791,八雲さんは餌づけがしたい。,,里見U,スクウェア・エニックス,seinen,unknown,2016,sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-d8a87d01c1f35d58e791
work-e2f095e08fc5e08d5a2b,高嶺と花,,師走ゆき,白泉社,shojo,unknown,2015,comedy;romance,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-e2f095e08fc5e08d5a2b
work-f8cb26831612e0c6ece5,極楽街,,佐乃 夕斗,集英社,shonen,unknown,2022,action;fantasy;mystery,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-f8cb26831612e0c6ece5
work-fd2a957c501c36047ed0,青の祓魔師,,加藤 和恵,集英社,shonen,unknown,2009,action;fantasy,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-26T00:00:00+09:00,reviews/batch-004-promotion-panel.md,ev-rakuten-library-work-fd2a957c501c36047ed0
