mappingId,sourceItemId,candidateId,workId,mappingType,canonicalTitleJa,confidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,notes
mapping-c557b84e22cc60e1a8c2,nippan-bookseller-recommendations-2025-010,candidate-025c8ab93483a39c9330,work-025c8ab93483a39c9330,duplicate,ホストと社畜,1,日本出版販売「全国書店員が選んだおすすめコミック」 official selection + Rakuten Books exact product match,https://hon-hikidashi.jp/event/51345/,2025,2026-08-22,sourceOfficialUrl=https://hon-hikidashi.jp/event/51345/; rakutenProductUrl=https://books.rakuten.co.jp/rb/17888858/; normalizedTitle=ほすとと社畜; matchedRakutenAuthor=河尻みつる; isbn=9784575860016.
mapping-2807a031a8264ecc0567,tsugimanga-2025-comics-031,candidate-025c8ab93483a39c9330,work-025c8ab93483a39c9330,included,ホストと社畜,1,KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match,https://tsugimanga.jp/winner/2025/comics,2025-09-18,2026-08-22,sourceOfficialUrl=https://tsugimanga.jp/winner/2025/comics; rakutenProductUrl=https://books.rakuten.co.jp/rb/17888858/; normalizedTitle=ほすとと社畜; matchedRakutenAuthor=河尻みつる; isbn=9784575860016.
mapping-5c8fc26bdd35491ec2fc,konomanga-2022-ranking-14,candidate-098b1781e14365eea667,work-098b1781e14365eea667,included,うるわしの宵の月,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4815/,2021-12-07,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4815/; rakutenProductUrl=https://books.rakuten.co.jp/rb/16517534/; normalizedTitle=うるわしの宵の月; matchedRakutenAuthor=やまもり 三香; isbn=9784065217771.
mapping-fa71eedbada8764cbe62,tsugimanga-2021-comics-005,candidate-098b1781e14365eea667,work-098b1781e14365eea667,duplicate,うるわしの宵の月,1,KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match,https://tsugimanga.jp/winner/2021/comics,2021-08-24,2026-08-22,sourceOfficialUrl=https://tsugimanga.jp/winner/2021/comics; rakutenProductUrl=https://books.rakuten.co.jp/rb/16517534/; normalizedTitle=うるわしの宵の月; matchedRakutenAuthor=やまもり 三香; isbn=9784065217771.
mapping-c992543cb1e4dfb86cc7,nippan-bookseller-recommendations-2016-010,candidate-0f3a44f5dcab9623d1be,work-0f3a44f5dcab9623d1be,duplicate,応天の門,1,日本出版販売「全国書店員が選んだおすすめコミック」 official selection + Rakuten Books exact product match,https://www.honyaclub.com/shop/pages/osusumecomic2016.aspx?affiliate=osusumec16,2016,2026-08-22,sourceOfficialUrl=https://www.honyaclub.com/shop/pages/osusumecomic2016.aspx?affiliate=osusumec16; rakutenProductUrl=https://books.rakuten.co.jp/rb/12689900/; normalizedTitle=応天の門; matchedRakutenAuthor=灰原薬; isbn=9784107717429.
mapping-36332f98ba05d2751df8,tsugimanga-2015-comics-024,candidate-0f3a44f5dcab9623d1be,work-0f3a44f5dcab9623d1be,included,応天の門,1,KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match,https://tsugimanga.jp/winner/2015/comics,2015-02-06,2026-08-22,sourceOfficialUrl=https://tsugimanga.jp/winner/2015/comics; rakutenProductUrl=https://books.rakuten.co.jp/rb/12689900/; normalizedTitle=応天の門; matchedRakutenAuthor=灰原薬; isbn=9784107717429.
mapping-33ed80701453d29f61c9,mangataisho-2008-142,candidate-11d23966f22f777e95d0,work-11d23966f22f777e95d0,included,のらみみ,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2008.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/1619953/; normalizedTitle=のらみみ; matchedRakutenAuthor=原一雄; isbn=9784091884114.
mapping-425e99b665aacdc2510b,mangataisho-2009-080,candidate-11d23966f22f777e95d0,work-11d23966f22f777e95d0,duplicate,のらみみ,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2009.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/1619953/; normalizedTitle=のらみみ; matchedRakutenAuthor=原一雄; isbn=9784091884114.
mapping-d4b43f78eda357a5dba1,mangataisho-2010-132,candidate-11d23966f22f777e95d0,work-11d23966f22f777e95d0,duplicate,のらみみ,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2010.html,2010,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2010.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/1619953/; normalizedTitle=のらみみ; matchedRakutenAuthor=原一雄; isbn=9784091884114.
mapping-554d9d7a520db61c12a5,mangataisho-2012-058,candidate-132ce7172750a3b1fa53,work-132ce7172750a3b1fa53,included,ヒナまつり,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2012.html,2012,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2012.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11229227/; normalizedTitle=ひなまつり; matchedRakutenAuthor=大武政夫; isbn=9784047273818.
mapping-a433a9f97f9d3f8e094a,mangataisho-2014-163,candidate-132ce7172750a3b1fa53,work-132ce7172750a3b1fa53,duplicate,ヒナまつり,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2014.html,2014,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2014.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11229227/; normalizedTitle=ひなまつり; matchedRakutenAuthor=大武政夫; isbn=9784047273818.
