sourceId,sourceKind,organization,title,url,publishedAt,retrievedAt,listNature,registryStatus,snapshotUrl,snapshotSha256,originalItemCount,japaneseMangaItemCount,excludedWebtoonCount,excludedAdultCount,excludedNonJapaneseCount,excludedNonMangaCount,duplicateCount,canonicalMappingCount,unresolvedCount,notes
konomanga-2020-ranking,editorial,宝島社「このマンガがすごい！」編集部,『このマンガがすごい！2020』令和初のランキングトップ20公開!!【公式発表】,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,オトコ編·オンナ編 공식 순위,adjudicating,https://sugoiweb.jp/column/4894/,51e1dc4347abd6442e9edddef459651879158b40bf277230016c37a6ed58aeeb,40,,0,0,0,0,0,32,8,공식 이관 페이지의 각 부문 20위; かげきしょうじょ!! 행은 이관 HTML에서 저자·득점 누락
konomanga-2021-ranking,editorial,宝島社「このマンガがすごい！」編集部,『このマンガがすごい！2021』今年のランキングTOP10を大公開!!【公式発表】,https://sugoiweb.jp/column/4868/,2020-12-10,2026-08-22,オトコ編·オンナ編 공식 순위,adjudicating,https://sugoiweb.jp/column/4868/,6e36cb5b4b656599ffefb673439c9c5c419b4375afcb47eb34a2789bed2e9e1d,20,,0,0,0,0,4,16,4,공식 이관 페이지의 각 부문 TOP10
konomanga-2022-ranking,editorial,宝島社「このマンガがすごい！」編集部,『このマンガがすごい！2022』今年のランキングTOP10を大公開!!【公式発表】,https://sugoiweb.jp/column/4815/,2021-12-07,2026-08-22,オトコ編·オンナ編 공식 순위,adjudicating,https://sugoiweb.jp/column/4815/,5c5001f59a95136afa0a84dfd1caf3f12f842e27a30c944a881920dac3ec0e41,20,,0,0,0,0,2,16,4,공식 이관 페이지의 각 부문 TOP10
konomanga-2023-ranking,editorial,宝島社「このマンガがすごい！」編集部,『このマンガがすごい！2023』今年のランキングTOP10を大公開!!【公式発表】,https://sugoiweb.jp/column/4772/,2022-12-12,2026-08-22,オトコ編·オンナ編 공식 순위,adjudicating,https://sugoiweb.jp/column/4772/,8f50a4b8b53572a50438236ca4ba8bfaf85d2aca5e678a7cd2b9c66b0e430dee,20,,0,0,0,0,1,17,3,공식 이관 페이지의 각 부문 TOP10
konomanga-2025-ranking,editorial,宝島社「このマンガがすごい！」編集部,『このマンガがすごい！2025』今年のランキング1位を大公開!!【公式発表】,https://sugoiweb.jp/column/4251/,2024-12-13,2026-08-22,オトコ編·オンナ編 공식 1위,adjudicating,https://sugoiweb.jp/column/4251/,35a3935c7ad8b5a77e1f16f7de2cf4b08721d062ea899f3f6b808057c06e49aa,2,,0,0,0,0,0,2,0,공식 페이지에 공개된 각 부문 1위만 수집
mangataisho-2008,award,マンガ大賞実行委員会,マンガ大賞2008,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2008.html,240cb616d62797f3f58b443da86a052becf4212640ea8c607df88e1539c6baf4,170,,0,0,0,0,1,121,49,공식 HTML 추출; 大賞 1건·二次ノミネート 11건·一次選考作品リスト 158건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2009,award,マンガ大賞実行委員会,マンガ大賞2009,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2009.html,18b6f5054a9bfb0e48dd9572cf38424af4fc0b6a617d101c9ae21e776aa89607,177,,0,0,0,0,38,123,54,공식 HTML 추출; 大賞 1건·二次ノミネート 9건·一次選考作品リスト 167건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2010,award,マンガ大賞実行委員会,マンガ大賞2010,https://www.mangataisho.com/archives/2010.html,2010,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2010.html,57e093fc1612b1e3612585e0af0e01ef15faaacb407fcbed35cf80b15f276e5f,200,,0,0,0,0,40,138,62,공식 HTML 추출; 大賞 1건·二次ノミネート 9건·一次選考作品リスト 190건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2011,award,マンガ大賞実行委員会,マンガ大賞2011,https://www.mangataisho.com/archives/2011.html,2011,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2011.html,e3c8292c53d198e507eded1a8b70dcded4c3619b01ab19426855cce4dedb1fb8,210,,0,0,0,0,33,130,80,공식 HTML 추출; 大賞 1건·二次ノミネート 12건·一次選考作品リスト 197건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2012,award,マンガ大賞実行委員会,マンガ大賞2012,https://www.mangataisho.com/archives/2012.html,2012,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2012.html,c6f9c3f5d96ef63ec13109105ed640439264f0701ecd80f04f24bbdd66205e0f,202,,0,0,0,0,39,150,52,공식 HTML 추출; 大賞 1건·二次ノミネート 14건·一次選考作品リスト 187건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
