id,workId,volumeNumber,isbn,releaseDate,editionKind,isRepresentative,evidenceId
work-025c8ab93483a39c9330-representative,work-025c8ab93483a39c9330,1,9784575860016,2024-08-28,standard,true,ev-rakuten-library-work-025c8ab93483a39c9330
work-098b1781e14365eea667-representative,work-098b1781e14365eea667,1,9784065217771,2020-12-11,standard,true,ev-rakuten-library-work-098b1781e14365eea667
work-0f3a44f5dcab9623d1be-representative,work-0f3a44f5dcab9623d1be,1,9784107717429,,standard,true,ev-rakuten-library-work-0f3a44f5dcab9623d1be
work-11d23966f22f777e95d0-representative,work-11d23966f22f777e95d0,1,9784091884114,,standard,true,ev-rakuten-library-work-11d23966f22f777e95d0
work-132ce7172750a3b1fa53-representative,work-132ce7172750a3b1fa53,1,9784047273818,,standard,true,ev-rakuten-library-work-132ce7172750a3b1fa53
work-15dba4fdb46308ab45d7-representative,work-15dba4fdb46308ab45d7,1,9784088654393,,standard,true,ev-rakuten-library-work-15dba4fdb46308ab45d7
work-188ba092c6195603bb3f-representative,work-188ba092c6195603bb3f,1,9784063729443,,standard,true,ev-rakuten-library-work-188ba092c6195603bb3f
work-19c2017b33c07f48634e-representative,work-19c2017b33c07f48634e,1,9784047268685,,standard,true,ev-rakuten-library-work-19c2017b33c07f48634e
work-1a6ad6771865b43c8516-representative,work-1a6ad6771865b43c8516,1,9784785926045,,standard,true,ev-rakuten-library-work-1a6ad6771865b43c8516
work-1cdc6c5cca7c33fafe51-representative,work-1cdc6c5cca7c33fafe51,1,9784199501746,,standard,true,ev-rakuten-library-work-1cdc6c5cca7c33fafe51
work-23077ad33a2066bef5a6-representative,work-23077ad33a2066bef5a6,1,9784091885579,2011-08-30,standard,true,ev-rakuten-library-work-23077ad33a2066bef5a6
work-2356050c72240569e1c5-representative,work-2356050c72240569e1c5,1,9784091885791,2012-03-30,standard,true,ev-rakuten-library-work-2356050c72240569e1c5
work-2c4fe00df5255fc082f9-representative,work-2c4fe00df5255fc082f9,1,9784864683043,2012-09-05,standard,true,ev-rakuten-library-work-2c4fe00df5255fc082f9
work-2d385ad0525742330e70-representative,work-2d385ad0525742330e70,1,9784065344231,2024-03-06,standard,true,ev-rakuten-library-work-2d385ad0525742330e70
work-2df743e085adef5e9bd3-representative,work-2df743e085adef5e9bd3,1,9784088836867,2023-09-04,standard,true,ev-rakuten-library-work-2df743e085adef5e9bd3
work-2f1d1c3ad0f943f1562f-representative,work-2f1d1c3ad0f943f1562f,1,9784098531820,2024-03-18,standard,true,ev-rakuten-library-work-2f1d1c3ad0f943f1562f
work-3713ab561de583d709bc-representative,work-3713ab561de583d709bc,1,9784199503375,,standard,true,ev-rakuten-library-work-3713ab561de583d709bc
work-39c1a2b6791238827ed5-representative,work-39c1a2b6791238827ed5,1,9784063522471,,standard,true,ev-rakuten-library-work-39c1a2b6791238827ed5
work-3ad85a2ffdc026007d61-representative,work-3ad85a2ffdc026007d61,1,9784253142311,,standard,true,ev-rakuten-library-work-3ad85a2ffdc026007d61
work-44d0000353478596369e-representative,work-44d0000353478596369e,,9784088448398,2023-10-23,standard,true,ev-rakuten-library-work-44d0000353478596369e
work-53fb816835ab36e40a1f-representative,work-53fb816835ab36e40a1f,1,9784088823102,2020-04-03,standard,true,ev-rakuten-library-work-53fb816835ab36e40a1f
work-62fbc6b2253b895e3a66-representative,work-62fbc6b2253b895e3a66,1,9784088467566,,standard,true,ev-rakuten-library-work-62fbc6b2253b895e3a66
work-634f34830600e07d8f17-representative,work-634f34830600e07d8f17,1,9784091211682,2007-08-10,standard,true,ev-rakuten-library-work-634f34830600e07d8f17
work-65f856a6fa2078f21d2f-representative,work-65f856a6fa2078f21d2f,1,9784065400753,2025-07-16,standard,true,ev-rakuten-library-work-65f856a6fa2078f21d2f
work-741deb03d9f59e723929-representative,work-741deb03d9f59e723929,,9784088827827,2021-09-03,standard,true,ev-rakuten-library-work-741deb03d9f59e723929
work-7c8931bc010e2f28f7ec-representative,work-7c8931bc010e2f28f7ec,,9784047357181,2019-08-10,standard,true,ev-rakuten-library-work-7c8931bc010e2f28f7ec
work-7d4568dcc8e9175d35ba-representative,work-7d4568dcc8e9175d35ba,1,9784040653686,2018-11-21,standard,true,ev-rakuten-library-work-7d4568dcc8e9175d35ba
work-7f0f63c5d80083f2be7f-representative,work-7f0f63c5d80083f2be7f,1,9784088454672,,standard,true,ev-rakuten-library-work-7f0f63c5d80083f2be7f
work-80a2f62ce5073ade2ec2-representative,work-80a2f62ce5073ade2ec2,,9784091345851,,standard,true,ev-rakuten-library-work-80a2f62ce5073ade2ec2
work-8733067e6afcaeadbd8d-representative,work-8733067e6afcaeadbd8d,1,9784091334602,2010-11-10,standard,true,ev-rakuten-library-work-8733067e6afcaeadbd8d
work-925f371723beac5227f7-representative,work-925f371723beac5227f7,1,9784065378557,2025-01-20,standard,true,ev-rakuten-library-work-925f371723beac5227f7
work-961a49798df191311f42-representative,work-961a49798df191311f42,1,9784107717443,,standard,true,ev-rakuten-library-work-961a49798df191311f42
