workId,axisId,state,value,confidence,evidenceId
work-1ec3d48e64b228bb8a92,progression,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,problemSolving,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,strategy,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,pacing,known,2,0.76,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,mysteryReveal,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,worldBuilding,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,characterArcWeight,known,4,0.90,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,relationshipStructure,known,2,0.78,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,comedy,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,darkness,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,mentalStress,known,2,0.78,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,romance,known,4,0.90,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,emotionalWarmth,known,2,0.72,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,artRealism,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,artDensity,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,visualSoftness,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-1ec3d48e64b228bb8a92,motionImpact,unknown,,,ev-batch-005-a-work-1ec3d48e64b228bb8a92
work-238c04ae3a3a61451078,progression,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,problemSolving,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,strategy,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,pacing,known,0,0.84,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,mysteryReveal,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,worldBuilding,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,characterArcWeight,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,relationshipStructure,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,comedy,known,2,0.78,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,darkness,known,0,0.76,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,mentalStress,known,0,0.74,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,romance,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,emotionalWarmth,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,artRealism,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,artDensity,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,visualSoftness,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-238c04ae3a3a61451078,motionImpact,unknown,,,ev-batch-005-a-work-238c04ae3a3a61451078
work-43ebf010a490cfd4bb50,progression,unknown,,,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,problemSolving,known,2,0.82,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,strategy,unknown,,,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,pacing,known,2,0.76,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,mysteryReveal,known,2,0.74,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,worldBuilding,known,4,0.90,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,characterArcWeight,known,2,0.78,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,relationshipStructure,known,2,0.80,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,comedy,unknown,,,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,darkness,known,2,0.74,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,mentalStress,unknown,,,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,romance,known,3,0.82,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,emotionalWarmth,known,2,0.72,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,artRealism,unknown,,,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,artDensity,unknown,,,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,visualSoftness,unknown,,,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-43ebf010a490cfd4bb50,motionImpact,unknown,,,ev-batch-005-a-work-43ebf010a490cfd4bb50
work-4b4bbe8c10859c46e726,progression,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,problemSolving,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,strategy,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,pacing,known,2,0.74,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,mysteryReveal,known,2,0.74,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,worldBuilding,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,characterArcWeight,known,2,0.78,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,relationshipStructure,known,2,0.80,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,comedy,known,2,0.70,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,darkness,known,2,0.70,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,mentalStress,known,2,0.72,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,romance,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,emotionalWarmth,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,artRealism,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,artDensity,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,visualSoftness,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-4b4bbe8c10859c46e726,motionImpact,unknown,,,ev-batch-005-a-work-4b4bbe8c10859c46e726
work-5ad62e6413f67d351f1d,progression,known,2,0.78,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,problemSolving,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,strategy,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,pacing,known,2,0.76,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,mysteryReveal,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,worldBuilding,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,characterArcWeight,known,3,0.84,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,relationshipStructure,known,2,0.76,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,comedy,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,darkness,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,mentalStress,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,romance,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,emotionalWarmth,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,artRealism,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,artDensity,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,visualSoftness,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5ad62e6413f67d351f1d,motionImpact,unknown,,,ev-batch-005-a-work-5ad62e6413f67d351f1d
work-5b7cf2105a4bc6f6b46c,progression,unknown,,,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,problemSolving,unknown,,,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,strategy,known,2,0.84,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,pacing,known,2,0.78,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,mysteryReveal,known,2,0.72,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,worldBuilding,known,4,0.90,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,characterArcWeight,known,2,0.78,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,relationshipStructure,known,2,0.80,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,comedy,unknown,,,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
work-5b7cf2105a4bc6f6b46c,darkness,known,3,0.84,ev-batch-005-a-work-5b7cf2105a4bc6f6b46c
