workId,canonicalTitle,officialUrl,sourceName,sourceType,publishedAt,retrievedAt,editionMapping,accessResult,readableInternalPageCount,distinctContextCount,pageRefs,staticGateAttemptable,motionGateAttemptable,stateEligibility,temporarySampleSha256,limitation
work-151b456508f78852b002,ヨルムンガンド,https://sc-portal.tameshiyo.me/4091570690,小学館 公式試し読み,officialPublisherInternalPreview,2006-11-17,2026-08-25,official Shogakukan volume 1 product ISBN 9784091570697 links the canonical tameshiyo viewer 4091570690 which identifies ヨルムンガンド 1 by 高橋慶太郎,accessible,5,3,reader-step-06;reader-step-07;reader-step-08;reader-step-09;reader-step-10,false,false,unknown-ready,reader-step-06=f1ad845f4ac39ff04f62a800596b408e7dda698f87c97d92015bf365979090ae;reader-step-07=c5611ac90c6b6cb3a1bba6fc1a45d7d73e2813adea5f74b132f49a2bcc7c10b6;reader-step-08=ece313e834ae989c9f6a16c01c6d9d1dcf333dae9cf385080c743ae69c707b20;reader-step-09=53d5efa22d9b752af5b38e67d6f57383371fa0a3709defd182c6310ab07a399f;reader-step-10=be8faf5e17fbfa9072cc50462dbc5057175f194210196d0e88c987627597d35f,Daybreak QA excluded reader-step-05 as a non-narrative table-of-contents and opening montage; five valid body pages remain across three scene contexts; static gate closes unknown-ready below six pages; no exact bounded continuous start-development-impact-resolved motion sequence was isolated
work-1550d4a52c3fe6d9f94c,ボクラノキセキ,https://data.ichijinsha.co.jp/detail/75805394,一迅社 公式商品ページ,officialPublisherProductPage,2009-02-25,2026-08-25,official Ichijinsha volume 1 page is the frozen ISBN 9784758053945 product identity; 一迅社 has no trusted preview route in the registry,official-product-only,0,0,,false,false,unknown-ready,,Exact official product identity was retained but 一迅社 is absent from the publisher route registry and no authorized edition-bound internal preview was sampled; all Art axes close unknown-ready without blocker
work-15d6508605fbd4a266fc,おまかせ精霊,https://www.kadokawa.co.jp/product/201216022042/,KADOKAWA 公式商品ページ,officialPublisherProductPage,2007-01-23,2026-08-25,official KADOKAWA product 201216022042 matches frozen ISBN 9784840116626 and 青本もあ; the product exposes no product-linked trial or BOOK WALKER URL,official-product-only,0,0,,false,false,unknown-ready,,The exact KADOKAWA product was resolved but pre_trial_reading_flg is 0 and bw_url is empty; no registered product-linked preview exists so Art closes unknown-ready without blocker
work-18e08fe95968a6537773,ニラメッコ,https://www.hakusensha.co.jp/comicslist/60421/,白泉社 公式商品ページ,officialPublisherProductPage,2021-06-16,2026-08-25,official Hakusensha volume 1 product matches frozen ISBN 9784592166610 and 久世岳; 白泉社 has no trusted preview route in the registry,official-product-only,0,0,,false,false,unknown-ready,,Exact official product identity was retained but 白泉社 is absent from the publisher route registry; no authorized edition-bound internal preview was sampled and all Art axes close unknown-ready without blocker
work-19b578d0e828242f14f3,恋愛ラボ,https://manga-time.com/comics/cart/mru.html,芳文社／まんがタイム 公式シリーズページ,officialPublisherProductPage,2008-03-07,2026-08-25,official 芳文社 series page lists 恋愛ラボ volumes 1-3 but exposes no frozen ISBN-bound internal preview; 芳文社 has no trusted preview route in the registry,official-product-only,0,0,,false,false,unknown-ready,,The official series and entry volume listing were retained but 芳文社 is absent from the publisher route registry; no authorized edition-bound preview was sampled and Art closes unknown-ready without blocker
work-1b3afe12c434a9cf7603,銀のスプーン,https://www.kodansha.co.jp/comic/products/0000044784/trial/reader?cid=e065c6210d9cf7f6d3ef7b0bdda4d31a08f964295ff1825cea62607cc2516231,講談社 公式試し読み,officialPublisherInternalPreview,2011-02-10,2026-08-25,Kodansha product 0000044784 and linked reader identify 銀のスプーン 1 by 小沢真理 and match frozen ISBN 9784063760231,accessible,5,2,reader-step-06;reader-step-07;reader-step-08;reader-step-09;reader-step-10,false,false,unknown-ready,reader-step-06=1c031f1f9023ef0adb8c3dfc917c06a978cabf3af3e4dc76fd0ff048f1c3340b;reader-step-07=d683caea7404ccf9a16fdac76def9b2b95f0a4f98d6392e9acfa54761b1a9ffb;reader-step-08=f4a568226bcbda68a9785c51878c76c527b3346567f65a034425929c068f1682;reader-step-09=66972e6e8b80d6b59aaa48646d87ecd4df21c6dafcfc37df050e0ac8c00128dd;reader-step-10=fd10746185ca98c9f352dd3deaaa603da0bb9f84456410a412f384803b9ee286,Daybreak QA excluded reader-step-03 as a chapter-title splash; five valid body pages remain across two genuine scene contexts; static gate closes unknown-ready below six pages; no exact bounded continuous start-development-impact-resolved motion sequence was isolated
work-1b7c4ed54d7761cd242b,おかめ日和,https://www.kodansha.co.jp/comic/products/0000043658/trial/reader?cid=94de8b54d798ecc4677e7e76c51712dedff77397cff8c49d36603c57817e4857,講談社 公式試し読み,officialPublisherInternalPreview,2007-04-13,2026-08-25,Kodansha product 0000043658 and linked reader identify おかめ日和 1 by 入江喜和 and match frozen ISBN 9784063722802,accessible,5,3,reader-step-04;reader-step-06;reader-step-07;reader-step-08;reader-step-09,false,false,unknown-ready,reader-step-04=6b850b64b0e8408da85b15ef23111cb37fe1084cc85e13eae0c79591ee8d2a87;reader-step-06=8119da4ce8caf7ea8f17ca238dfb795636c88f2c719054740e96c0cc5023e25b;reader-step-07=89b602fae2c72abeeaa751449986aa916ab6662185de988308c363fefb90b33a;reader-step-08=4ea129ff2015754a499e842f47771140578c4e592b1fcc75edfec550bfb0772f;reader-step-09=539a48770406cd6950212f979ff4afc3f6e952108067329d9b6dfb23bdfa09b6,Daybreak QA excluded reader-step-05 as a chapter-title and establishing splash; five valid body pages remain across three genuine scene contexts; static gate closes unknown-ready below six pages; no exact bounded continuous start-development-impact-resolved motion sequence was isolated
work-1bce95b6c02673e59bcf,新黒沢 最強伝説,https://shogakukan.tameshiyo.me/9784091856883,小学館 公式試し読み,officialPublisherInternalPreview,2013-11-29,2026-08-25,official Shogakukan Big Comic Bros volume 1 product ISBN 9784091856883 links the exact tameshiyo viewer which identifies 新黒沢 最強伝説 1 by 福本伸行,accessible,5,3,reader-step-06;reader-step-07;reader-step-08;reader-step-09;reader-step-10,false,false,unknown-ready,reader-step-06=6e5d378d1e4ae079b0b008ad7126d2703f5d501ee4a2acfd6e95b48619c135a7;reader-step-07=24ca702fef7f7edb47d34c13ecd5e83a17e54bb5311e30603327dc26a9f1e611;reader-step-08=e86fa7b8632cfa52f57b4d8614b94368958d4a833c5115c2d276a46e7c34a7ec;reader-step-09=fd85d9daef2a05e563697c9b03d468bbbd71b8d1d7fa5a035586a63d49dff7dd;reader-step-10=ae564e310762c17c17c302246d9011b4afd9f0ace2e72a187baf185e7360736b,Daybreak QA excluded reader-step-05 as a table-of-contents and title or opening montage; five valid body pages remain across three genuine scene contexts; static gate closes unknown-ready below six pages; no exact bounded continuous start-development-impact-resolved motion sequence was isolated
work-1d5a3158e78e639f1973,カレチ,https://www.kodansha.co.jp/comic/products/0000013990/trial/reader?cid=16b4fa34c3d55a1423f5168e772fe38691935b07fb4fb0f3e9b891b2ede3df87,講談社 公式試し読み,officialPublisherInternalPreview,2009-12-22,2026-08-25,Kodansha product 0000013990 and linked reader identify カレチ 1 by 池田邦彦 and match frozen ISBN 9784063728644,accessible,5,2,reader-step-05;reader-step-06;reader-step-07;reader-step-08;reader-step-09,false,false,unknown-ready,reader-step-05=fc793412efa24f9966e64e018c9fe6f586325fc2f6517c511c57530a8cbfe141;reader-step-06=bab3574180d4193ba281768beac93222008a55d76c3ac745963dc07e2b165db7;reader-step-07=ef8782f9c54cc989a0366cdba53fe568a25345ec49390697b50b95f32645f525;reader-step-08=fd74f2d5192dd67f92c6356f01abe92cfd6d67223f15f8785cc3b2ddd2682057;reader-step-09=64a0923f4c76bf4e4241b359ed11ed9a259c9759dc5ef4bb36473d0327778a06,Daybreak QA excluded reader-step-04 as a chapter-title splash; five valid body pages remain across two genuine scene contexts; static gate closes unknown-ready below six pages; no exact bounded continuous start-development-impact-resolved motion sequence was isolated
work-1e9c4852863a22bba058,GREEN WORLDZ,https://www.kodansha.co.jp/comic/products/0000019152/trial/reader?cid=bb84d11d9028cb0608e5e6b75ef141c51fb7754c340d8b0c1a30c12ed0426308,講談社 公式試し読み,officialPublisherInternalPreview,2014-05-09,2026-08-25,Kodansha product 0000019152 and linked reader identify GREEN WORLDZ 1 by 大沢祐輔 and match frozen ISBN 9784063950717,accessible,5,3,reader-step-04;reader-step-06;reader-step-07;reader-step-08;reader-step-09,false,false,unknown-ready,reader-step-04=bbb0260c8048da8eb907ff4e255e81ed5aa7a638975dd7040b46c7a555b4b108;reader-step-06=25e1a06e3ae1a5b223b82dd6cbcacdb636d49f8e1c540ddf4ecd1cd5b6a97605;reader-step-07=5c582c191d57f15bc4b2c67d87afe130958974b3d3838a110111d046ae17c5d0;reader-step-08=e259e8723325937ebb4f2add90db7030bb4f1c2539f5b5e9169ea670a5648259;reader-step-09=bec75358f775a0196b640bf2270c7438c373a458b24fa964b710ea8b639cc5b2,Daybreak QA excluded reader-step-05 as a chapter-title opening splash; five valid body pages remain across three genuine scene contexts; static gate closes unknown-ready below six pages; no exact bounded continuous start-development-impact-resolved motion sequence was isolated
