workId,axisId,state,value,confidence,authorityClass,sourceType,sourceUrl,edition,scopeMapping,pageOrTimeRefs,sampleCount,contexts,observation,limitation,reviewStatus
work-0cf463005cc77eeded8e,artRealism,known,2,0.90,originalPublisher,publisher,https://magazine.jp.square-enix.com/gangan/tcym/yomitsuga_01/,official Square Enix first-episode image sequence maps to frozen representative ISBN 9784757579620 and entry-scope vol1-3 product records,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,official-fotorama-004 left;official-fotorama-004 right;official-fotorama-005 left;official-fotorama-005 right;official-fotorama-006 left;official-fotorama-006 right;official-fotorama-007 left;official-fotorama-007 right;official-fotorama-008 left;official-fotorama-008 right;official-fotorama-009 left;official-fotorama-009 right,6,mountain;village and home;roadside,"Grounded people, animals, tools, terrain, architecture, and perspective coexist with persistently simplified shonen faces and expressive deformation.",Entry-episode six-page official sample only; realistic scenery does not displace the general stylization anchor across character-focused panels.; opening/title splash pages 001-003 were excluded; selected pages show mountain; village; home; and roadside contexts; no exact bounded continuous start-development-impact-resolved sequence was isolated; temporary sample SHA-256=a1a800a80b148a9d7390424ab928fff444103f092395770b867c78d174091581;26e377482f71d52c810f3d8071da50c980794f430e4415167170e3bd447af5f7;bc5ea67eb63c550ee68074459cd5ac0a465a6b80f7438333545e50923cea6a26;81d0016ad65e213677e244763a1ac8d5880388023c974a668544c1c5a94ffb44;e90708b08126b297f536b1246143dc00669b3e5a80c8eb2f561fdc1fc76394f9;8563a3a2ed84c193016eb490db857a14f384655388855a98957255fcf8e273cd. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-0cf463005cc77eeded8e,artDensity,known,3,0.92,originalPublisher,publisher,https://magazine.jp.square-enix.com/gangan/tcym/yomitsuga_01/,official Square Enix first-episode image sequence maps to frozen representative ISBN 9784757579620 and entry-scope vol1-3 product records,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,official-fotorama-004 left;official-fotorama-004 right;official-fotorama-005 left;official-fotorama-005 right;official-fotorama-006 left;official-fotorama-006 right;official-fotorama-007 left;official-fotorama-007 right;official-fotorama-008 left;official-fotorama-008 right;official-fotorama-009 left;official-fotorama-009 right,6,mountain;village and home;roadside,"Forests, settlement panoramas, masonry, village work, domestic yards, woven objects, and dungeon structure keep information above balanced across four contexts.",Entry-episode six-page official sample only; broad sky and white dialogue fields prevent the high-density value 4 endpoint.; opening/title splash pages 001-003 were excluded; selected pages show mountain; village; home; and roadside contexts; no exact bounded continuous start-development-impact-resolved sequence was isolated; temporary sample SHA-256=a1a800a80b148a9d7390424ab928fff444103f092395770b867c78d174091581;26e377482f71d52c810f3d8071da50c980794f430e4415167170e3bd447af5f7;bc5ea67eb63c550ee68074459cd5ac0a465a6b80f7438333545e50923cea6a26;81d0016ad65e213677e244763a1ac8d5880388023c974a668544c1c5a94ffb44;e90708b08126b297f536b1246143dc00669b3e5a80c8eb2f561fdc1fc76394f9;8563a3a2ed84c193016eb490db857a14f384655388855a98957255fcf8e273cd. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-0cf463005cc77eeded8e,visualSoftness,known,2,0.90,originalPublisher,publisher,https://magazine.jp.square-enix.com/gangan/tcym/yomitsuga_01/,official Square Enix first-episode image sequence maps to frozen representative ISBN 9784757579620 and entry-scope vol1-3 product records,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,official-fotorama-004 left;official-fotorama-004 right;official-fotorama-005 left;official-fotorama-005 right;official-fotorama-006 left;official-fotorama-006 right;official-fotorama-007 left;official-fotorama-007 right;official-fotorama-008 left;official-fotorama-008 right;official-fotorama-009 left;official-fotorama-009 right,6,mountain;village and home;roadside,"Clean rounded faces and controlled tones are counterbalanced by firm contours, angular scenery, black silhouettes, and coarse natural textures.",Entry-episode six-page official sample only; neither soft polish nor rough angular treatment dominates consistently.; opening/title splash pages 001-003 were excluded; selected pages show mountain; village; home; and roadside contexts; no exact bounded continuous start-development-impact-resolved sequence was isolated; temporary sample SHA-256=a1a800a80b148a9d7390424ab928fff444103f092395770b867c78d174091581;26e377482f71d52c810f3d8071da50c980794f430e4415167170e3bd447af5f7;bc5ea67eb63c550ee68074459cd5ac0a465a6b80f7438333545e50923cea6a26;81d0016ad65e213677e244763a1ac8d5880388023c974a668544c1c5a94ffb44;e90708b08126b297f536b1246143dc00669b3e5a80c8eb2f561fdc1fc76394f9;8563a3a2ed84c193016eb490db857a14f384655388855a98957255fcf8e273cd. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-0cf463005cc77eeded8e,motionImpact,unknown,,,originalPublisher,publisher,https://magazine.jp.square-enix.com/gangan/tcym/yomitsuga_01/,official Square Enix first-episode image sequence maps to frozen representative ISBN 9784757579620 and entry-scope vol1-3 product records,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,official-fotorama-004 left;official-fotorama-004 right;official-fotorama-005 left;official-fotorama-005 right;official-fotorama-006 left;official-fotorama-006 right;official-fotorama-007 left;official-fotorama-007 right;official-fotorama-008 left;official-fotorama-008 right;official-fotorama-009 left;official-fotorama-009 right,6,mountain;village and home;roadside,Travel and work gestures are distributed across scene changes rather than one bounded action sequence.,Preflight motionGateAttemptable=false; no exact start-development-impact-resolved sequence; unknown is not low.; opening/title splash pages 001-003 were excluded; selected pages show mountain; village; home; and roadside contexts; no exact bounded continuous start-development-impact-resolved sequence was isolated; temporary sample SHA-256=a1a800a80b148a9d7390424ab928fff444103f092395770b867c78d174091581;26e377482f71d52c810f3d8071da50c980794f430e4415167170e3bd447af5f7;bc5ea67eb63c550ee68074459cd5ac0a465a6b80f7438333545e50923cea6a26;81d0016ad65e213677e244763a1ac8d5880388023c974a668544c1c5a94ffb44;e90708b08126b297f536b1246143dc00669b3e5a80c8eb2f561fdc1fc76394f9;8563a3a2ed84c193016eb490db857a14f384655388855a98957255fcf8e273cd. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-0ede6921b81169dc2dda,artRealism,known,3,0.90,originalPublisher,publisher,https://pocket.shonenmagazine.com/title/00211/episode/154357,official Kodansha product ISBN 9784063958423 links to the authorized Pocket first episode and supplied volumes 1-3,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,episode-1-canvas-7 left;episode-1-canvas-7 right;episode-1-canvas-8 left;episode-1-canvas-8 right;episode-1-canvas-9 left;episode-1-canvas-9 right;episode-1-canvas-10 left;episode-1-canvas-10 right;episode-1-canvas-11 left;episode-1-canvas-11 right;episode-1-canvas-12 left;episode-1-canvas-12 right,6,snowy wilderness;inhabited or human contexts,"Observed wolf anatomy, fur, snow contact, bodily deterioration, human proportions, and grounded shelter perspective lean realistic despite simplified manga facial construction.",Entry-episode six-page official sample only; persistent stylization prevents the realistic value 4 endpoint.; no exact bounded continuous start-development-impact-resolved sequence was isolated; the exact Pocket episode's later lazy-loaded canvases 9-12 add four readable body pages; six body pages span snowy wilderness and inhabited/human contexts; cover; advertorial; blank/logo; and chapter/title opening canvases were excluded; temporary sample SHA-256=ca2ad02952875e9b4e9967396354f688172faaf5bdf6a8604821f0a212293c75;9f7ade66489c7d6e62d43c975de3365638bff2f1b91ea90803cbe8540d14d7ec;b0ceaed904ef661a9990b983493076a7b612624f48b5f9a76de4c5430cb235e8;df0466099acf3b47809010ab8506eb01bd0ad599b8fc26cff66a689a80e6b58e;1f69d1ae2e2181cf656a120f0952088e260b2e05f1039ae2e7e8c0275bb01dbe;733d8388fa2f40a44ce1e87d72516e86cc24bc913b3fae434f1f45430f9aaeb3. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-0ede6921b81169dc2dda,artDensity,known,1,0.90,originalPublisher,publisher,https://pocket.shonenmagazine.com/title/00211/episode/154357,official Kodansha product ISBN 9784063958423 links to the authorized Pocket first episode and supplied volumes 1-3,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,episode-1-canvas-7 left;episode-1-canvas-7 right;episode-1-canvas-8 left;episode-1-canvas-8 right;episode-1-canvas-9 left;episode-1-canvas-9 right;episode-1-canvas-10 left;episode-1-canvas-10 right;episode-1-canvas-11 left;episode-1-canvas-11 right;episode-1-canvas-12 left;episode-1-canvas-12 right,6,snowy wilderness;inhabited or human contexts,"Large snow fields, isolated figures, broad white panels, and restrained backgrounds dominate four wilderness pages, while shelter and settlement pages supply denser counter-contexts.",Entry-episode six-page official sample only; animal texture and inhabited settings prevent the sparse value 0 endpoint.; no exact bounded continuous start-development-impact-resolved sequence was isolated; the exact Pocket episode's later lazy-loaded canvases 9-12 add four readable body pages; six body pages span snowy wilderness and inhabited/human contexts; cover; advertorial; blank/logo; and chapter/title opening canvases were excluded; temporary sample SHA-256=ca2ad02952875e9b4e9967396354f688172faaf5bdf6a8604821f0a212293c75;9f7ade66489c7d6e62d43c975de3365638bff2f1b91ea90803cbe8540d14d7ec;b0ceaed904ef661a9990b983493076a7b612624f48b5f9a76de4c5430cb235e8;df0466099acf3b47809010ab8506eb01bd0ad599b8fc26cff66a689a80e6b58e;1f69d1ae2e2181cf656a120f0952088e260b2e05f1039ae2e7e8c0275bb01dbe;733d8388fa2f40a44ce1e87d72516e86cc24bc913b3fae434f1f45430f9aaeb3. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-0ede6921b81169dc2dda,visualSoftness,known,3,0.90,originalPublisher,publisher,https://pocket.shonenmagazine.com/title/00211/episode/154357,official Kodansha product ISBN 9784063958423 links to the authorized Pocket first episode and supplied volumes 1-3,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,episode-1-canvas-7 left;episode-1-canvas-7 right;episode-1-canvas-8 left;episode-1-canvas-8 right;episode-1-canvas-9 left;episode-1-canvas-9 right;episode-1-canvas-10 left;episode-1-canvas-10 right;episode-1-canvas-11 left;episode-1-canvas-11 right;episode-1-canvas-12 left;episode-1-canvas-12 right,6,snowy wilderness;inhabited or human contexts,"Fine rounded creature and human contours, soft fur, gentle facial modeling, pale tones, and controlled line weight lean soft across wilderness and shelter contexts.",Entry-episode six-page official sample only; coarse snow hatching and darker deterioration marks prevent the consistently soft value 4 endpoint.; no exact bounded continuous start-development-impact-resolved sequence was isolated; the exact Pocket episode's later lazy-loaded canvases 9-12 add four readable body pages; six body pages span snowy wilderness and inhabited/human contexts; cover; advertorial; blank/logo; and chapter/title opening canvases were excluded; temporary sample SHA-256=ca2ad02952875e9b4e9967396354f688172faaf5bdf6a8604821f0a212293c75;9f7ade66489c7d6e62d43c975de3365638bff2f1b91ea90803cbe8540d14d7ec;b0ceaed904ef661a9990b983493076a7b612624f48b5f9a76de4c5430cb235e8;df0466099acf3b47809010ab8506eb01bd0ad599b8fc26cff66a689a80e6b58e;1f69d1ae2e2181cf656a120f0952088e260b2e05f1039ae2e7e8c0275bb01dbe;733d8388fa2f40a44ce1e87d72516e86cc24bc913b3fae434f1f45430f9aaeb3. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-0ede6921b81169dc2dda,motionImpact,unknown,,,originalPublisher,publisher,https://pocket.shonenmagazine.com/title/00211/episode/154357,official Kodansha product ISBN 9784063958423 links to the authorized Pocket first episode and supplied volumes 1-3,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,episode-1-canvas-7 left;episode-1-canvas-7 right;episode-1-canvas-8 left;episode-1-canvas-8 right;episode-1-canvas-9 left;episode-1-canvas-9 right;episode-1-canvas-10 left;episode-1-canvas-10 right;episode-1-canvas-11 left;episode-1-canvas-11 right;episode-1-canvas-12 left;episode-1-canvas-12 right,6,snowy wilderness;inhabited or human contexts,Transformation and travel fragments do not form one exact bounded action sequence.,Preflight motionGateAttemptable=false; no exact start-development-impact-resolved sequence; unknown is not low.; no exact bounded continuous start-development-impact-resolved sequence was isolated; the exact Pocket episode's later lazy-loaded canvases 9-12 add four readable body pages; six body pages span snowy wilderness and inhabited/human contexts; cover; advertorial; blank/logo; and chapter/title opening canvases were excluded; temporary sample SHA-256=ca2ad02952875e9b4e9967396354f688172faaf5bdf6a8604821f0a212293c75;9f7ade66489c7d6e62d43c975de3365638bff2f1b91ea90803cbe8540d14d7ec;b0ceaed904ef661a9990b983493076a7b612624f48b5f9a76de4c5430cb235e8;df0466099acf3b47809010ab8506eb01bd0ad599b8fc26cff66a689a80e6b58e;1f69d1ae2e2181cf656a120f0952088e260b2e05f1039ae2e7e8c0275bb01dbe;733d8388fa2f40a44ce1e87d72516e86cc24bc913b3fae434f1f45430f9aaeb3. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-43ebf010a490cfd4bb50,artRealism,known,2,0.90,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000046459/trial/reader?cid=16004bb7861da5596a0684a912a8f99c1021434d87c50d73d1a592067049f05b,Kodansha product 0000046459 and linked reader identify volume 1 and bridge frozen ISBN 9784063805789; official volume 2 and 3 product pages confirm the entry range,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,reader-step-04 left;reader-step-04 right;reader-step-05 left;reader-step-05 right;reader-step-06 left;reader-step-06 right;reader-step-07 left;reader-step-07 right;reader-step-08 left;reader-step-08 right;reader-step-09 left;reader-step-09 right,6,mountain or outdoor scenes;domestic interiors;community or family gatherings,"Grounded garments, rooms, food, and adult proportions remain paired with rounded faces, simplified features, and persistent folk-tale manga stylization.",Entry-volume six-page official sample only; observed props and settings do not override the stable general-stylization anchor.; Count capped at six; readable body pages cover mountain or outdoor scenes domestic interiors and community or family gatherings; contents and other non-body material were excluded; exact continuous start-development-impact-resolved motion sequence was not isolated; temporary sample SHA-256=3a04c9585e1f57ce2138c6063dd8f6a9cab93bf7c080b02cb79ac8543940010e;38d013ba7c534a2c9743b52d1d6203c2e167c60f9808fd279203533d22d8b6df;f5274e88c63b8851965d73535ee3319c97fa0d697e04819cbc5dea4add230262;83116f9f697ed0161c5e7fa00b01fc05188c6f0b0107c5df0ece7d89518c808c;4bd728d88734529152661fe6284ea8937b1e7b75295c49de55945ba44f2f421f;7623b77ddc003159f9e7aa288c951ca78ec3d72e9532da7ee145a37579ccf5a8. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
work-43ebf010a490cfd4bb50,artDensity,known,2,0.90,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000046459/trial/reader?cid=16004bb7861da5596a0684a912a8f99c1021434d87c50d73d1a592067049f05b,Kodansha product 0000046459 and linked reader identify volume 1 and bridge frozen ISBN 9784063805789; official volume 2 and 3 product pages confirm the entry range,Official internal preview mapped to the entry_1_3_volumes contract; static claims require at least 6 readable pages and 2 scene contexts.,reader-step-04 left;reader-step-04 right;reader-step-05 left;reader-step-05 right;reader-step-06 left;reader-step-06 right;reader-step-07 left;reader-step-07 right;reader-step-08 left;reader-step-08 right;reader-step-09 left;reader-step-09 right,6,mountain or outdoor scenes;domestic interiors;community or family gatherings,"Tatami rooms, textile patterns, banquet dishes, and scenery use moderate detail within clean layouts and broad breathable white fields.",Entry-volume six-page official sample only; visual information remains balanced rather than consistently above-balanced.; Count capped at six; readable body pages cover mountain or outdoor scenes domestic interiors and community or family gatherings; contents and other non-body material were excluded; exact continuous start-development-impact-resolved motion sequence was not isolated; temporary sample SHA-256=3a04c9585e1f57ce2138c6063dd8f6a9cab93bf7c080b02cb79ac8543940010e;38d013ba7c534a2c9743b52d1d6203c2e167c60f9808fd279203533d22d8b6df;f5274e88c63b8851965d73535ee3319c97fa0d697e04819cbc5dea4add230262;83116f9f697ed0161c5e7fa00b01fc05188c6f0b0107c5df0ece7d89518c808c;4bd728d88734529152661fe6284ea8937b1e7b75295c49de55945ba44f2f421f;7623b77ddc003159f9e7aa288c951ca78ec3d72e9532da7ee145a37579ccf5a8. Temporary images and paths are not committed.,quorum-verified;adjudicated;reviewedByHuman=false
