workId,axisId,state,value,confidence,evidenceId
work-0cf463005cc77eeded8e,progression,unknown,,,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,problemSolving,unknown,,,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,strategy,known,2,0.88,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,pacing,known,3,0.78,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,mysteryReveal,known,2,0.82,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,worldBuilding,known,2,0.80,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,characterArcWeight,unknown,,,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,relationshipStructure,known,2,0.78,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,comedy,known,2,0.86,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,darkness,known,2,0.72,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,mentalStress,known,2,0.82,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,romance,unknown,,,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,emotionalWarmth,known,2,0.82,ev-batch-005-text-work-0cf463005cc77eeded8e
work-0cf463005cc77eeded8e,artRealism,known,2,0.90,ev-batch-005-art-work-0cf463005cc77eeded8e-art-realism
work-0cf463005cc77eeded8e,artDensity,known,3,0.92,ev-batch-005-art-work-0cf463005cc77eeded8e-art-density
work-0cf463005cc77eeded8e,visualSoftness,known,2,0.90,ev-batch-005-art-work-0cf463005cc77eeded8e-visual-softness
work-0cf463005cc77eeded8e,motionImpact,unknown,,,ev-batch-005-art-work-0cf463005cc77eeded8e-motion-impact
work-0ede6921b81169dc2dda,progression,known,2,0.88,ev-batch-005-text-work-0ede6921b81169dc2dda
work-0ede6921b81169dc2dda,problemSolving,unknown,,,ev-batch-005-text-work-0ede6921b81169dc2dda
work-0ede6921b81169dc2dda,strategy,unknown,,,ev-batch-005-text-work-0ede6921b81169dc2dda
work-0ede6921b81169dc2dda,pacing,known,2,0.78,ev-batch-005-text-work-0ede6921b81169dc2dda
