mappingId,sourceItemId,candidateId,workId,mappingType,canonicalTitleJa,confidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,notes
mapping-86d2c84a2bac31711aba,mangataisho-2008-106,candidate-060a72fe10cf6ba9cbfc,work-060a72fe10cf6ba9cbfc,included,チェーザレ 破壊の創造者,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2008.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4141702/; normalizedTitle=ちぇーざれ 破壊の創造者; matchedRakutenAuthor=惣領 冬実; isbn=9784063722017; canonicalTitleEvidenceUrl=https://www.kodansha.co.jp/titles/1000002705.
mapping-fc7d6b95c15e807db65c,mangataisho-2009-158,candidate-060a72fe10cf6ba9cbfc,work-060a72fe10cf6ba9cbfc,duplicate,チェーザレ 破壊の創造者,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2009.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4141702/; normalizedTitle=ちぇーざれ 破壊の創造者; matchedRakutenAuthor=惣領 冬実; isbn=9784063722017; canonicalTitleEvidenceUrl=https://www.kodansha.co.jp/titles/1000002705.
mapping-030f52d564f5fc2204fb,mangataisho-2014-108,candidate-076beb86f844b642beef,work-076beb86f844b642beef,included,くーねるまるた,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2014.html,2014,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2014.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/12127748/; normalizedTitle=くーねるまるた; matchedRakutenAuthor=高尾 じんぐ; isbn=9784091848475.
mapping-2b25d7308948bfc5552a,mangataisho-2015-065,candidate-076beb86f844b642beef,work-076beb86f844b642beef,duplicate,くーねるまるた,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2015.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/12127748/; normalizedTitle=くーねるまるた; matchedRakutenAuthor=高尾 じんぐ; isbn=9784091848475.
mapping-a52073797efcc77c1b53,mangataisho-2014-219,candidate-091d231d37f037fb07e8,work-091d231d37f037fb07e8,included,インベスターZ,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2014.html,2014,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2014.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/12443114/; normalizedTitle=いんべすたーz; matchedRakutenAuthor=三田紀房; isbn=9784063872576.
mapping-6a55efd8692e37a6d2af,mangataisho-2015-019,candidate-091d231d37f037fb07e8,work-091d231d37f037fb07e8,duplicate,インベスターZ,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2015.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/12443114/; normalizedTitle=いんべすたーz; matchedRakutenAuthor=三田紀房; isbn=9784063872576.
mapping-2ce12f0d7f668d1c63d0,mangataisho-2024-002,candidate-0cf463005cc77eeded8e,work-0cf463005cc77eeded8e,duplicate,黄泉のツガイ,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2024.html,2024,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2024.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/17124585/; normalizedTitle=黄泉のつがい; matchedRakutenAuthor=荒川弘; isbn=9784757579620.
mapping-04e83d4d1f29537890d8,tsugimanga-2023-comics-038,candidate-0cf463005cc77eeded8e,work-0cf463005cc77eeded8e,included,黄泉のツガイ,1,KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match,https://tsugimanga.jp/winner/2023/comics,2023-08-31,2026-08-22,sourceOfficialUrl=https://tsugimanga.jp/winner/2023/comics; rakutenProductUrl=https://books.rakuten.co.jp/rb/17124585/; normalizedTitle=黄泉のつがい; matchedRakutenAuthor=荒川弘; isbn=9784757579620.
mapping-2f8cc9ced2c8985971b5,mangataisho-2015-101,candidate-0d1ad77728a44df56508,work-0d1ad77728a44df56508,duplicate,ラーメン大好き小泉さん,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2015.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/12906514/; normalizedTitle=らーめん大好き小泉さん; matchedRakutenAuthor=鳴見なる; isbn=9784812487983.
mapping-cf9aa8e9eb2b87f557ba,tsugimanga-2015-comics-050,candidate-0d1ad77728a44df56508,work-0d1ad77728a44df56508,included,ラーメン大好き小泉さん,1,KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match,https://tsugimanga.jp/winner/2015/comics,2015-02-06,2026-08-22,sourceOfficialUrl=https://tsugimanga.jp/winner/2015/comics; rakutenProductUrl=https://books.rakuten.co.jp/rb/12906514/; normalizedTitle=らーめん大好き小泉さん; matchedRakutenAuthor=鳴見なる; isbn=9784812487983.
