sourceItemId,sourceId,status,candidateId,workId,decisionRef
mangataisho-2008-106,mangataisho-2008,included,candidate-060a72fe10cf6ba9cbfc,work-060a72fe10cf6ba9cbfc,mapping-86d2c84a2bac31711aba
mangataisho-2009-158,mangataisho-2009,duplicate,candidate-060a72fe10cf6ba9cbfc,work-060a72fe10cf6ba9cbfc,mapping-fc7d6b95c15e807db65c
mangataisho-2014-108,mangataisho-2014,included,candidate-076beb86f844b642beef,work-076beb86f844b642beef,mapping-030f52d564f5fc2204fb
mangataisho-2015-065,mangataisho-2015,duplicate,candidate-076beb86f844b642beef,work-076beb86f844b642beef,mapping-2b25d7308948bfc5552a
mangataisho-2014-219,mangataisho-2014,included,candidate-091d231d37f037fb07e8,work-091d231d37f037fb07e8,mapping-a52073797efcc77c1b53
mangataisho-2015-019,mangataisho-2015,duplicate,candidate-091d231d37f037fb07e8,work-091d231d37f037fb07e8,mapping-6a55efd8692e37a6d2af
mangataisho-2024-002,mangataisho-2024,duplicate,candidate-0cf463005cc77eeded8e,work-0cf463005cc77eeded8e,mapping-2ce12f0d7f668d1c63d0
tsugimanga-2023-comics-038,tsugimanga-2023-comics,included,candidate-0cf463005cc77eeded8e,work-0cf463005cc77eeded8e,mapping-04e83d4d1f29537890d8
mangataisho-2015-101,mangataisho-2015,duplicate,candidate-0d1ad77728a44df56508,work-0d1ad77728a44df56508,mapping-2f8cc9ced2c8985971b5
tsugimanga-2015-comics-050,tsugimanga-2015-comics,included,candidate-0d1ad77728a44df56508,work-0d1ad77728a44df56508,mapping-cf9aa8e9eb2b87f557ba
mangataisho-2015-102,mangataisho-2015,duplicate,candidate-0dabd1d17e5fcf2992b9,work-0dabd1d17e5fcf2992b9,mapping-9a7f1e74e7daef0f69a3
tsugimanga-2016-comics-042,tsugimanga-2016-comics,included,candidate-0dabd1d17e5fcf2992b9,work-0dabd1d17e5fcf2992b9,mapping-ab083dbbbca34096b2e0
mangataisho-2008-077,mangataisho-2008,included,candidate-0ebf010ac12b9b60d80e,work-0ebf010ac12b9b60d80e,mapping-a1def951ae6607b67be3
mangataisho-2009-088,mangataisho-2009,duplicate,candidate-0ebf010ac12b9b60d80e,work-0ebf010ac12b9b60d80e,mapping-4d918472fb97a73b1195
mangataisho-2018-005,mangataisho-2018,duplicate,candidate-0ede6921b81169dc2dda,work-0ede6921b81169dc2dda,mapping-88ac794e150225ec1148
tsugimanga-2017-comics-037,tsugimanga-2017-comics,included,candidate-0ede6921b81169dc2dda,work-0ede6921b81169dc2dda,mapping-c9a9bb1b741ccfb76d2e
mangataisho-2013-125,mangataisho-2013,included,candidate-0eff8190c0c6ff604527,work-0eff8190c0c6ff604527,mapping-79c0355668219024c61a
mangataisho-2014-105,mangataisho-2014,duplicate,candidate-0eff8190c0c6ff604527,work-0eff8190c0c6ff604527,mapping-12b6dafae383d76d23c8
mangataisho-2010-009,mangataisho-2010,included,candidate-12b484cd79bfe6852ea1,work-12b484cd79bfe6852ea1,mapping-a2b29bc46d5d360ca56c
