workId,canonicalTitle,officialUrl,sourceName,sourceType,publishedAt,retrievedAt,editionMapping,accessResult,readableInternalPageCount,distinctContextCount,pageRefs,staticGateAttemptable,motionGateAttemptable,stateEligibility,temporarySampleSha256,limitation
work-1ec3d48e64b228bb8a92,娚の一生,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091322690000d0000000,小学館eコミックストア 公式試し読み,officialPublisherInternalPreview,2009-03-10,2026-08-25,official Shogakukan e-comi volume 1 JDCN 091322690000d0000000 bridges frozen ISBN 9784091322692 to the same title and volume,accessible,6,3,reader-step-04;reader-step-05;reader-step-06;reader-step-07;reader-step-08;reader-step-09,true,false,sample-ready,reader-step-04=929fd481fb2d278e43cc6a1039277dd64e207e2a0ce4083e3e1210c65dc543e5;reader-step-05=9c0f95ba69797435776e64c9a2866bed3210c050b6b783cf549d832254b18c0e;reader-step-06=9b42d6b2a50cb466796fc7ab4489ab3d4f40f134ef0710251ca2a4e57fb0a8b9;reader-step-07=df4866e5fd08d70c60fc71c544bfeda4ae8f320a8d1def588aab0dcf64acf408;reader-step-08=ea9475225f62b2cde2b6e301aeb4c3b1874835b301e86eb6c86f8e6ae9b96854;reader-step-09=a4f244ecec2772100240b248e2d14a7227ad6e6ef104a82500cf5e31af38961a,Count capped at six; readable body pages cover home and domestic interiors outdoor or river scenes and group or family contexts; cover title contents and ads were excluded; exact continuous start-development-impact-resolved motion sequence was not isolated
work-238c04ae3a3a61451078,リューシカ・リューシカ,https://magazine.jp.square-enix.com/top/comics/detail/9784757529083/,スクウェア・エニックス 公式商品ページ,officialPublisherProductPage,2010-06-22,2026-08-25,official Square Enix volume 1 product matches frozen ISBN 9784757529083 and volumes 1-3 are bridged by official product pages but no product-linked registered Gangan Online chapter was exposed,official-product-only,0,0,,false,false,unknown-ready,,Exact official product identity was retained but the registered Square Enix promotion route has no exact edition-bound readable sample; all Art axes close unknown-ready without blocker
work-43ebf010a490cfd4bb50,千年万年りんごの子,https://www.kodansha.co.jp/comic/products/0000046459/trial/reader?cid=16004bb7861da5596a0684a912a8f99c1021434d87c50d73d1a592067049f05b,講談社 公式試し読み,officialPublisherInternalPreview,2012-07-06,2026-08-25,Kodansha product 0000046459 and linked reader identify volume 1 and bridge frozen ISBN 9784063805789; official volume 2 and 3 product pages confirm the entry range,accessible,6,3,reader-step-04;reader-step-05;reader-step-06;reader-step-07;reader-step-08;reader-step-09,true,false,sample-ready,reader-step-04=3a04c9585e1f57ce2138c6063dd8f6a9cab93bf7c080b02cb79ac8543940010e;reader-step-05=38d013ba7c534a2c9743b52d1d6203c2e167c60f9808fd279203533d22d8b6df;reader-step-06=f5274e88c63b8851965d73535ee3319c97fa0d697e04819cbc5dea4add230262;reader-step-07=83116f9f697ed0161c5e7fa00b01fc05188c6f0b0107c5df0ece7d89518c808c;reader-step-08=4bd728d88734529152661fe6284ea8937b1e7b75295c49de55945ba44f2f421f;reader-step-09=7623b77ddc003159f9e7aa288c951ca78ec3d72e9532da7ee145a37579ccf5a8,Count capped at six; readable body pages cover mountain or outdoor scenes domestic interiors and community or family gatherings; contents and other non-body material were excluded; exact continuous start-development-impact-resolved motion sequence was not isolated
work-4b4bbe8c10859c46e726,百舌谷さん逆上する,https://www.kodansha.co.jp/comic/products/0000029330/trial/reader?cid=034a122d6baedf99186dba7826e6b6620e120a3e356d1f9881a05bb535e684a0,講談社 公式試し読み,officialPublisherInternalPreview,2008-06-23,2026-08-25,Kodansha product 0000029330 and linked reader identify volume 1 and bridge frozen ISBN 9784063145120; official volume 2 and 3 product pages confirm the entry range,accessible,6,3,reader-step-04;reader-step-05;reader-step-06;reader-step-07;reader-step-08;reader-step-09,true,false,sample-ready,reader-step-04=92abea8b4aa94fff54f14b89e269a8fa94219f734155430e7c0377f6e9f6e31a;reader-step-05=ecd3cea43191300657310721453aaabb7e7df0131c9f3e760551d09c0f3317df;reader-step-06=7f9d3c98df7fc6877f94c93012c009c9243704eda1cda422673e82417323f5de;reader-step-07=812dc6c6936b3236c4d6c578a48940edad6e2bbd6e0acc977a2f9b00d6f81bf1;reader-step-08=996beb99f07b333619b7db6d6a6d340246663a00cfebd8ca545b70546f516386;reader-step-09=6ffc6d95f2519e28b376dea2953d13b29d49503f077779eff78c0db72bece957,Count capped at six; readable body pages cover classroom; school corridor/exterior; school assembly/library contexts; covers title contents and ads were excluded; exact continuous start-development-impact-resolved motion sequence was not isolated
work-5ad62e6413f67d351f1d,天にひびき,https://www.shonengahosha.co.jp/book_Info.php?id=6719,少年画報社 公式商品ページ,officialPublisherProductPage,2009-12-28,2026-08-25,official Shonengahosha volume 1 product matches frozen ISBN 9784785932909 and volumes 1-3 are bridged by official product pages but no product-linked readable internal trial was exposed,official-product-only,0,0,,false,false,unknown-ready,,Exact official product identity was retained but no registered product or topic trial could be mapped to the frozen edition; all Art axes close unknown-ready without blocker
work-5b7cf2105a4bc6f6b46c,クジラの子らは砂上に歌う,https://www.akitashoten.co.jp/comics/4253261019,秋田書店 公式商品ページ,officialPublisherProductPage,2013-12-16,2026-08-25,official Akita product matches frozen ISBN 9784253261012 and volumes 1-3 are bridged by official product pages; the discovered ARC reader is not the registered Champion Cross promotion route,official-product-only,0,0,,false,false,unknown-ready,,The exact official product identity was retained but only an unregistered ARC reader was available and it was not substituted; all Art axes close unknown-ready without blocker
work-5e30ab3c7e3fb43e51f2,女王の花,https://shogakukan-comic.jp/viewer-open?jdcn=091320090000d0000000&u1=https%3A%2F%2Fshogakukan-comic.jp%2Fbook%3Fjdcn%3D091320090000d0000000,小学館コミック 公式試し読み,officialPublisherInternalPreview,2008-08-26,2026-08-25,official Shogakukan JDCN 091320090000d0000000 reader bridges frozen ISBN 9784091320094 to volume 1; official volume 2 and 3 JDCN pages confirm the entry range,accessible,6,3,reader-step-04;reader-step-05;reader-step-06;reader-step-07;reader-step-08;reader-step-09,true,true,sample-ready,reader-step-04=f283db06cd04d06c3cddab3796c28d7555cc6781bab50e24d7e78be4010cbd28;reader-step-05=1bcda3bbec6ed83d84a853db909b5917fffd187b0f3c96dcfa06075db3d29ad6;reader-step-06=5c81a04abd5a4ae7c7d99f4bdc0efb51b1b353a4569cad89b1773fa5f7e45f4a;reader-step-07=ea775ffa3eb18160919a0986edcf0ff7895d6d26c62b4110a6fed900fc501f28;reader-step-08=2906c7decb5e90e1a0ac674ae6c4f2c91a63b43a61ca18d78ef69761e3d531b2;reader-step-09=7fe5491aaf1ed6d0797625def24cfa41b2d72ef8cd894c8b0d4a94a6f9afa06e,Count capped at six; reader-step-05 to reader-step-06 to reader-step-07 preserves an exact bounded sequence of flight start; pursuit and wall leap/descent; landing and confrontation endpoint; cover title contents and ads were excluded
work-62fb5d8e9f6c6bbbeba9,血潜り林檎と金魚鉢男,https://www.kadokawa.co.jp/product/201108000200/,KADOKAWA 公式商品ページ,officialPublisherProductPage,2011-10-15,2026-08-25,official KADOKAWA product matches frozen ISBN 9784048860499 and volumes 1-3 are bridged by official product pages but product pre_trial_reading_flg is 0 and no exact BOOK WALKER sample is linked,official-product-only,0,0,,false,false,unknown-ready,,Exact official product identity was retained but no product-linked distributor preview could be verified; all Art axes close unknown-ready without blocker
work-6c6341781c12b590864f,鉄楽レトラ,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091234450000d0000000,小学館eコミックストア 公式試し読み,officialPublisherInternalPreview,2011-10-12,2026-08-25,official Shogakukan e-comi volume 1 JDCN 091234450000d0000000 bridges frozen ISBN 9784091234452 to the same title and volume; official volume 2 and 3 JDCN pages confirm the entry range,accessible,6,3,reader-step-04;reader-step-05;reader-step-06;reader-step-07;reader-step-08;reader-step-09,true,false,sample-ready,reader-step-04=fb313bdddc18d983219c2b78d1eb9180494bdfdc4a2eeb4ad4e90d81ccd4bda3;reader-step-05=a927ae93f9c8b2b529ff5be4c3f7298262126247d4eff8a6ec715c0772da5ab3;reader-step-06=a2cb9e02f813392f5d0ee4b5e0190984b8bd6c90f2503a2bf470aaf45111d4fa;reader-step-07=400ea2e057c5384146fb4f46286c6011ff55198a103dd11d4a981559202eec8f;reader-step-08=2f70f46ab410efbd5c2615e0c765bb20a0fcec4eed5918897fb7d4a357de67a8;reader-step-09=4fff94f5aa17f58ff4abcb4fbd774ecc87c1ca2887896bdcac292e63a937b5af,Count capped at six; readable body pages cover home and train scenes urban or school settings and sport or group scenes; cover title contents and ads were excluded; exact continuous start-development-impact-resolved motion sequence was not isolated
work-77008e04537e3fd889e2,ジョジョリオン,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088703114,集英社 公式試し読み,officialPublisherInternalPreview,2011-12-19,2026-08-25,official Shueisha volume 1 product and exact ISBN reader bridge frozen ISBN 9784088703114; official volume 2 and 3 product pages confirm the entry range,accessible,6,3,reader-step-05;reader-step-06;reader-step-07;reader-step-08;reader-step-09;reader-step-10,true,true,sample-ready,reader-step-05=bba491a471d3ce544ec68d68af9e50462d3b14487ebd51cbf7a1c246b8d2730b;reader-step-06=f12ced145bae2595583e2d2471d184f815f3fe7ca23b2e07b28de6a05d6635e1;reader-step-07=b655fa7fe144dd4be99e92b58cb3aeca65a95e83c1eb4dfc310da9b5d1f35682;reader-step-08=9ad26c84852e6eefefe2e12c47f23490ff3c1ab5d731b967cb90f6399e174587;reader-step-09=90155f576f780b31b62f2ac6d938ba333b1d4d259f9165c88093a4e195b9c599;reader-step-10=fbd1bbb44a4371f13cb59c16d8984f9ca3d584054305235f00daf3f233ab940e,Count capped at six after excluding title splash; reader-step-05 preserves an exact bounded fall sequence of stumble start; fall/collision impact; fallen aftermath and rising endpoint; cover title contents and ads were excluded
