"position","workId","canonicalTitle","blockerCode","blockerDetails","evidenceName","evidenceUrl","evidencePublishedAt","retrievedAt","recheckPath","koreanQueries","japaneseEvidenceUrls"
"1","work-5eb522c5a4b4f5cb052f","久保さんは僕を許さない","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2020/comics","2020","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/16193638/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","쿠보 양은 나를 용서하지 않아|쿠보 양은 나를 내버려두지 않아","https://youngjump.jp/manga/kubomob/"
"2","work-61a5fe43e48685c3fcf5","健康で文化的な最低限度の生活","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12835391/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","건강하고 문화적인 최저한도의 생활|건강하고 문화적인 최저 한도의 생활","https://buzz-manga.blog.jp/Kenko-Bunka-Saiteigendo-Life-matome.html"
"3","work-62e51d8166d487f9e6e3","白暮のクロニクル","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2015/comics","2015","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12601995/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","백모의 크로니클|백모의 연대기","https://bookmeter.com/books/7847969"
"4","work-64cd212285dac5214c5f","帝の至宝","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/6218904/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","제왕의 보물|제의 지보","https://bksta.com/article/mLrhXaqTLSojWkj"
"5","work-655809e0d43ec6109015","木曜日のフルット","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/6718296/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","목요일의 플룻|목요일의 프룻","https://manganou.livedoor.blog/archives/51534732.html"
"6","work-65c2c6157aa1dc8dd746","BEASTARS","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2017/comics","2017","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/14596092/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","비스타즈 BEASTARS|비스타즈 1권","https://inunohibi.hatenablog.com/entry/2018/08/19/201250"
"7","work-6647dd6573ec5b2f3252","リカってば!","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/4106457/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","리카잖아|리카","https://kototone.blogspot.com/2006/09/blog-post_08.html"
"8","work-676196eea071166d9ebb","すだちの魔王城","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2022/comics","2022","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/17095247/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","스다치의 마왕성|스다치 마왕성","https://messagebottles.blog.fc2.com/blog-entry-461.html"
"9","work-688d64732ca3e8e89060","ばっどがーる","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2022/comics","2022","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/16951104/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","배드 걸|배드걸","https://booklive.jp/review/list/title_id/1070564/vol_no/001"
"10","work-6bbe7e275d0c00809904","エリア５１","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/11186550/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","에리어 51|에리어51","https://blog.livedoor.jp/samxrh/archives/10372532.html"
"11","work-6c274b0b6893d8ad8ef7","イムリ","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/4475307/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","이무리|임우리","https://booklive.jp/review/list/title_id/11200/vol_no/001"
"12","work-6e6a9db48983aac5dc62","クプルムの花嫁","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2022/comics","2022","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/16546831/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","쿠플룸의 신부|쿠플럼의 신부","https://ano-manablo.hatenablog.com/entry/2024/04/01/070000"
"13","work-7281d838666983756309","ワールドトリガー","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/12332420/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","월드 트리거|월드트리거","https://osusumemanga.vivian.jp/blog/2013/10/worldtrigger_1st.html"
"14","work-7461bbfdb466b4a51c7f","花唄メモワール","SOURCE_INFORMATION_UNAVAILABLE","Official + JP + Korean paths exhausted for bounded entry-volume 1-3 review. Existing source coverage leaves all 17 Axis cells, Genre, and Theme unreviewed/unknown; no reproducible 0/2/4 promotions were accepted, so recommendationVerified is not defensible. Unknown was not converted to low and selection labels, ratings, popularity, and silence were not used. BookLive/CMOA/Booklog-syndicated reviews were deduplicated; retailer/award labels were not treated as factor evidence. Art is optional.","Official award/product copy; independent Japanese review/community search; Korean-title community search","https://tsugimanga.jp/winner/2024/comics","2024","2026-08-26","Rakuten:https://books.rakuten.co.jp/rb/17531564/; Reopen only with edition-bound official volume 1-3 copy/trial or at least two independent non-syndicated entry-range JP/KR reviews establishing concrete 0/2/4 cells; Art is optional and never a blocker.","하나우타 메모와르|꽃노래 메모와르","https://booklive.jp/review/list/title_id/1387397/vol_no/001"
