"position","workId","canonicalTitle","genres","themes","progression","problemSolving","strategy","pacing","mysteryReveal","worldBuilding","characterArcWeight","relationshipStructure","comedy","darkness","mentalStress","romance","emotionalWarmth","factorConfidence","evidenceName","evidenceUrl","evidencePublishedAt","retrievedAt","japaneseEvidenceUrls","koreanEvidenceUrls","koreanQueries","notes"
"1","work-a8e7fda40fe4cfd357cf","君と綴るうたかた","romance;sliceOfLife","school:2:0.85","2","2","2","2","2","0","4","2","unknown","2","4","4","4","0.86","Official Rakuten vol.1 product + bounded review QA — 君と綴るうたかた","https://books.rakuten.co.jp/rb/16532034/","2022-08-31","2026-08-26","https://antaressmangakanso.iiblog.jp/article/479599180.html","https://gall.dcinside.com/mgallery/board/view/?id=lilyfever&no=1599449","""너와 잇는 물거품"" 만화 리뷰; ""키미토 츠즈루 우타카타"" 만화 리뷰","초반 1~3권 관찰: 공식 라쿠텐 상품 문구와 일본 개인 리뷰에서 소설을 쓰는 시즈쿠와 인기생 카오리가 여름 동안 가짜 연애로 연결되고, 괴롭힘·질병의 무거운 과거를 마주하며 관계가 진전되는 구성이 확인된다. 일본 직접 본문: antaressmangakanso 1권 리뷰. 한국어 제목 검색 범위: ""너와 잇는 물거품"" 만화 리뷰; ""키미토 츠즈루 우타카타"" 만화 리뷰. 한국 DCInside 직접 본문은 고교생 두 사람의 소설·구원 서사를 확인하는 보조 근거로 채택했고 검색 목록·상품 셸·이미지 평은 수치에서 제외했다. Conservative mappings: progression=2;problemSolving=2;strategy=2;pacing=2;mysteryReveal=2;worldBuilding=0;characterArcWeight=4;relationshipStructure=2;darkness=2;mentalStress=4;romance=4;emotionalWarmth=4. genres=romance;sliceOfLife; theme=school:2. Official product + direct JP/KR body only; Art is optional."
"2","work-ab1258948eec0e70b1ca","またぞろ。","comedy;sliceOfLife","school:2:0.90","2","2","2","0","0","0","4","2","4","2","2","unknown","4","0.84","Official Rakuten vol.1 product + bounded JP/KR community review QA — またぞろ。","https://books.rakuten.co.jp/rb/16630808/","2021-08-24","2026-08-26","https://sugunitiblog.com/introduction-17/;https://manba.co.jp/boards/132672/books/1","","""마타조로"" 만화 리뷰; ""또다시"" 일본 만화 리뷰","초반 1~3권 관찰: 공식 상품과 일본 Manba 직접 리뷰에서 유급생 세 명이 같은 고교 반에서 학교 복귀·숙제·문화제를 부딪히며 서로 보완하는 4컷 일상이 확인된다. 일본 직접 본문: sugunitiblog 작품 소개; Manba 1권 리뷰. 한국어 제목 검색 범위: ""마타조로"" 만화 리뷰; ""또다시"" 일본 만화 리뷰. 한국 커뮤니티 직접 본문은 확인되지 않아 한국 결과는 채택하지 않았고, 검색 목록·별점은 수치에서 제외했다. Conservative mappings: progression=2;problemSolving=2;strategy=2;pacing=0;mysteryReveal=0;worldBuilding=0;characterArcWeight=4;relationshipStructure=2;comedy=4;darkness=2;mentalStress=2;emotionalWarmth=4. genres=comedy;sliceOfLife; theme=school:2. Official product + direct JP body only; Art is optional."
"3","work-ac4059b89f3366ca7a17","平和の国の島崎へ","action","combat:2:0.85","2","2","2","4","2","2","4","2","unknown","4","4","unknown","2","0.82","Official Rakuten vol.1 product + bounded review QA — 平和の国の島崎へ","https://books.rakuten.co.jp/rb/17332315/","2023-08-31","2026-08-26","https://www.cmoa.jp/title/customer_review/title_id/258145/","","""평화의 나라 시마자키에게"" 만화 리뷰; ""평화의 나라의 시마자키에게"" 리뷰","초반 1~3권 관찰: 전직 소년병이 일본에 돌아와 평범한 날을 배우는 동시에 암살자와 무장 충돌을 겪으며 평화와 폭력의 대비가 제시된다. 출처: Cmoa 독자 리뷰 본문. 판정값: characterArcWeight=4;darkness=4;emotionalWarmth=2;mentalStress=4;mysteryReveal=2;pacing=4;problemSolving=2;progression=2;relationshipStructure=2;strategy=2;worldBuilding=2. 공식 상품·홍보와 직접 열린 JP/KR 본문만 사용했고 검색 목록·상품 셸·범위 밖 후기·일반 기억·이미지 분석은 수치 근거에서 배제했다. 한국어 제목 query를 유지했다. Art is optional."
"4","work-acf8f385f6db7ee0548f","魔法少女201","comedy;fantasy","combat:1:0.80","2","2","2","4","2","2","2","2","4","2","2","2","2","0.86","Official Rakuten vol.1 product + bounded JP/KR community review QA — 魔法少女201","https://books.rakuten.co.jp/rb/17793475/","2024-08-28","2026-08-26","https://manba.co.jp/boards/193897/topics;https://www.cmoa.jp/title/customer_review/title_id/290604/?site_kbn=1;https://ktats.blog.fc2.com/blog-entry-1209.html","","""마법소녀 201"" 만화 리뷰; ""마법소녀 이백일"" 만화 리뷰","초반 1~3권 관찰: 공식 상품은 패배 벌금으로 가난해진 악의 조직 여간부가 옆집으로 이사 온 마법소녀와 정체를 숨긴 채 충돌하는 이웃 코미디를 설명한다. 일본 Manba·Cmoa 직접 리뷰는 강한 마무와 계획성 없는 후지야마, 정체 은폐와 매회 폭발 개그를 반복해서 확인한다. 한국어 제목 검색 범위: ""마법소녀 201"" 만화 리뷰; ""마법소녀 이백일"" 만화 리뷰. 한국 검색의 나무위키 정보 페이지는 커뮤니티 평으로 간주하지 않아 수치 근거에서 제외했다. Conservative mappings: progression=2;problemSolving=2;strategy=2;pacing=4;mysteryReveal=2;worldBuilding=2;characterArcWeight=2;relationshipStructure=2;comedy=4;darkness=2;mentalStress=2;romance=2;emotionalWarmth=2. genres=comedy;fantasy; theme=combat:1. Official product + direct JP body only; Art is optional."
"5","work-b0baba6c795643b1db91","町田くんの世界","romance;sliceOfLife","school:2:0.90","2","2","0","2","0","0","4","2","2","2","2","2","4","0.88","Official Rakuten vol.1 product + bounded JP/KR community review QA — 町田くんの世界","https://books.rakuten.co.jp/rb/13265553/","2016-02-04","2026-08-26","https://www.ka-net.org/blog/?p=7521;https://www.cmoa.jp/title/customer_review/title_id/100011/","https://m.yes24.com/Goods/Review/67019210","""마치다군의 세계"" 만화 리뷰; ""마치다 군의 세계"" 리뷰","초반 1~3권 관찰: 공식 상품과 일본 Cmoa·ka-net 직접 리뷰에서 공부·운동은 서툴지만 모두를 배려하는 고교생 마치다가 고립된 동급생과 연결되고, 주변 인물들이 웃음과 위로를 얻는 에피소드식 청춘이 확인된다. 한국어 제목 검색 범위: ""마치다군의 세계"" 만화 리뷰; ""마치다 군의 세계"" 리뷰. YES24 2권 회원리뷰 직접 본문은 허술하지만 힐링이 되는 주인공과 개그감을 보조 확인하며, 영화·검색 셸은 수치에서 제외했다. Conservative mappings: progression=2;problemSolving=2;strategy=0;pacing=2;mysteryReveal=0;worldBuilding=0;characterArcWeight=4;relationshipStructure=2;comedy=2;darkness=2;mentalStress=2;romance=2;emotionalWarmth=4. genres=romance;sliceOfLife; theme=school:2. Official product + direct JP/KR body only; Art is optional."
"6","work-b3ea582f72fd539f881c","ありす、宇宙までも","scienceFiction","exploration:2:0.92;school:2:0.84","2","2","unknown","2","2","2","4","2","unknown","2","4","unknown","4","0.86","Official Rakuten vol.1 product + bounded review QA — ありす、宇宙までも","https://books.rakuten.co.jp/rb/17926261/","2025-09-18","2026-08-26","https://note.com/unripe__apples/n/nf966fd18adbd","","""앨리스 우주까지"" 만화 리뷰; ""아리스 우주까지도"" 리뷰","초반 1~3권 관찰: 전학생과 의사소통이 서툰 인물이 우주를 향한 호기심을 보이며, 부모의 죽음과 가시 섬광 현상에 대한 애도가 초반에 제시된다. 출처: Note 1화 리뷰. 판정값: characterArcWeight=4;darkness=2;emotionalWarmth=4;mentalStress=4;mysteryReveal=2;pacing=2;problemSolving=2;progression=2;relationshipStructure=2;worldBuilding=2. 공식 상품·홍보와 직접 열린 JP/KR 본문만 사용했고 검색 목록·상품 셸·범위 밖 후기·일반 기억·이미지 분석은 수치 근거에서 배제했다. 한국어 제목 query를 유지했다. Art is optional."
"7","work-b403d2f9699b4f8dd110","おはようおかえり","romance;sliceOfLife","workplace:1:0.78","2","2","0","2","0","2","4","4","2","2","2","4","2","0.82","Official Rakuten vol.1 product + bounded JP/KR community review QA — おはようおかえり","https://books.rakuten.co.jp/rb/11128696/","2012","2026-08-26","https://www.cmoa.jp/title/customer_review/title_id/66352/;https://booklive.jp/review/list/title_id/215720/vol_no/001;https://ichinics.hatenadiary.com/entry/20130430/p1","","""좋은 아침 어서 와"" 만화 리뷰; ""오하요 오카에리"" 만화 리뷰","초반 1~3권 관찰: 공식 상품과 일본 Cmoa·BookLive 직접 리뷰에서 교토의 사회인 3년차 이치호가 두 누나와 연인 사이에서 일·가사·연애의 어긋남을 겪는 군상형 일상이 확인된다. 실제 직장 생활은 반복 배경이지만 중심은 가족·연애이므로 workplace는 보수적으로 1로만 둔다. 한국어 제목 검색 범위: ""좋은 아침 어서 와"" 만화 리뷰; ""오하요 오카에리"" 만화 리뷰. 한국 커뮤니티 직접 본문은 확인되지 않아 한국 결과는 채택하지 않았다. Conservative mappings: progression=2;problemSolving=2;strategy=0;pacing=2;mysteryReveal=0;worldBuilding=2;characterArcWeight=4;relationshipStructure=4;comedy=2;darkness=2;mentalStress=2;romance=4;emotionalWarmth=2. genres=romance;sliceOfLife; theme=workplace:1. Official product + direct JP body only; Art is optional."
"8","work-b4284a6ef960f906d31e","友達100人できるかな","scienceFiction;sliceOfLife","timeTravel:2:0.96;school:2:0.90","4","2","2","2","2","2","4","4","2","2","2","unknown","4","0.90","Official Rakuten vol.1 product + bounded review QA — 友達100人できるかな","https://books.rakuten.co.jp/rb/6136095/","2010","2026-08-26","https://bulublogpart1.seesaa.net/article/a62211812.html","","""친구 100명 만들 수 있을까"" 만화 리뷰; ""친구100명 만들 수 있을까"" 리뷰","초반 1~3권 관찰: 교사가 1980년으로 보내져 학교 친구 100명을 만드는 목표를 수행하고, 외계인과 우정 에피소드가 이어지는 1권 구조가 설명된다. 출처: bulublog 1권 리뷰. 판정값: characterArcWeight=4;comedy=2;darkness=2;emotionalWarmth=4;mentalStress=2;mysteryReveal=2;pacing=2;problemSolving=2;progression=4;relationshipStructure=4;strategy=2;worldBuilding=2. 공식 상품·홍보와 직접 열린 JP/KR 본문만 사용했고 검색 목록·상품 셸·범위 밖 후기·일반 기억·이미지 분석은 수치 근거에서 배제했다. 한국어 제목 query를 유지했다. Art is optional."
"9","work-b50b131e3e2bd7448d96","あそこではたらくムスブさん","romance;sliceOfLife","workplace:2:0.96","2","2","unknown","0","unknown","2","2","2","2","2","2","2","2","0.80","Official Rakuten vol.1 product + bounded review QA — あそこではたらくムスブさん","https://books.rakuten.co.jp/rb/15620872/","2020-08-19","2026-08-26","https://phmpk.hatenablog.com/entry/asoko-de-hataraku-musubu-san-v1","","""저기서 일하는 무스부 씨"" 만화 리뷰; ""무스부 씨"" 만화 리뷰","초반 1~3권 관찰: 콘돔 연구개발 사무실에서 안전성 시험을 함께하며 짝사랑이 천천히 진행되는 직장 로맨스의 1권 줄거리가 확인된다. 출처: phmpk 1권 블로그 리뷰. 판정값: characterArcWeight=2;comedy=2;darkness=2;emotionalWarmth=2;mentalStress=2;pacing=0;problemSolving=2;progression=2;relationshipStructure=2;romance=2;worldBuilding=2. 공식 상품·홍보와 직접 열린 JP/KR 본문만 사용했고 검색 목록·상품 셸·범위 밖 후기·일반 기억·이미지 분석은 수치 근거에서 배제했다. 한국어 제목 query를 유지했다. Art is optional."
"10","work-b6e5ab291c28e2a29076","変ゼミ","comedy;sliceOfLife","school:2:0.84","0","2","0","2","0","2","2","2","4","2","4","unknown","unknown","0.84","Official Rakuten vol.1 product + bounded JP/KR community review QA — 変ゼミ","https://books.rakuten.co.jp/rb/5790478/","2010","2026-08-26","https://booklive.jp/review/list/title_id/40380/vol_no/001","","""헨제미"" 만화 리뷰; ""변태 세미나"" 만화 리뷰","초반 1~3권 관찰: 공식 상품과 일본 BookLive 직접 리뷰에서 대학의 변태생리 세미나가 기이한 성적 취향을 분석하는 짧은 에피소드형 개그로 진행되고 심리적 압박과 인물 간 거리감이 동반되는 점이 확인된다. 한국어 제목 검색 범위: ""헨제미"" 만화 리뷰; ""변태 세미나"" 만화 리뷰. 한국 검색의 Tistory 글은 애니메이션 1화 감상이고 나무위키는 정보 페이지라 만화 1~3권 커뮤니티 근거로 채택하지 않았다. Conservative mappings: progression=0;problemSolving=2;strategy=0;pacing=2;mysteryReveal=0;worldBuilding=2;characterArcWeight=2;relationshipStructure=2;comedy=4;darkness=2;mentalStress=4. genres=comedy;sliceOfLife; theme=school:2. Official product + direct JP body only; Art is optional."
