position,workId,canonicalTitle
1,work-196f917715fbb17d4d0f,貧乏神が！
2,work-19914389b95a96a94e2b,グリーングリーングリーンズ
3,work-1998a3621df8e8cb4b95,暁のヨナ
4,work-19bf120239dd0661fdc0,SKET DANCE
5,work-19c3e776eecdbd1e2d8f,ホテルポパン
6,work-19f7ccc2693b36d742e4,グラゼニ
7,work-1a084f8d1e59ba8ed260,空想郵便局
8,work-1a3c3749e3db82bec0a4,さすらいアフロ田中
9,work-1a4f3079592a2bf3e9ab,ACONY
10,work-1aaf3b559f7d9c7f85e3,死後出版
11,work-1b7812afe1c1ec2f6d03,マグロちゃんは食べられたい！
12,work-1b839a7f7034e313c8d1,地球へ…
13,work-1b94cd8bacb92576eb36,イロドリミドリ
14,work-1b9fc6e13c87db1a08c4,高橋さんが聞いている。
15,work-1bdd89da60157e62d8ae,ハンザスカイ
16,work-1c08e020ca3edbdb268c,怪しいおまわりさん
17,work-1c11c52424ffad601818,竜女戦記
18,work-1c1cf67a3118c01ffaad,クロサギ
19,work-1c3e79210ad2ec6fe4ff,モブ子の恋
20,work-1c65e693efaeeca02c67,All You Need Is Kill
21,work-1c78f22da99c77aca86d,プリマックス
22,work-1ccf4922ae88d4a273af,虎鶫 とらつぐみ －TSUGUMI PROJECT－
23,work-1ce4c2c1010c1442593d,図書館の主
24,work-1cecf966898e6d18439d,雨天決行
25,work-1d00f523bae2dfe510eb,おぼっちゃまくん
26,work-1d191998612dec7bb5ba,チノミ
27,work-1d65bce561a9770057a6,なにかもちがってますか
28,work-1d7ca9dc1b4e67d8a6bc,三文未来の家庭訪問
29,work-1d9c4fcacb0b35e9fa5a,みゆき
30,work-1dc5eed44438268f78cd,あすなろ白書
31,work-1e247ae03a8ffdd85abf,2DK、Gペン、目覚まし時計。
32,work-1e508cb5384fdea51776,百器徒然袋 鳴釜 薔薇十字探偵の憂鬱
33,work-1ea5908e746ba04ba71b,水木しげるの遠野物語
34,work-1eea4768a5da9d66bba0,シバつき物件
35,work-1ef69d214afe688be73e,赫のグリモア
36,work-1efafafe54ce39bcb83e,総天然色乙女組
37,work-1f2ba6ab6be1c8af18ad,ウランバナ
38,work-1f853c16f6cebca63ffc,学園ベビーシッターズ
39,work-1f9cbf84ad0fd7f3897e,きょうのスー
40,work-1fa5f2e567aa75de030a,バンビ〜ノ！ SECONDO
41,work-1fc2f51ba7317524f8ab,水玉ハニーボーイ
42,work-1fd6cc14c3fd93aa26c0,スローループ
43,work-1ff116a3c975bfb50a03,家族の食卓
44,work-200fa8832525f3437678,ラジ娘のひみつ
45,work-202aaafe7b597ec4e0dd,リクドウ
46,work-203805efecbbb35375c7,蔵人
47,work-209ff48c0b011c1f2ce1,異法人
48,work-20a897f43b8dc9ecab2a,高校生家族
49,work-20cc795ddb729a1e2b53,五色の舟
50,work-213e1ded93227144f197,春風のスネグラチカ
