position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"1","work-867422e99320c757a340","かつて魔法少女と悪は敵対していた。","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (일찍이 마법소녀와 악은 적대하고 있었다 만화 후기 / 마법소녀와 악은 적대하고 있었다 원작 만화) returned ANIPLUS 한국어 공식 하이라이트만 확인(https://www.youtube.com/watch?v=RpU0hK0D_r4); 독립 커뮤니티 리뷰 없음; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","マンガ大賞 official archive — かつて魔法少女と悪は敵対していた。","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/12818765/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional. KR observed URL(s): https://www.youtube.com/watch?v=RpU0hK0D_r4.","일찍이 마법소녀와 악은 적대하고 있었다 만화 후기 / 마법소녀와 악은 적대하고 있었다 원작 만화 | 결과: ANIPLUS 한국어 공식 하이라이트만 확인(https://www.youtube.com/watch?v=RpU0hK0D_r4); 독립 커뮤니티 리뷰 없음","https://booklive.jp/review/list/title_id/468978/vol_no/001;https://photomedliban.com/2123.html"
"2","work-86bf2f7b461aa59499e9","神さまがまちガえる","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (신이 틀릴 수 있어 만화 후기 / 카미사마가 마치가에루 만화) returned 검색 결과에서 작품 일치 한국어 커뮤니티 리뷰 없음; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","次にくるマンガ大賞 official selection — 神さまがまちガえる","https://tsugimanga.jp/winner/2023/comics","2023-08-31","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/17112315/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional.","신이 틀릴 수 있어 만화 후기 / 카미사마가 마치가에루 만화 | 결과: 검색 결과에서 작품 일치 한국어 커뮤니티 리뷰 없음","https://bookmeter.com/books/19622199;https://yurinikki.hatenablog.com/entry/2021/10/27/220651"
"3","work-86e698f79e20d9caa95a","I.C.U.","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (아이씨유 I.C.U. 만화 후기 / 아이시유 타임 료스케 만화) returned 검색 결과에서 작품 일치 한국어 커뮤니티 리뷰 없음; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","マンガ大賞 official archive — I.C.U.","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/11321867/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional.","아이씨유 I.C.U. 만화 후기 / 아이시유 타임 료스케 만화 | 결과: 검색 결과에서 작품 일치 한국어 커뮤니티 리뷰 없음","https://ebookstore.sony.jp/review/title/10107193/id/LT000018024000348789"
"4","work-86f88e23bba7eaa71afd","黒子のバスケ","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (쿠로코의 농구 만화 후기 / 쿠로코의 바스케 독자 리뷰) returned 연세춘추 기사·한국어 블로그·나무위키 평가 확인(https://chunchu.yonsei.ac.kr/news/articleView.html?idxno=21055;https://blond-tanning-blogger.tistory.com/21;https://m.namu.moe/w/%EC%BF%A0%EB%A1%9C%EC%BD%94%EC%9D%98%20%EB%86%8D%EA%B5%AC); 초기 농구·성장·팀워크 관찰은 있으나 전 필수 그룹 미충족; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","全国書店員 official selection — 黒子のバスケ","https://hon-hikidashi.jp/event/104773/","2010","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/6025064/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional. KR observed URL(s): https://chunchu.yonsei.ac.kr/news/articleView.html?idxno=21055;https://blond-tanning-blogger.tistory.com/21;https://m.namu.moe/w/%EC%BF%A0%EB%A1%9C%EC%BD%94%EC%BD%94%EC%9D%98%20%EB%86%8D%EA%B5%AC.","쿠로코의 농구 만화 후기 / 쿠로코의 바스케 독자 리뷰 | 결과: 연세춘추 기사·한국어 블로그·나무위키 평가 확인(https://chunchu.yonsei.ac.kr/news/articleView.html?idxno=21055;https://blond-tanning-blogger.tistory.com/21;https://m.namu.moe/w/%EC%BF%A0%EB%A1%9C%EC%BD%94%EC%9D%98%20%EB%86%8D%EA%B5%AC); 초기 농구·성장·팀워크 관찰은 있으나 전 필수 그룹 미충족","https://booklive.jp/review/list/title_id/184976/vol_no/001;https://syoujikimanga.xyz/com/the-basketball-which-kuroko-plays/"
"5","work-875336d3e6c905047559","魔王城でおやすみ","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (마왕성에서 잘 자요 만화 후기 / 마왕성에서 잘 자요 1권 리뷰) returned YES24 회원리뷰·네이버 한국어 시놉시스 확인(https://m.yes24.com/Goods/Review/58676316;https://series.naver.com/comic/detail.series?productNo=3838303); 상품·시놉시스 중심으로 전 필수 그룹 미충족; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","次にくるマンガ大賞 official selection — 魔王城でおやすみ","https://tsugimanga.jp/winner/2017/comics","2017-08-23","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/14394147/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional. KR observed URL(s): https://m.yes24.com/Goods/Review/58676316;https://series.naver.com/comic/detail.series?productNo=3838303.","마왕성에서 잘 자요 만화 후기 / 마왕성에서 잘 자요 1권 리뷰 | 결과: YES24 회원리뷰·네이버 한국어 시놉시스 확인(https://m.yes24.com/Goods/Review/58676316;https://series.naver.com/comic/detail.series?productNo=3838303); 상품·시놉시스 중심으로 전 필수 그룹 미충족","https://nobuneko.com/blog/archives/2016/10/manga_sleeping_princess_1.html;https://www.cmoa.jp/title/119799/"
"6","work-87d3340aeaccad5f69a6","あじさいタウン","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (아지사이 타운 만화 후기 / 수국 타운 일본 만화) returned 검색 결과에서 작품 일치 한국어 커뮤니티 리뷰 없음; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","マンガ大賞 official archive — あじさいタウン","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/11480388/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional.","아지사이 타운 만화 후기 / 수국 타운 일본 만화 | 결과: 검색 결과에서 작품 일치 한국어 커뮤니티 리뷰 없음","https://bookmeter.com/search?keyword=%E3%81%82%E3%81%98%E3%81%95%E3%81%84%E3%82%BF%E3%82%A6%E3%83%B3"
"7","work-88567a8a7b0cacf777c6","ミルモでポン！","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (미르모 퐁퐁퐁 만화 후기 / 미르모데퐁 원작 만화) returned 나무위키 한국어 장르·출판 정보만 확인(https://namu.moe/w/%EB%AF%B8%EB%A5%B4%EB%AA%A8%20%ED%90%81%ED%90%81%ED%90%81%21); 직접 독립 리뷰 없음; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","小学館漫画賞 official archive — ミルモでポン！","https://shogakukan-comic.jp/shogakukan-mangasho-archives","2003","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/1420575/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional. KR observed URL(s): https://namu.moe/w/%EB%AF%B8%EB%A5%B4%EB%AA%A8%20%ED%90%81%ED%90%81%ED%90%81%21.","미르모 퐁퐁퐁 만화 후기 / 미르모데퐁 원작 만화 | 결과: 나무위키 한국어 장르·출판 정보만 확인(https://namu.moe/w/%EB%AF%B8%EB%A5%B4%EB%AA%A8%20%ED%90%81%ED%90%81%ED%90%81%21); 직접 독립 리뷰 없음","https://note.com/xxasanoxx/n/na779418f1e96;https://note.com/cdcobscure/n/n01cb8909f4d0"
"8","work-889bc957a60a0558af22","夏の前日","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (여름의 전날 만화 후기 / 여름 전날 요시다 모토이) returned 알라딘 1권 독자평·루리웹 추천글 확인(https://blog.aladin.co.kr/mobile/mredirection.aspx?SM=PC&returnurl=%2F717313100%2F11860028;https://bbs.ruliweb.com/family/212/board/300067/read/26707544); 초기 분위기 관찰이나 복수 필수 그룹 미충족; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","マンガ大賞 official archive — 夏の前日","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/6314662/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional. KR observed URL(s): https://blog.aladin.co.kr/mobile/mredirection.aspx?SM=PC&returnurl=%2F717313100%2F11860028;https://bbs.ruliweb.com/family/212/board/300067/read/26707544.","여름의 전날 만화 후기 / 여름 전날 요시다 모토이 | 결과: 알라딘 1권 독자평·루리웹 추천글 확인(https://blog.aladin.co.kr/mobile/mredirection.aspx?SM=PC&returnurl=%2F717313100%2F11860028;https://bbs.ruliweb.com/family/212/board/300067/read/26707544); 초기 분위기 관찰이나 복수 필수 그룹 미충족","https://www.cmoa.jp/title/59403/;https://bookmeter.com/books/554699"
"9","work-88a18383d225bfbb8d3c","きのこいぬ","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (버섯 강아지 만화 후기 / 키노코이누 원작 만화) returned JustWatch 한국어 시놉시스만 확인(https://www.justwatch.com/kr/TV-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8/kinokoinu-mushroom-pup); 독립 커뮤니티 리뷰 없음; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","マンガ大賞 official archive — きのこいぬ","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/11353778/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional. KR observed URL(s): https://www.justwatch.com/kr/TV-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8/kinokoinu-mushroom-pup.","버섯 강아지 만화 후기 / 키노코이누 원작 만화 | 결과: JustWatch 한국어 시놉시스만 확인(https://www.justwatch.com/kr/TV-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8/kinokoinu-mushroom-pup); 독립 커뮤니티 리뷰 없음","https://bookmeter.com/books/4132071;https://www.cmoa.jp/title/82294/"
"10","work-88b6ddbe403959af0452","きらりん☆レボリューション","SOURCE_INFORMATION_UNAVAILABLE","Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and entry_1_3 scope; official wording alone is not a numeric Factor anchor. The frozen ev-single packet carries no Factor/Theme/Evidence cells. Bounded JP routes and Korean title-variant search (키라링 레볼루션 만화 후기 / 라라의 스타일기 원작 만화) returned 더쿠·나무위키·콜리 한국어 게시물 확인(https://theqoo.net/an/730128993;https://m.namu.moe/w/%ED%82%A4%EB%9D%BC%EB%A7%81%E2%98%86%EB%A0%88%EB%B3%BC%EB%A3%A8%EC%85%98;https://colley.kr/item/1645429949); 초기 만화·애니 경험 언급이나 전 필수 그룹 미충족; repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Narrative/Tone groups is unavailable. No new accepted numeric cells asserted. Art is optional and non-blocking. Confidence: high for SOURCE_INFORMATION_UNAVAILABLE blocker; factor values remain unknown.","小学館漫画賞 official archive — きらりん☆レボリューション","https://shogakukan-comic.jp/shogakukan-mangasho-archives","2006","2026-08-26","Recheck product: https://books.rakuten.co.jp/rb/1704560/; rerun official entry_1_3 pages plus at least two non-syndicated JP reviews and two Korean-community reviews with bounded vol.1-3 observations; map repeatable Genre/Theme/Narrative/Tone 0/2/4 anchors and rerun Dictionary adjudication. Art is optional. KR observed URL(s): https://theqoo.net/an/730128993;https://m.namu.moe/w/%ED%82%A4%EB%9D%BC%EB%A7%81%E2%98%86%EB%A0%88%EB%B3%BC%EB%A3%A8%EC%85%98;https://colley.kr/item/1645429949.","키라링 레볼루션 만화 후기 / 라라의 스타일기 원작 만화 | 결과: 더쿠·나무위키·콜리 한국어 게시물 확인(https://theqoo.net/an/730128993;https://m.namu.moe/w/%ED%82%A4%EB%9D%BC%EB%A7%81%E2%98%86%EB%A0%88%EB%B3%BC%EB%A3%A8%EC%85%98;https://colley.kr/item/1645429949); 초기 만화·애니 경험 언급이나 전 필수 그룹 미충족","https://bookmeter.com/search?keyword=%E3%81%8D%E3%82%89%E3%82%8A%E3%82%93%E2%98%86%E3%83%AC%E3%83%9C%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3"
