position,workId,canonicalTitle,genres,themes,progression,problemSolving,strategy,pacing,mysteryReveal,worldBuilding,characterArcWeight,relationshipStructure,comedy,darkness,mentalStress,romance,emotionalWarmth,factorConfidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,japaneseEvidenceUrls,koreanEvidenceUrls,koreanQueries,notes
1,work-b2e1ad54e15dd95a1f6e,架カル空ノ音,fantasy;scienceFiction,survival:2:0.84,2,2,unknown,2,2,4,2,2,0,4,2,0,2,0.79,Rakuten Books representative volume 1 product — 架カル空ノ音,https://books.rakuten.co.jp/rb/4348855/,2010,2026-08-26,https://blog.livedoor.jp/bluemoon0928/archives/53289448.html;https://manba.co.jp/boards/158476,,걸리는 하늘의 소리 만화 리뷰;카카루 소라노 오토 리뷰;걸리는 하늘의 소리 1권 후기,"초반 1~3권 범위: 공식 Rakuten Books 1권과 일본 독립 감상 https://blog.livedoor.jp/bluemoon0928/archives/53289448.html 및 작품별 Manba 본문 https://manba.co.jp/boards/158476 를 대조했다. 공식/Manba 소개의 전쟁을 피해 산속에 사는 군의가 쓰러진 날개 소년을 구하고 멸종 위기의 고대 조인류와 인간의 만남을 그린다는 내용과 독립 감상의 삶·죽음 성찰이 생존·세계 규칙을 지지한다. 소년을 치료하고 이동하는 직접 행동은 problemSolving=2, 종족의 운명과 정체에 대한 비밀은 mysteryReveal=2, 비극적 멸망과 날개 종족의 배경은 darkness=4로 보수 매핑했다. 한국어 한글명 검색(걸리는 하늘의 소리 만화 리뷰;카카루 소라노 오토 리뷰;걸리는 하늘의 소리 1권 후기)을 수행했으나 직접 KR 본문은 확인하지 못했다. Conservative mappings: progression=2;problemSolving=2;pacing=2;mysteryReveal=2;worldBuilding=4;characterArcWeight=2;relationshipStructure=2;comedy=0;darkness=4;mentalStress=2;romance=0;emotionalWarmth=2. Art는 분석하지 않았다."
2,work-b3038bdbf0c923d2df63,推しが武道館いってくれたら死ぬ,comedy;romance,workplace:2:0.84,2,2,0,2,0,2,2,4,4,0,2,4,4,0.82,Rakuten Books representative volume 1 product — 推しが武道館いってくれたら死ぬ,https://books.rakuten.co.jp/rb/13593250/,2017-08-23,2026-08-26,https://yurinokunikara.com/2016/04/12/post-4200/;https://booklive.jp/review/list/title_id/361122/vol_no/001;https://conabuki.com/oshigabudokan/,,최애가 부도칸에 가 준다면 난 죽어도 좋아 만화 리뷰;최애가 부도칸에 가 준다면 난 죽어도 좋아 1권 후기;오시가 부도칸 잇테쿠레타라 시누 리뷰,"초반 1권: 공식 Rakuten Books와 일본 독립 감상 https://yurinokunikara.com/2016/04/12/post-4200/ 및 BookLive/Conabuki 직접 리뷰를 대조했다. 지하 아이돌의 활동 목표와 팬의 현장·교환·응원 행동이 반복되어 workplace:2, progression=2, problemSolving=2를 지지하지만 장기 전략은 없어 strategy=0으로 두었다. 한 권의 아이돌·팬 에피소드 변화는 pacing=2, 비밀·추리 구조 부재는 mysteryReveal=0, 공연·지하 아이돌 업계 규칙은 worldBuilding=2다. 여러 멤버·팬의 횡적 관계는 relationshipStructure=4, 변하는 인물과 오해는 characterArcWeight=2, 오타쿠 행동 개그는 comedy=4, 밝은 일상 속 질투·엇갈림은 darkness=0 및 mentalStress=2, 마이너 아이돌과 팬의 백합 관계 및 서로의 배려는 romance=4 및 emotionalWarmth=4를 지지한다. 한국어 한글명 검색(최애가 부도칸에 가 준다면 난 죽어도 좋아 만화 리뷰;최애가 부도칸에 가 준다면 난 죽어도 좋아 1권 후기;오시가 부도칸 잇테쿠레타라 시누 리뷰)을 수행했으나 직접 KR 본문은 확인하지 못했다. Conservative mappings: progression=2;problemSolving=2;strategy=0;pacing=2;mysteryReveal=0;worldBuilding=2;characterArcWeight=2;relationshipStructure=4;comedy=4;darkness=0;mentalStress=2;romance=4;emotionalWarmth=4."
3,work-b30deb01be407f4874d5,少女終末旅行,scienceFiction;sliceOfLife,survival:2:0.86;postApocalypse:2:0.90;exploration:2:0.82,unknown,2,0,2,2,2,2,2,unknown,4,2,unknown,4,0.84,Rakuten Books representative volume 1 product — 少女終末旅行,https://books.rakuten.co.jp/rb/12961540/,2015,2026-08-26,https://www.kurobook.net/entry/%E5%B0%91%E5%A5%B3%E7%B5%82%E6%9C%AB%E6%97%85%E8%A1%8C1,,소녀 종말 여행 만화 리뷰;쇼조 슈마츠 료코 리뷰,"초반 1권: 공식 Rakuten Books의 문명 붕괴·폐허 여행 소개와 독립 1권 리뷰 https://www.kurobook.net/entry/%E5%B0%91%E5%A5%B3%E7%B5%82%E6%9C%AB%E6%97%85%E8%A1%8C1 를 직접 읽었다. 거대 폐허에서 유리의 기지로 탈출하고 식량·물·탄약을 다루는 장면이 problemSolving=2를 지지한다. 두 사람이 목적 없이 헤매는 관찰은 strategy=0, 장면 단위 탐색은 pacing=2다. 전쟁 원인과 인류 소멸을 말하지 않는 비밀은 mysteryReveal=2, 잔해·무기·자원 규칙은 worldBuilding=2다. 문명 붕괴 반복은 postApocalypse:2 및 survival:2, 폐허 이동은 exploration:2다. 전쟁 잔해의 암울함은 darkness=4지만 둘의 안정된 동행과 치유 대화는 mentalStress=2, characterArcWeight=2, relationshipStructure=2, emotionalWarmth=4를 지지한다. 한국어 query(소녀 종말 여행 만화 리뷰;쇼조 슈마츠 료코 리뷰)는 수행했으나 직접 본문은 없었다. Conservative mappings: progression=unknown;problemSolving=2;strategy=0;pacing=2;mysteryReveal=2;worldBuilding=2;characterArcWeight=2;relationshipStructure=2;comedy=unknown;darkness=4;mentalStress=2;romance=unknown;emotionalWarmth=4."
4,work-b34f17cb8b7a2c8347ae,草子ブックガイド,sliceOfLife,workplace:2:0.82,2,0,0,2,0,2,4,2,0,2,2,0,4,0.82,Rakuten Books representative volume 1 product — 草子ブックガイド,https://books.rakuten.co.jp/rb/12166147/,2012,2026-08-26,https://booklive.jp/review/list/title_id/204728/vol_no/001;https://note.com/nenkandokusyojin/n/na8f11455cdaa,,소시 북 가이드 만화 리뷰;소우시 북가이드 리뷰;소시 북 가이드 1권 후기,"초반 1권: 공식 서지와 BookLive 1권 리뷰 및 Note 서평을 대조했다. 고서점과 독서가 내성적인 중학생을 사람·사회와 연결하는 서서히 진행되는 인물극이며, 책을 고르고 읽는 노동이 반복되어 progression=2; workplace:2; worldBuilding=2; pacing=2를 지지한다. 사건을 풀거나 장기 계획을 세우는 구조와 추리·로맨스·개그는 관찰되지 않아 problemSolving=0; strategy=0; mysteryReveal=0; romance=0; comedy=0으로 매핑했다. 주인공의 고립과 가족 문제는 characterArcWeight=4; relationshipStructure=2; darkness=2; mentalStress=2를 지지하며 책과 가게가 주는 이해와 구원은 emotionalWarmth=4다. 한국어 한글명 검색(소시 북 가이드 만화 리뷰;소우시 북가이드 리뷰;소시 북 가이드 1권 후기)을 수행했으나 직접 KR 본문은 확인하지 못했다. Conservative mappings: progression=2;problemSolving=0;strategy=0;pacing=2;mysteryReveal=0;worldBuilding=2;characterArcWeight=4;relationshipStructure=2;comedy=0;darkness=2;mentalStress=2;romance=0;emotionalWarmth=4."
5,work-b36492e3489351868c3a,さきくさの咲く頃,romance;sliceOfLife,school:2:0.86,2,unknown,unknown,2,2,2,4,4,unknown,2,4,4,2,0.86,Rakuten Books representative volume 1 product — さきくさの咲く頃,https://books.rakuten.co.jp/rb/11914060/,2013,2026-08-26,https://www.cmoa.jp/title/72993/vol/1/;https://booklive.jp/review/list/title_id/238342/vol_no/001,,사키쿠사의 필 무렵 만화 리뷰;사키쿠사노 사쿠코로 리뷰,"초반 1권: 공식 Rakuten Books anchor와 Cmoa 1권 페이지 https://www.cmoa.jp/title/72993/vol/1/ 및 BookLive 1권 리뷰 https://booklive.jp/review/list/title_id/238342/vol_no/001 의 본문을 직접 확인했다. 고교 3학년 세 친구의 사계절과 성장 관찰은 school:2, progression=2, pacing=2다. 세 사람이 각자 비밀을 품는다는 본문은 mysteryReveal=2, 교토 자연·계절이 지속되는 무대는 worldBuilding=2다. 삼각 관계와 성적 자의식의 엇갈림이 핵심이므로 characterArcWeight=4, relationshipStructure=4, romance=4, mentalStress=4를 매핑했다. 어둡고 애절한 분위기는 darkness=2, 함께한 시간을 소중히 여기는 여운은 emotionalWarmth=2다. 한국어 query(사키쿠사의 필 무렵 만화 리뷰;사키쿠사노 사쿠코로 리뷰)는 수행했지만 직접 본문은 없었다. Conservative mappings: progression=2;problemSolving=unknown;strategy=unknown;pacing=2;mysteryReveal=2;worldBuilding=2;characterArcWeight=4;relationshipStructure=4;comedy=unknown;darkness=2;mentalStress=4;romance=4;emotionalWarmth=2."
6,work-b42c82a6d81e74f36393,ママさん,comedy;romance;sliceOfLife,foundFamily:2:0.72,2,0,0,2,0,unknown,4,2,4,0,unknown,4,4,0.78,Rakuten Books representative volume 1 product — ママさん,https://books.rakuten.co.jp/rb/5033771/,2008,2026-08-26,https://honto.jp/ebook/pd-review_0626081737.html;https://manba.co.jp/boards/30105/books/1,,엄마 씨 만화 리뷰;마마상 리뷰;마마상 1권 후기,"초반 1권: 공식 Rakuten Books 1권과 Honto 리뷰 및 Manba 작품별 본문을 대조했다. 의붓어머니와 아들이 함께 사는 가족 관계에서 시작해 일상 4コマ의 반복 속에 위험한 연애 감정이 커지는 구조이므로 foundFamily:2; progression=2; pacing=2; characterArcWeight=4; relationshipStructure=2; romance=4를 지지한다. 각 화가 생활 소동과 대화 중심이라 사건 해결·장기 전략·추리 구조는 없어 problemSolving=0; strategy=0; mysteryReveal=0으로 보수 매핑했다. Manba의 ‘ほのぼの 에치한 일상’과 Honto의 치유 평은 comedy=4; darkness=0; emotionalWarmth=4를 지지하며 한국어 한글명 검색(엄마 씨 만화 리뷰;마마상 리뷰;마마상 1권 후기)을 수행했으나 직접 KR 본문은 확인하지 못했다. Conservative mappings: progression=2;problemSolving=0;strategy=0;pacing=2;mysteryReveal=0;characterArcWeight=4;relationshipStructure=2;comedy=4;darkness=0;romance=4;emotionalWarmth=4."
7,work-b43179510f04ed7ad247,ワイルドマウンテン,comedy;scienceFiction,territoryManagement:2:0.80,2,2,unknown,2,unknown,2,2,2,4,0,0,0,2,0.80,Rakuten Books representative volume 1 product — ワイルドマウンテン,https://books.rakuten.co.jp/rb/1686961/,2008,2026-08-26,https://renote.net/reviews/2854;https://booklive.jp/review/list/title_id/300222/vol_no/001,,와일드 마운틴 만화 리뷰;와일드마운틴 리뷰;와일드 마운틴 1권 후기,"초반 1권과 첫 몇 화 범위: 공식 Rakuten Books, RENOTE의 초반 감상, BookLive 1권 리뷰를 대조했다. 운석으로 생긴 소규모 마을의 괴짜 전직 방위대장이 시장이 되어 상점·주거·주민 문제를 다루고 마을을 발전시키므로 territoryManagement:2; progression=2; problemSolving=2; worldBuilding=2를 지지한다. 여러 단편과 장소·주민 소개는 pacing=2다. 복잡한 장기 전술은 확인되지 않아 strategy는 unknown으로 두었다. 느긋하고 헤ン테코한 일상과 직접적인 웃음 태그는 comedy=4; 인물과 마을 주민의 반복 관계는 characterArcWeight=2 및 relationshipStructure=2; 밝은 일상 배경과 심각한 압박·연애 구조 부재는 darkness=0; mentalStress=0; romance=0; emotionalWarmth=2로 매핑했다. 한국어 한글명 검색(와일드 마운틴 만화 리뷰;와일드마운틴 리뷰;와일드 마운틴 1권 후기)을 수행했으나 직접 KR 본문은 확인하지 못했다. Conservative mappings: progression=2;problemSolving=2;pacing=2;mysteryReveal=unknown;worldBuilding=2;characterArcWeight=2;relationshipStructure=2;comedy=4;darkness=0;mentalStress=0;romance=0;emotionalWarmth=2."
8,work-b4959f8ba3d80eab7fdc,人造人間100,action,combat:2:0.90,unknown,2,2,2,2,2,4,2,2,4,4,unknown,2,0.84,Rakuten Books representative volume 1 product — 人造人間100,https://books.rakuten.co.jp/rb/17435896/,2023-08-31,2026-08-26,https://jump-tantei.com/%E3%80%90%E3%82%B8%E3%83%A3%E3%83%B3%E3%83%97%E6%96%B0%E9%80%A3%E8%BC%89%E5%88%9D%E8%AA%AD%E6%84%9F%E6%83%B3%2309%E3%80%91%E3%80%8E%E4%BA%BA%E9%80%A0%E4%BA%BA%E9%96%93100%E3%80%8F%E3%81%AE%E5%88%9D/,,인조인간 100 만화 리뷰;진조닌겐 햐쿠 리뷰,"초반 1권·첫 주요 에피소드: 공식 Rakuten Books JPRO 소개와 독립 점프탐정 리뷰 https://jump-tantei.com/%E3%80%90%E3%82%B8%E3%83%A3%E3%83%B3%E3%83%97%E6%96%B0%E9%80%A3%E8%BC%89%E5%88%9D%E8%AA%AD%E6%84%9F%E6%83%B3%2309%E3%80%91%E3%80%8E%E4%BA%BA%E9%80%A0%E4%BA%BA%E9%96%93100%E3%80%8F%E3%81%AE%E5%88%9D/ 를 직접 읽었다. 인조인간의 습격과 불사 일족 학살은 themes combat:2 및 darkness=4다. 아시비가 No.100과 계약해 가해 인조인간을 추적하는 목적·利害関係는 problemSolving=2 및 strategy=2, 첫 화의 학살→계약→여행 전환은 pacing=2다. 인조인간 번호·육체 규칙과 가해자 동기는 mysteryReveal=2 및 worldBuilding=2다. 피해자 심리와 주인공의 선택 문제는 characterArcWeight=4 및 mentalStress=4, 과보호를 살인의 수단으로 연출한 장면은 relationshipStructure=2 및 comedy=2다. 희생자 회복과 보호 관계의 여운은 emotionalWarmth=2다. 한국어 query(인조인간 100 만화 리뷰;진조닌겐 햐쿠 리뷰)는 수행했지만 직접 본문은 없었다. Conservative mappings: progression=unknown;problemSolving=2;strategy=2;pacing=2;mysteryReveal=2;worldBuilding=2;characterArcWeight=4;relationshipStructure=2;comedy=2;darkness=4;mentalStress=4;romance=unknown;emotionalWarmth=2."
9,work-b4ba31a2137661c5d9b7,ダンジョンの幼なじみ,fantasy;comedy;romance,dungeon:2:0.90,unknown,2,unknown,2,2,2,2,4,4,unknown,unknown,4,4,0.84,Rakuten Books representative volume 1 product — ダンジョンの幼なじみ,https://books.rakuten.co.jp/rb/17158540/,2024-08-28,2026-08-26,https://gemaiki.livedoor.blog/%E3%83%80%E3%83%B3%E3%82%B8%E3%83%A7%E3%83%B3%E3%81%AE%E5%B9%BC%E3%81%AA%E3%81%98%E3%81%BF1%E5%B7%BB,,던전의 소꿉친구 만화 리뷰;단전노 오사나나지미 리뷰,"초반 1권: 공식 Rakuten Books JPRO 소개와 1권 인용을 명시한 독립 Gemaiki 리뷰 https://gemaiki.livedoor.blog/%E3%83%80%E3%83%B3%E3%82%B8%E3%83%A7%E3%83%B3%E3%81%AE%E5%B9%BC%E3%81%AA%E3%81%98%E3%81%BF1%E5%B7%BB 를 직접 읽었다. 100층 던전과 보스·모험자 구도는 themes dungeon:2 및 worldBuilding=2다. 반전처럼 보이는 전투가 실제 소꿉친구 만남이라는 도입은 mysteryReveal=2, 던전의 곤란에 협력하고 운영을 돕는 행동은 problemSolving=2, 반복 에피소드의 완만한 진전은 pacing=2다. 두 주인공과 던전 간부 네 명의 관찰 구조는 characterArcWeight=2 및 relationshipStructure=4다. 강한 러브코미디 색과 상호 배려·짝사랑은 comedy=4, romance=4, emotionalWarmth=4를 지지한다. 한국어 query(던전의 소꿉친구 만화 리뷰;단전노 오사나나지미 리뷰)는 수행했지만 직접 본문은 없었다. Conservative mappings: progression=unknown;problemSolving=2;strategy=unknown;pacing=2;mysteryReveal=2;worldBuilding=2;characterArcWeight=2;relationshipStructure=4;comedy=4;darkness=unknown;mentalStress=unknown;romance=4;emotionalWarmth=4."
10,work-b5a9398b10375ab5e34a,麻宮さんの妹,fantasy;scienceFiction,postApocalypse:2:0.86;exploration:2:0.84,2,2,unknown,2,2,4,2,2,2,2,2,0,2,0.82,Rakuten Books representative volume 1 product — 麻宮さんの妹,https://books.rakuten.co.jp/rb/11322386/,2012,2026-08-26,https://ameblo.jp/komakoma-gooddays/entry-11019955821.html;https://yamada10-07.hateblo.jp/entry/20110914/1316010540;https://nakano-laboratory.hatenablog.com/entry/2014/08/05/222024,,아사미야 씨의 여동생 만화 리뷰;아사미야상노 이모토 리뷰;아사미야 씨의 여동생 1권 후기,"초반 1권: 공식 Rakuten Books와 Yamada/Nakano의 일본 직접 리뷰를 대조했다. 대전쟁 수백 년 뒤 문명이 멈춘 여러 지역을 스케치북으로 여행하는 자매 탐색은 postApocalypse:2; exploration:2; progression=2; pacing=2; worldBuilding=4를 지지한다. 스케치북의 지도·잃어버린 기술을 이용하고 유괴 뒤 되찾으려는 직접 행동은 problemSolving=2이며, 아오이의 정체·姉와 여행 목적에 쌓이는 비밀은 mysteryReveal=2다. 두 소녀의 동행과 주민 만남은 relationshipStructure=2 및 emotionalWarmth=2, 전쟁·유괴·죽음에 가까운 위협과 인물의 번민은 characterArcWeight=2; darkness=2; mentalStress=2를 지지한다. 학교 모험처럼 보이지만 실제로는 종말 세계 여행이라는 직접 감상에 따라 comedy와 romance는 0으로 두었다. 한국어 한글명 검색(아사미야 씨의 여동생 만화 리뷰;아사미야상노 이모토 리뷰;아사미야 씨의 여동생 1권 후기)을 수행했으나 직접 KR 본문은 확인하지 못했다. Conservative mappings: progression=2;problemSolving=2;pacing=2;mysteryReveal=2;worldBuilding=4;characterArcWeight=2;relationshipStructure=2;comedy=2;darkness=2;mentalStress=2;romance=0;emotionalWarmth=2."
