"position","workId","canonicalTitle","blockerCode","blockerDetails","evidenceName","evidenceUrl","evidencePublishedAt","retrievedAt","recheckPath","koreanQueries","japaneseEvidenceUrls"
"1","work-efe3b9b2fc6373ae767a","夢から覚めたあの子とはきっと上手く喋れない","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","マンガ大賞実行委員会 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/12748529/ (ISBN 9784063883381)","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","꿈에서 깨어난 그 아이와는 분명 잘 말할 수 없어 만화 리뷰 / 유메카라 사메타 아노 코","https://bookmeter.com/books/8066830;https://honto.jp/ebook/pd-review_0629028357.html"
"2","work-f026e913432b49d70ef0","白馬のお嫁さん","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","マンガ大賞実行委員会 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/12984872/ (ISBN 9784063880137)","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","백마의 신부 만화 리뷰 / 하쿠바노 오요메상","https://www.mangataisho.com/data/2015/comment2015.pdf;https://bookmeter.com/search?keyword=%E7%99%BD%E9%A6%AC%E3%81%AE%E3%81%8A%E5%AB%81%E3%81%95%E3%82%93"
"3","work-f09840faaea9207deb5b","宮本から君へ","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","小学館「小学館漫画賞」 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/5955871/ (ISBN 9784778320751)","https://shogakukan-comic.jp/shogakukan-mangasho-archives","1992","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","미야모토에서 너에게 만화 리뷰 / 미야모토 카라 키미에","https://raxsasnku.com/miyamotokarakimie/;https://manba.co.jp/boards/60504/topics"
"4","work-f0f53d813f709aedec1d","ホークウッド","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","マンガ大賞実行委員会 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/12727239/ (ISBN 9784040665689)","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","호크우드 만화 리뷰 / 호크우드 일본 만화","https://bookmeter.com/search?keyword=%E3%83%9B%E3%83%BC%E3%82%AF%E3%82%A6%E3%83%83%E3%83%89;https://reviewne.jp/contents?query=%E3%83%9B%E3%83%BC%E3%82%AF%E3%82%A6%E3%83%83%E3%83%89"
"5","work-f117d1a9a377b05fa84d","我らコンタクティ","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","マンガ大賞実行委員会 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/15207929/ (ISBN 9784063882971)","https://www.mangataisho.com/archives/2018.html","2018","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","우리 컨택티 만화 리뷰 / 와레라 콘타쿠티","https://oryoury.com/1260/;https://bookmeter.com/search?keyword=%E6%88%91%E3%82%89%E3%82%B3%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%86%E3%82%A3"
"6","work-f133bdd6bef70b7542de","先生の白い嘘","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/12653103/ (ISBN 9784063883046)","https://tsugimanga.jp/winner/2015/comics","2015-02-06","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","선생님의 하얀 거짓말 만화 리뷰 / 센세이노 시로이 우소","https://reviewne.jp/contents/10038;https://bookmeter.com/search?keyword=%E5%85%88%E7%94%9F%E3%81%AE%E7%99%BD%E3%81%84%E5%98%98"
"7","work-f148f0c5d7cf61a97c73","柚木さんちの四兄弟。","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","小学館「小学館漫画賞」 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/15700616/ (ISBN 9784098702381)","https://shogakukan-comic.jp/shogakukan-mangasho-archives","2020","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","유즈키네 네 형제 만화 리뷰 / 유즈키상치노 욘쿄다이","https://www.cmoa.jp/title/customer_review/title_id/166752/;https://ciatr.jp/topics/325139"
"8","work-f15ae7745759a254a587","鉄道少女漫画","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","マンガ大賞実行委員会 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/6925862/ (ISBN 9784592710288)","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","철도 소녀 만화 리뷰 / 테츠도 쇼죠 만화","https://bookmeter.com/search?keyword=%E9%89%84%E9%81%93%E5%B0%91%E5%A5%B3%E6%BC%AB%E7%94%BB;https://reviewne.jp/contents?query=%E9%89%84%E9%81%93%E5%B0%91%E5%A5%B3%E6%BC%AB%E7%94%BB"
"9","work-f1a075d36aa7783f1f64","補助隊モズクス","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","マンガ大賞実行委員会 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/12127524/ (ISBN 9784047286351)","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","보조대 모즈쿠스 만화 리뷰 / 호조타이 모즈쿠스","https://bookmeter.com/search?keyword=%E8%A3%9C%E5%8A%A9%E9%9A%8A%E3%83%A2%E3%82%BA%E3%82%AF%E3%82%B9;https://reviewne.jp/contents?query=%E8%A3%9C%E5%8A%A9%E9%9A%8A%E3%83%A2%E3%82%BA%E3%82%AF%E3%82%B9"
"10","work-f1a4b39804a85f91fc1e","マイぼーる!","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official promotional/product route + independent Japanese community route + Korean-title community route exhausted in this finite pass; batch-029 selection packet is identity/selection only (existing mapping is official selection/product evidence) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","マンガ大賞実行委員会 official selection + Rakuten Books exact product match; volume-1 product https://books.rakuten.co.jp/rb/12127877/ (ISBN 9784592141112)","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-029\frozen-work-set.csv;Recheck direct official volume 1-3 or entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","마이 볼 만화 리뷰 / 마이보루","https://bookmeter.com/search?keyword=%E3%83%9E%E3%82%A4%E3%81%BC%E3%83%BC%E3%82%8B!;https://reviewne.jp/contents?query=%E3%83%9E%E3%82%A4%E3%81%BC%E3%83%BC%E3%82%8B!"
