candidateId,canonicalTitleJa,titleKana,creatorsJa,firstPublishedYear,originCountry,format,publicationStatus,notes
candidate-002459e5f390e41d63a2,目玉焼きの黄身 いつつぶす?,,おおひなた ごう,2013,unknown,unknown,unknown,Library-only candidate; opaque workId=work-002459e5f390e41d63a2; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0029e59a039dce3f6e74,【推しの子】,,赤坂 アカ;横槍 メンゴ,2020,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0029e59a039dce3f6e74; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-003f3f37d4def277a23b,あの娘にキスと白百合を,,缶乃,2014,unknown,unknown,unknown,Library-only candidate; opaque workId=work-003f3f37d4def277a23b; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-009db86ba32a4a5f3afe,異世界サムライ,,齋藤 勁吾,2023,unknown,unknown,unknown,Library-only candidate; opaque workId=work-009db86ba32a4a5f3afe; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-011efc564d47a7ec9cab,うどんの女,,えすとえむ,2011,unknown,unknown,unknown,Library-only candidate; opaque workId=work-011efc564d47a7ec9cab; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-01521fffc812e9b304e1,錦田警部はどろぼうがお好き,,かんば まゆこ,2015,unknown,unknown,unknown,Library-only candidate; opaque workId=work-01521fffc812e9b304e1; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-0153a125c5a56225b06c,違国日記,,ヤマシタ トモコ,2017,unknown,unknown,unknown,Library-only candidate; opaque workId=work-0153a125c5a56225b06c; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-017446dd1a9039d9839b,サンダー３,,池田 祐輝,2022,unknown,unknown,unknown,Library-only candidate; opaque workId=work-017446dd1a9039d9839b; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-019b6c97e23e7cd48e92,私日和,,羽柴麻央,2009,unknown,unknown,unknown,Library-only candidate; opaque workId=work-019b6c97e23e7cd48e92; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
candidate-019c4c86fb259730e7d0,フールナイト,,安田 佳澄,2021,unknown,unknown,unknown,Library-only candidate; opaque workId=work-019c4c86fb259730e7d0; identity is normalized official title + matched Rakuten author; origin and original format remain unknown.
