mappingId,sourceItemId,candidateId,workId,mappingType,canonicalTitleJa,confidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,notes
mapping-7c632d7a6f06f75ad04c,konomanga-2020-ranking-01,candidate-088bd94cfdd1dd6e192d,spy-family,included,SPY×FAMILY,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15924058/; normalizedTitle=spy×family; matchedRakutenAuthor=遠藤 達哉; isbn=9784088820118.
mapping-54c13f4dc352a32b9dea,konomanga-2020-ranking-03,candidate-84a6a139c55f2760544e,work-84a6a139c55f2760544e,included,僕の心のヤバイやつ,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15700939/; normalizedTitle=僕の心のやばいやつ; matchedRakutenAuthor=桜井　のりお; isbn=9784253226158.
mapping-a91a71354eb2e30ab7aa,konomanga-2020-ranking-04,candidate-9ad564d206d2c1a6c4ef,chainsaw-man,included,チェンソーマン,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15793617/; normalizedTitle=ちぇんそーまん; matchedRakutenAuthor=藤本 タツキ; isbn=9784088817804.
mapping-6df562007be25c90c174,konomanga-2020-ranking-05,candidate-ced7a8e6d9c3b8147702,work-ced7a8e6d9c3b8147702,included,水は海に向かって流れる,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15811038/; normalizedTitle=水は海に向かって流れる; matchedRakutenAuthor=田島 列島; isbn=9784065144510.
mapping-cb430f0351c9d000d1dc,konomanga-2020-ranking-06,candidate-ca2c6203e55caa0969f6,demon-slayer,included,鬼滅の刃,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/14141502/; normalizedTitle=鬼滅の刃; matchedRakutenAuthor=吾峠 呼世晴; isbn=9784088807232.
mapping-7b70ebfe73f18231b882,konomanga-2020-ranking-07,candidate-222504590507d3ab8093,work-222504590507d3ab8093,included,王様ランキング,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15721579/; normalizedTitle=王様らんきんぐ; matchedRakutenAuthor=十日　草輔; isbn=9784047355170.
mapping-a059c9354a7fd87a9a9f,konomanga-2020-ranking-08,candidate-a0cf232c6e526adba12f,skip-and-loafer,included,スキップとローファー,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15751027/; normalizedTitle=すきっぷとろーふぁー; matchedRakutenAuthor=高松 美咲; isbn=9784065142097.
mapping-bf98fc8b4caef76db81c,konomanga-2020-ranking-10,candidate-70d47c2956fa70767164,work-70d47c2956fa70767164,included,有害無罪玩具,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15768146/; normalizedTitle=有害無罪玩具; matchedRakutenAuthor=詩野 　うら; isbn=9784047355316.
mapping-0231be13caba14b2716a,konomanga-2020-ranking-11,candidate-7d4568dcc8e9175d35ba,work-7d4568dcc8e9175d35ba,included,異世界おじさん,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15665157/; normalizedTitle=異世界おじさん; matchedRakutenAuthor=殆ど死んでいる; isbn=9784040653686.
mapping-a9c2128b3c201b02b54e,konomanga-2020-ranking-12,candidate-81c561ca6bb74a301cf8,work-81c561ca6bb74a301cf8,included,ライドンキング,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15740016/; normalizedTitle=らいどんきんぐ; matchedRakutenAuthor=馬場 康誌; isbn=9784065142103.
