workId,axisId,state,value,confidence,evidenceId
work-07b11ec79f10c7eb7e05,progression,known,3,0.74,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,problemSolving,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,strategy,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,pacing,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,mysteryReveal,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,worldBuilding,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,characterArcWeight,known,4,0.86,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,relationshipStructure,known,2,0.76,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,comedy,known,2,0.70,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,darkness,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,mentalStress,known,2,0.70,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,romance,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,emotionalWarmth,known,3,0.72,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,artRealism,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,artDensity,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,visualSoftness,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,motionImpact,unknown,,,ev-pilot-001-a-work-07b11ec79f10c7eb7e05
work-205e576ef057e3aed1ab,progression,unknown,,,ev-pilot-001-a-work-205e576ef057e3aed1ab
work-205e576ef057e3aed1ab,problemSolving,unknown,,,ev-pilot-001-a-work-205e576ef057e3aed1ab
work-205e576ef057e3aed1ab,strategy,unknown,,,ev-pilot-001-a-work-205e576ef057e3aed1ab
work-205e576ef057e3aed1ab,pacing,unknown,,,ev-pilot-001-a-work-205e576ef057e3aed1ab
work-205e576ef057e3aed1ab,mysteryReveal,unknown,,,ev-pilot-001-a-work-205e576ef057e3aed1ab
work-205e576ef057e3aed1ab,worldBuilding,unknown,,,ev-pilot-001-a-work-205e576ef057e3aed1ab
work-205e576ef057e3aed1ab,characterArcWeight,known,4,0.78,ev-pilot-001-a-work-205e576ef057e3aed1ab
work-205e576ef057e3aed1ab,relationshipStructure,known,2,0.76,ev-pilot-001-a-work-205e576ef057e3aed1ab
work-205e576ef057e3aed1ab,comedy,unknown,,,ev-pilot-001-a-work-205e576ef057e3aed1ab
