workId,batchId,batchType,status,selectionReason,methodPolicy,panelPolicy,lastUpdatedAt
work-0153a125c5a56225b06c,pilot-001,pilot,frozen,era-2010s;audience-cross;genre-family-drama;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-0262dcaa820443c3185d,pilot-001,pilot,frozen,era-1970s;audience-cross;genre-crime;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-07b11ec79f10c7eb7e05,pilot-001,pilot,frozen,era-2010s;audience-cross;genre-autobiography-art;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-07dc759bd91e1cffb2df,pilot-001,pilot,frozen,era-2020s;audience-cross;genre-healing-slice-of-life;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-07ff2a01ef593ce2f809,pilot-001,pilot,frozen,era-2010s;audience-shojo;genre-social-drama;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-081e75d8bbc53ac64713,pilot-001,pilot,frozen,era-2020s;audience-seinen;genre-sports;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-0bec5d8d9474a2197312,pilot-001,pilot,frozen,era-2000s;audience-seinen;genre-coming-of-age;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-112589a161d1596ec97f,pilot-001,pilot,frozen,era-2020s;audience-shonen;genre-occult-comedy;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-11296a590b885cb73b66,pilot-001,pilot,frozen,era-2010s;audience-shojo;genre-medical-social;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-14e489bf1afd1587c44a,pilot-001,pilot,frozen,era-1980s;audience-seinen;genre-sports;ev-single,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
work-192cbecc59e9c028142b,pilot-001,pilot,frozen,era-2020s;audience-cross;genre-books-workplace;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-22
