candidateSha256,workId,canonicalTitle,axisId,finalState,finalValue,finalConfidence,confidenceProvenance,closure,localEvidence,geminiEvidence,adjudication,sourceUrl,reviewedByHuman,blockerCode,blockerDetails
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-0153a125c5a56225b06c,違国日記,artRealism,known,3,0.90,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-0153a125c5a56225b06c/artRealism,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-02-response.txt,accepted,https://feelweb.jp/episode/3269754496334652322,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-0153a125c5a56225b06c,違国日記,artDensity,known,2,0.89,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-0153a125c5a56225b06c/artDensity,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-02-response.txt,accepted,https://feelweb.jp/episode/3269754496334652322,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-0153a125c5a56225b06c,違国日記,visualSoftness,known,3,0.89,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-0153a125c5a56225b06c/visualSoftness,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-02-response.txt,accepted,https://feelweb.jp/episode/3269754496334652322,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-0153a125c5a56225b06c,違国日記,motionImpact,unknown,,,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-0153a125c5a56225b06c/motionImpact,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-02-response.txt,accepted,https://feelweb.jp/episode/3269754496334652322,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-0262dcaa820443c3185d,ゴルゴ13,artRealism,known,4,0.94,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-0262dcaa820443c3185d/artRealism,quorum-verified,art-capability-preflight.md,gemini-art-final-remaining-response.txt,adjudicated,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-0262dcaa820443c3185d,ゴルゴ13,artDensity,known,3,0.90,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-0262dcaa820443c3185d/artDensity,quorum-verified,art-capability-preflight.md,gemini-art-final-remaining-response.txt,adjudicated,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-0262dcaa820443c3185d,ゴルゴ13,visualSoftness,known,0,0.95,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-0262dcaa820443c3185d/visualSoftness,quorum-verified,art-capability-preflight.md,gemini-art-final-remaining-response.txt,adjudicated,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-0262dcaa820443c3185d,ゴルゴ13,motionImpact,known,4,0.93,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-0262dcaa820443c3185d/motionImpact,quorum-verified,art-capability-preflight.md,gemini-art-final-remaining-response.txt,adjudicated,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07b11ec79f10c7eb7e05,かくかくしかじか,artRealism,known,1,0.83,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07b11ec79f10c7eb7e05/artRealism,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-02-response.txt,adjudicated,https://www.shueisha.co.jp/books/reader/main.php?cid=9784087824575,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07b11ec79f10c7eb7e05,かくかくしかじか,artDensity,known,2,0.86,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07b11ec79f10c7eb7e05/artDensity,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-02-response.txt,adjudicated,https://www.shueisha.co.jp/books/reader/main.php?cid=9784087824575,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07b11ec79f10c7eb7e05,かくかくしかじか,visualSoftness,known,3,0.89,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07b11ec79f10c7eb7e05/visualSoftness,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-02-response.txt,adjudicated,https://www.shueisha.co.jp/books/reader/main.php?cid=9784087824575,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07b11ec79f10c7eb7e05,かくかくしかじか,motionImpact,unknown,,,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07b11ec79f10c7eb7e05/motionImpact,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-02-response.txt,adjudicated,https://www.shueisha.co.jp/books/reader/main.php?cid=9784087824575,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07dc759bd91e1cffb2df,しあわせは食べて寝て待て,artRealism,known,2,0.90,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07dc759bd91e1cffb2df/artRealism,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-01-response.txt,accepted,https://souffle.life/manga/shiawase-ha-tabete-nete-mate/20200318-2/,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07dc759bd91e1cffb2df,しあわせは食べて寝て待て,artDensity,known,2,0.89,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07dc759bd91e1cffb2df/artDensity,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-01-response.txt,accepted,https://souffle.life/manga/shiawase-ha-tabete-nete-mate/20200318-2/,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07dc759bd91e1cffb2df,しあわせは食べて寝て待て,visualSoftness,known,3,0.89,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07dc759bd91e1cffb2df/visualSoftness,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-01-response.txt,accepted,https://souffle.life/manga/shiawase-ha-tabete-nete-mate/20200318-2/,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07dc759bd91e1cffb2df,しあわせは食べて寝て待て,motionImpact,unknown,,,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07dc759bd91e1cffb2df/motionImpact,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-01-response.txt,accepted,https://souffle.life/manga/shiawase-ha-tabete-nete-mate/20200318-2/,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07ff2a01ef593ce2f809,さよならミニスカート,artRealism,known,2,0.90,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07ff2a01ef593ce2f809/artRealism,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-03-response.txt,accepted,https://ribon.shueisha.co.jp/sayonara_miniskirt_trial/,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07ff2a01ef593ce2f809,さよならミニスカート,artDensity,known,3,0.89,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07ff2a01ef593ce2f809/artDensity,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-03-response.txt,accepted,https://ribon.shueisha.co.jp/sayonara_miniskirt_trial/,false,,
aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529,work-07ff2a01ef593ce2f809,さよならミニスカート,visualSoftness,known,3,0.90,data/staging/catalog-expansion/pilots/pilot-001/final-overlay/art-confidence-pass-c.csv#work-07ff2a01ef593ce2f809/visualSoftness,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-03-response.txt,accepted,https://ribon.shueisha.co.jp/sayonara_miniskirt_trial/,false,,
