workId,axisId,state,value,confidence,authorityClass,sourceType,sourceUrl,edition,scopeMapping,pageOrTimeRefs,sampleCount,contexts,observation,limitation,reviewStatus
work-0153a125c5a56225b06c,artRealism,known,3,0.90,originalPublisher,publisher,https://feelweb.jp/episode/3269754496334652322,違国日記 第1話; volume-1 entry episode,Official canonical entry-volume or first-episode internal-page sample.,reader step 5 left;reader step 5 right;reader step 9 left;reader step 9 right;reader step 13 left;reader step 13 right,6,solo cooking and writing;doorway encounter;shared meal,"Final pixel review compared anatomy, proportions, facial stylization, object construction, and perspective across the cited official packet and anchored artRealism=known 3. Decision route: art-local-chunk-04.md + gemini-art-chunk-04-group-02-response.txt + accepted.",Bounded entry sample only; later-volume visual evolution is outside this judgment.,quorum-verified;accepted;reviewedByHuman=false
work-0153a125c5a56225b06c,artDensity,known,2,0.89,originalPublisher,publisher,https://feelweb.jp/episode/3269754496334652322,違国日記 第1話; volume-1 entry episode,Official canonical entry-volume or first-episode internal-page sample.,reader step 5 left;reader step 5 right;reader step 9 left;reader step 9 right;reader step 13 left;reader step 13 right,6,solo cooking and writing;doorway encounter;shared meal,"Final pixel review compared line, background, panel, texture information, and negative space across the cited official packet and anchored artDensity=known 2. Decision route: art-local-chunk-04.md + gemini-art-chunk-04-group-02-response.txt + accepted.",Bounded entry sample only; later-volume visual evolution is outside this judgment.,quorum-verified;accepted;reviewedByHuman=false
work-0153a125c5a56225b06c,visualSoftness,known,3,0.89,originalPublisher,publisher,https://feelweb.jp/episode/3269754496334652322,違国日記 第1話; volume-1 entry episode,Official canonical entry-volume or first-episode internal-page sample.,reader step 5 left;reader step 5 right;reader step 9 left;reader step 9 right;reader step 13 left;reader step 13 right,6,solo cooking and writing;doorway encounter;shared meal,"Final pixel review compared contour curvature, line hardness, tone, hatching, and surface treatment across the cited official packet and anchored visualSoftness=known 3. Decision route: art-local-chunk-04.md + gemini-art-chunk-04-group-02-response.txt + accepted.",Bounded entry sample only; later-volume visual evolution is outside this judgment.,quorum-verified;accepted;reviewedByHuman=false
work-0153a125c5a56225b06c,motionImpact,unknown,,,originalPublisher,publisher,https://feelweb.jp/episode/3269754496334652322,違国日記 第1話; volume-1 entry episode,Official canonical entry-volume or first-episode internal-page sample.,reader step 5 left;reader step 5 right;reader step 9 left;reader step 9 right;reader step 13 left;reader step 13 right,6,solo cooking and writing;doorway encounter;shared meal,"The final review found no responsible known value within the bounded packet; for motion, no exact continuous start-development-end sequence was established. Decision route: art-local-chunk-04.md + gemini-art-chunk-04-group-02-response.txt + accepted.",Bounded entry sample only; later-volume visual evolution is outside this judgment. No exact bounded continuous action sequence in the reviewed packet; unknown is not low.,quorum-verified;accepted;reviewedByHuman=false
work-0262dcaa820443c3185d,artRealism,known,4,0.94,licensedPublisher,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,ゴルゴ13 1 official e-comi entry-content preview; frozen representative-SKU mismatch retained.,Official canonical entry-volume or first-episode internal-page sample.,printed page 4;printed page 5;printed page 6;printed page 7;printed page 8;printed page 9;printed page 10;printed page 11,8,hotel dialogue;indoor ambush and fight;stairwell and exterior escape,"Final pixel review compared anatomy, proportions, facial stylization, object construction, and perspective across the cited official packet and anchored artRealism=known 4. Decision route: art-capability-preflight.md + gemini-art-final-remaining-response.txt + adjudicated.",Canonical entry-content mapping is accepted for Art only; this does not replace the frozen representative ISBN.,quorum-verified;adjudicated;reviewedByHuman=false
work-0262dcaa820443c3185d,artDensity,known,3,0.90,licensedPublisher,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,ゴルゴ13 1 official e-comi entry-content preview; frozen representative-SKU mismatch retained.,Official canonical entry-volume or first-episode internal-page sample.,printed page 4;printed page 5;printed page 6;printed page 7;printed page 8;printed page 9;printed page 10;printed page 11,8,hotel dialogue;indoor ambush and fight;stairwell and exterior escape,"Final pixel review compared line, background, panel, texture information, and negative space across the cited official packet and anchored artDensity=known 3. Decision route: art-capability-preflight.md + gemini-art-final-remaining-response.txt + adjudicated.",Canonical entry-content mapping is accepted for Art only; this does not replace the frozen representative ISBN.,quorum-verified;adjudicated;reviewedByHuman=false
work-0262dcaa820443c3185d,visualSoftness,known,0,0.95,licensedPublisher,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,ゴルゴ13 1 official e-comi entry-content preview; frozen representative-SKU mismatch retained.,Official canonical entry-volume or first-episode internal-page sample.,printed page 4;printed page 5;printed page 6;printed page 7;printed page 8;printed page 9;printed page 10;printed page 11,8,hotel dialogue;indoor ambush and fight;stairwell and exterior escape,"Final pixel review compared contour curvature, line hardness, tone, hatching, and surface treatment across the cited official packet and anchored visualSoftness=known 0. Decision route: art-capability-preflight.md + gemini-art-final-remaining-response.txt + adjudicated.",Canonical entry-content mapping is accepted for Art only; this does not replace the frozen representative ISBN.,quorum-verified;adjudicated;reviewedByHuman=false
work-0262dcaa820443c3185d,motionImpact,known,4,0.93,licensedPublisher,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,ゴルゴ13 1 official e-comi entry-content preview; frozen representative-SKU mismatch retained.,Official canonical entry-volume or first-episode internal-page sample.,printed pages 6-11 start=initial reactive strike;development=continuous room fight;endpoint=balcony drop and escape,8,hotel dialogue;indoor ambush and fight;stairwell and exterior escape,"Final pixel review compared the exact bounded sequence, speed-line emphasis, displacement, contact, and endpoint across the cited official packet and anchored motionImpact=known 4. Decision route: art-capability-preflight.md + gemini-art-final-remaining-response.txt + adjudicated.",Canonical entry-content mapping is accepted for Art only; this does not replace the frozen representative ISBN.,quorum-verified;adjudicated;reviewedByHuman=false
work-07b11ec79f10c7eb7e05,artRealism,known,1,0.83,originalPublisher,publisher,https://www.shueisha.co.jp/books/reader/main.php?cid=9784087824575,かくかくしかじか 1 standard volume 1,Official canonical entry-volume or first-episode internal-page sample.,viewer page 10;viewer page 11;viewer page 14;viewer page 15;viewer page 20;viewer page 21,6,art-room introduction;critique and teacher exchange;drawing instruction,"Final pixel review compared anatomy, proportions, facial stylization, object construction, and perspective across the cited official packet and anchored artRealism=known 1. Decision route: art-local-other-audit.md + gemini-art-pass-c-other-group-02-response.txt + adjudicated.",Bounded entry sample only; later-volume visual evolution is outside this judgment.,quorum-verified;adjudicated;reviewedByHuman=false
work-07b11ec79f10c7eb7e05,artDensity,known,2,0.86,originalPublisher,publisher,https://www.shueisha.co.jp/books/reader/main.php?cid=9784087824575,かくかくしかじか 1 standard volume 1,Official canonical entry-volume or first-episode internal-page sample.,viewer page 10;viewer page 11;viewer page 14;viewer page 15;viewer page 20;viewer page 21,6,art-room introduction;critique and teacher exchange;drawing instruction,"Final pixel review compared line, background, panel, texture information, and negative space across the cited official packet and anchored artDensity=known 2. Decision route: art-local-other-audit.md + gemini-art-pass-c-other-group-02-response.txt + adjudicated.",Bounded entry sample only; later-volume visual evolution is outside this judgment.,quorum-verified;adjudicated;reviewedByHuman=false
