workId,axisId,state,value,confidence,evidenceId
work-0153a125c5a56225b06c,artRealism,known,3,0.90,ev-pilot-001-art-work-0153a125c5a56225b06c-art-realism
work-0153a125c5a56225b06c,artDensity,known,2,0.89,ev-pilot-001-art-work-0153a125c5a56225b06c-art-density
work-0153a125c5a56225b06c,visualSoftness,known,3,0.89,ev-pilot-001-art-work-0153a125c5a56225b06c-visual-softness
work-0153a125c5a56225b06c,motionImpact,unknown,,,ev-pilot-001-art-work-0153a125c5a56225b06c-motion-impact
work-0262dcaa820443c3185d,artRealism,known,4,0.94,ev-pilot-001-art-work-0262dcaa820443c3185d-art-realism
work-0262dcaa820443c3185d,artDensity,known,3,0.90,ev-pilot-001-art-work-0262dcaa820443c3185d-art-density
work-0262dcaa820443c3185d,visualSoftness,known,0,0.95,ev-pilot-001-art-work-0262dcaa820443c3185d-visual-softness
work-0262dcaa820443c3185d,motionImpact,known,4,0.93,ev-pilot-001-art-work-0262dcaa820443c3185d-motion-impact
work-07b11ec79f10c7eb7e05,artRealism,known,1,0.83,ev-pilot-001-art-work-07b11ec79f10c7eb7e05-art-realism
work-07b11ec79f10c7eb7e05,artDensity,known,2,0.86,ev-pilot-001-art-work-07b11ec79f10c7eb7e05-art-density
work-07b11ec79f10c7eb7e05,visualSoftness,known,3,0.89,ev-pilot-001-art-work-07b11ec79f10c7eb7e05-visual-softness
work-07b11ec79f10c7eb7e05,motionImpact,unknown,,,ev-pilot-001-art-work-07b11ec79f10c7eb7e05-motion-impact
work-07dc759bd91e1cffb2df,artRealism,known,2,0.90,ev-pilot-001-art-work-07dc759bd91e1cffb2df-art-realism
work-07dc759bd91e1cffb2df,artDensity,known,2,0.89,ev-pilot-001-art-work-07dc759bd91e1cffb2df-art-density
work-07dc759bd91e1cffb2df,visualSoftness,known,3,0.89,ev-pilot-001-art-work-07dc759bd91e1cffb2df-visual-softness
work-07dc759bd91e1cffb2df,motionImpact,unknown,,,ev-pilot-001-art-work-07dc759bd91e1cffb2df-motion-impact
work-07ff2a01ef593ce2f809,artRealism,known,2,0.90,ev-pilot-001-art-work-07ff2a01ef593ce2f809-art-realism
work-07ff2a01ef593ce2f809,artDensity,known,3,0.89,ev-pilot-001-art-work-07ff2a01ef593ce2f809-art-density
work-07ff2a01ef593ce2f809,visualSoftness,known,3,0.90,ev-pilot-001-art-work-07ff2a01ef593ce2f809-visual-softness
work-07ff2a01ef593ce2f809,motionImpact,unknown,,,ev-pilot-001-art-work-07ff2a01ef593ce2f809-motion-impact
work-081e75d8bbc53ac64713,artRealism,known,2,0.91,ev-pilot-001-art-work-081e75d8bbc53ac64713-art-realism
work-081e75d8bbc53ac64713,artDensity,known,2,0.89,ev-pilot-001-art-work-081e75d8bbc53ac64713-art-density
work-081e75d8bbc53ac64713,visualSoftness,known,2,0.88,ev-pilot-001-art-work-081e75d8bbc53ac64713-visual-softness
work-081e75d8bbc53ac64713,motionImpact,known,3,0.91,ev-pilot-001-art-work-081e75d8bbc53ac64713-motion-impact
work-0bec5d8d9474a2197312,artRealism,known,2,0.84,ev-pilot-001-art-work-0bec5d8d9474a2197312-art-realism
work-0bec5d8d9474a2197312,artDensity,known,1,0.82,ev-pilot-001-art-work-0bec5d8d9474a2197312-art-density
work-0bec5d8d9474a2197312,visualSoftness,known,4,0.92,ev-pilot-001-art-work-0bec5d8d9474a2197312-visual-softness
work-0bec5d8d9474a2197312,motionImpact,unknown,,,ev-pilot-001-art-work-0bec5d8d9474a2197312-motion-impact
