id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-pilot-001-text-work-0153a125c5a56225b06c,work-0153a125c5a56225b06c,work,work-0153a125c5a56225b06c,model,https://www.shodensha.co.jp/ikokunikki/,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.75,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.75 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-art-work-0153a125c5a56225b06c-art-realism,work-0153a125c5a56225b06c,axis,artRealism,publisher,https://feelweb.jp/episode/3269754496334652322,2026-08-23T00:00:00+09:00,pilot-001-art-overlay-v1,false,0.90,reviewedByHuman=false; art-local-chunk-04.md; gemini-art-chunk-04-group-02-response.txt; accepted; Bounded entry sample only; later-volume visual evolution is outside this judgment.
ev-pilot-001-art-work-0153a125c5a56225b06c-art-density,work-0153a125c5a56225b06c,axis,artDensity,publisher,https://feelweb.jp/episode/3269754496334652322,2026-08-23T00:00:00+09:00,pilot-001-art-overlay-v1,false,0.89,reviewedByHuman=false; art-local-chunk-04.md; gemini-art-chunk-04-group-02-response.txt; accepted; Bounded entry sample only; later-volume visual evolution is outside this judgment.
ev-pilot-001-art-work-0153a125c5a56225b06c-visual-softness,work-0153a125c5a56225b06c,axis,visualSoftness,publisher,https://feelweb.jp/episode/3269754496334652322,2026-08-23T00:00:00+09:00,pilot-001-art-overlay-v1,false,0.89,reviewedByHuman=false; art-local-chunk-04.md; gemini-art-chunk-04-group-02-response.txt; accepted; Bounded entry sample only; later-volume visual evolution is outside this judgment.
ev-pilot-001-art-work-0153a125c5a56225b06c-motion-impact,work-0153a125c5a56225b06c,axis,motionImpact,publisher,https://feelweb.jp/episode/3269754496334652322,2026-08-23T00:00:00+09:00,pilot-001-art-overlay-v1,false,1,reviewedByHuman=false; art-local-chunk-04.md; gemini-art-chunk-04-group-02-response.txt; accepted; Bounded entry sample only; later-volume visual evolution is outside this judgment. No exact bounded continuous action sequence in the reviewed packet; unknown is not low.
ev-pilot-001-text-work-0262dcaa820443c3185d,work-0262dcaa820443c3185d,work,work-0262dcaa820443c3185d,model,https://www.leed.co.jp/9784845800018,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.68,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.68 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-art-work-0262dcaa820443c3185d-art-realism,work-0262dcaa820443c3185d,axis,artRealism,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,2026-08-23T00:00:00+09:00,pilot-001-art-overlay-v1,false,0.94,reviewedByHuman=false; art-capability-preflight.md; gemini-art-final-remaining-response.txt; adjudicated; Canonical entry-content mapping is accepted for Art only; this does not replace the frozen representative ISBN.
ev-pilot-001-art-work-0262dcaa820443c3185d-art-density,work-0262dcaa820443c3185d,axis,artDensity,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,2026-08-23T00:00:00+09:00,pilot-001-art-overlay-v1,false,0.90,reviewedByHuman=false; art-capability-preflight.md; gemini-art-final-remaining-response.txt; adjudicated; Canonical entry-content mapping is accepted for Art only; this does not replace the frozen representative ISBN.
ev-pilot-001-art-work-0262dcaa820443c3185d-visual-softness,work-0262dcaa820443c3185d,axis,visualSoftness,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,2026-08-23T00:00:00+09:00,pilot-001-art-overlay-v1,false,0.95,reviewedByHuman=false; art-capability-preflight.md; gemini-art-final-remaining-response.txt; adjudicated; Canonical entry-content mapping is accepted for Art only; this does not replace the frozen representative ISBN.
ev-pilot-001-art-work-0262dcaa820443c3185d-motion-impact,work-0262dcaa820443c3185d,axis,motionImpact,publisher,https://e-comi.shogakukan.co.jp/viewer/open?jdcn=091794010001d0000000,2026-08-23T00:00:00+09:00,pilot-001-art-overlay-v1,false,0.93,reviewedByHuman=false; art-capability-preflight.md; gemini-art-final-remaining-response.txt; adjudicated; Canonical entry-content mapping is accepted for Art only; this does not replace the frozen representative ISBN.
