workId,axisId,state,value,confidence,evidenceId
work-0153a125c5a56225b06c,progression,known,2,0.84,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,problemSolving,known,1,0.78,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,strategy,unknown,,,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,pacing,known,1,0.84,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,mysteryReveal,unknown,,,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,worldBuilding,known,0,0.82,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,characterArcWeight,known,4,0.9,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,relationshipStructure,known,2,0.9,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,comedy,unknown,,,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,darkness,known,2,0.75,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,mentalStress,known,2,0.8,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,romance,unknown,,,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,emotionalWarmth,known,4,0.9,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0153a125c5a56225b06c,artRealism,known,3,0.90,ev-pilot-001-art-work-0153a125c5a56225b06c-art-realism
work-0153a125c5a56225b06c,artDensity,known,2,0.89,ev-pilot-001-art-work-0153a125c5a56225b06c-art-density
work-0153a125c5a56225b06c,visualSoftness,known,3,0.89,ev-pilot-001-art-work-0153a125c5a56225b06c-visual-softness
work-0153a125c5a56225b06c,motionImpact,unknown,,,ev-pilot-001-art-work-0153a125c5a56225b06c-motion-impact
work-0262dcaa820443c3185d,progression,known,0,0.82,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,problemSolving,known,2,0.72,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,strategy,known,2,0.68,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,pacing,known,4,0.88,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,mysteryReveal,unknown,,,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,worldBuilding,known,2,0.70,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,characterArcWeight,known,0,0.70,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,relationshipStructure,known,0,0.86,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,comedy,known,0,0.80,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,darkness,known,3,0.88,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,mentalStress,known,1,0.72,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,romance,known,0,0.84,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,emotionalWarmth,known,0,0.82,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,artRealism,known,4,0.94,ev-pilot-001-art-work-0262dcaa820443c3185d-art-realism
work-0262dcaa820443c3185d,artDensity,known,3,0.90,ev-pilot-001-art-work-0262dcaa820443c3185d-art-density
work-0262dcaa820443c3185d,visualSoftness,known,0,0.95,ev-pilot-001-art-work-0262dcaa820443c3185d-visual-softness
work-0262dcaa820443c3185d,motionImpact,known,4,0.93,ev-pilot-001-art-work-0262dcaa820443c3185d-motion-impact
work-07b11ec79f10c7eb7e05,progression,known,3,0.74,ev-pilot-001-text-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,problemSolving,unknown,,,ev-pilot-001-text-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,strategy,unknown,,,ev-pilot-001-text-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,pacing,known,3,0.84,ev-pilot-001-text-work-07b11ec79f10c7eb7e05
work-07b11ec79f10c7eb7e05,mysteryReveal,known,0,0.78,ev-pilot-001-text-work-07b11ec79f10c7eb7e05
