workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
work-0153a125c5a56225b06c,bridge,,11,,
work-0262dcaa820443c3185d,anchor,,221,,
work-07b11ec79f10c7eb7e05,bridge,,5,,
work-07dc759bd91e1cffb2df,bridge,,6,,
work-07ff2a01ef593ce2f809,discovery,,4,,
work-081e75d8bbc53ac64713,bridge,,10,,
work-0bec5d8d9474a2197312,discovery,,15,,
work-112589a161d1596ec97f,discovery,,9,,
work-11296a590b885cb73b66,bridge,,9,,
work-14e489bf1afd1587c44a,anchor,,29,,
work-192cbecc59e9c028142b,discovery,,3,,
work-1cf7a0bb5f55e0d69b27,discovery,,30,,
work-1fc61ddbeb429b4a2c15,discovery,,10,,
work-205e576ef057e3aed1ab,bridge,,9,,
work-222504590507d3ab8093,bridge,,22,,
work-268e1fa3599955359969,bridge,,11,,
work-2f39795212f5ad8db155,anchor,,48,,
work-303d0a9d67a606a817af,discovery,,40,,
work-34bba03e2a127ef29cd7,discovery,,7,,
work-3588928ab8f6a2520923,discovery,,9,,
work-37ecced0b2392d7af9b2,discovery,,6,,
work-3823ff0766f67c015c53,bridge,,31,,
work-39555fe7402dada0d79f,anchor,,108,,
work-440f93a4e60ef906685b,discovery,,6,,
work-464322afcd10013437b9,anchor,,19,,
work-4a8a22fc766bf9bc4c59,discovery,,28,,
work-5e7eef6cc23d9738e034,discovery,,9,,
work-61f2b70ee9f8217b3604,anchor,,15,,
work-671e3453cf9e1df2ee87,discovery,,11,,
work-76c038b398f4b28b7748,discovery,,14,,
work-7730845c9cf7ba0cccc8,bridge,,6,,
work-8716f80d9b988bd0d055,bridge,,10,,
work-98d513b70560f2f96a38,discovery,,11,,
work-9d04c47e7efbbbd8aca6,bridge,,16,,
work-9d5d64262dbc2893acd4,discovery,,5,,
work-a089c0eef91d1213da38,anchor,,34,,
work-a7a1e0666169f1b2e8c0,anchor,,9,,
work-ad2b80b81b7bc9b602a3,discovery,,27,,
work-b2c37bdb52e2a78dfd41,bridge,,6,,
work-b4b21d2ebe5b8efc84ea,discovery,,25,,
work-c4abbc1b44fa5706bce3,discovery,,45,,
work-cdf549d4b1888153e146,anchor,,24,,
work-d489f5a2229689aa5115,discovery,,4,,
work-d7e64b0b5479ca943edd,anchor,,30,,
work-e049c9aaf92ba31da8b0,bridge,,10,,
work-ebe399258f28460b8f9b,discovery,,11,,
work-ef7106f6a387c9860877,discovery,,5,,
work-f391e591282e435a3c1d,anchor,,22,,
work-f50fa290eb4116a7078e,discovery,,1,,
work-f5f0ee0b0ff16bc146e0,anchor,,19,,
