id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-pilot-001-text-work-0153a125c5a56225b06c,work-0153a125c5a56225b06c,work,work-0153a125c5a56225b06c,model,https://www.shodensha.co.jp/ikokunikki/,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.75,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.75 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-0262dcaa820443c3185d,work-0262dcaa820443c3185d,work,work-0262dcaa820443c3185d,model,https://www.leed.co.jp/9784845800018,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.68,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.68 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-07b11ec79f10c7eb7e05,work-07b11ec79f10c7eb7e05,work,work-07b11ec79f10c7eb7e05,model,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-782457-5,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.70,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.70 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-07dc759bd91e1cffb2df,work-07dc759bd91e1cffb2df,work,work-07dc759bd91e1cffb2df,model,https://www.akitashoten.co.jp/comics/4253160824,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.66,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.66 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-07ff2a01ef593ce2f809,work-07ff2a01ef593ce2f809,work,work-07ff2a01ef593ce2f809,model,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-867520-6,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.74,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.74 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-081e75d8bbc53ac64713,work-081e75d8bbc53ac64713,work,work-081e75d8bbc53ac64713,model,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-892767-1,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.74,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.74 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-0bec5d8d9474a2197312,work-0bec5d8d9474a2197312,work,work-0bec5d8d9474a2197312,model,https://store.kadokawa.co.jp/shop/g/g200700002446/,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.76,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-02-followup-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.76 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-112589a161d1596ec97f,work-112589a161d1596ec97f,work,work-112589a161d1596ec97f,model,https://shogakukan-comic.jp/book?isbn=9784098535439,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.65,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.65 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-11296a590b885cb73b66,work-11296a590b885cb73b66,work,work-11296a590b885cb73b66,model,https://www.kodansha.co.jp/comic/products/0000036416,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.75,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.75 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
ev-pilot-001-text-work-14e489bf1afd1587c44a,work-14e489bf1afd1587c44a,work,work-14e489bf1afd1587c44a,model,https://shogakukan-comic.jp/book?isbn=9784091922816,2026-08-23T00:00:00+09:00,promotion-evidence-v2,false,0.79,Entry 1-3 volume text and Theme overlay. Final precedence: data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt. Cursor Grok current-SHA review and Local Codex Pass C remain independent model reviews; this is not human validation. This row covers the final 13 text axes and Theme claims for the work. Evidence confidence 0.79 is deterministically the minimum known text/Theme claim confidence in this overlay; it is not copied into claims and is not derived from source type.
