workId,themeId,centrality,confidence,evidenceId
work-0153a125c5a56225b06c,foundFamily,2,0.95,ev-pilot-001-text-work-0153a125c5a56225b06c
work-0262dcaa820443c3185d,combat,2,0.90,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,politics,1,0.70,ev-pilot-001-text-work-0262dcaa820443c3185d
work-0262dcaa820443c3185d,workplace,2,0.88,ev-pilot-001-text-work-0262dcaa820443c3185d
work-07b11ec79f10c7eb7e05,school,2,0.88,ev-pilot-001-text-work-07b11ec79f10c7eb7e05
work-07dc759bd91e1cffb2df,cooking,1,0.66,ev-pilot-001-text-work-07dc759bd91e1cffb2df
work-07dc759bd91e1cffb2df,workplace,1,0.76,ev-pilot-001-text-work-07dc759bd91e1cffb2df
work-07ff2a01ef593ce2f809,school,2,0.9,ev-pilot-001-text-work-07ff2a01ef593ce2f809
work-081e75d8bbc53ac64713,sportsCompetition,2,0.94,ev-pilot-001-text-work-081e75d8bbc53ac64713
work-0bec5d8d9474a2197312,school,2,0.9,ev-pilot-001-text-work-0bec5d8d9474a2197312
work-112589a161d1596ec97f,school,2,0.82,ev-pilot-001-text-work-112589a161d1596ec97f
work-11296a590b885cb73b66,workplace,2,0.95,ev-pilot-001-text-work-11296a590b885cb73b66
work-14e489bf1afd1587c44a,sportsCompetition,2,0.94,ev-pilot-001-text-work-14e489bf1afd1587c44a
work-192cbecc59e9c028142b,workplace,2,0.92,ev-pilot-001-text-work-192cbecc59e9c028142b
work-1cf7a0bb5f55e0d69b27,sportsCompetition,2,0.95,ev-pilot-001-text-work-1cf7a0bb5f55e0d69b27
work-1fc61ddbeb429b4a2c15,workplace,2,0.85,ev-pilot-001-text-work-1fc61ddbeb429b4a2c15
work-1fc61ddbeb429b4a2c15,historicalReconstruction,2,0.9,ev-pilot-001-text-work-1fc61ddbeb429b4a2c15
work-205e576ef057e3aed1ab,school,2,0.86,ev-pilot-001-text-work-205e576ef057e3aed1ab
work-222504590507d3ab8093,adventure,2,0.8,ev-pilot-001-text-work-222504590507d3ab8093
