id,title,titleKana,creators,publisher,demographic,status,firstPublishedYear,genres,factorScope,onboardingEligible,recommendationEligible,libraryOnly,metadataConfidence,groupingConfidence,sourceAgreement,annotationReviewMethod,annotationReviewedAt,annotationReviewReference,evidenceId
work-0153a125c5a56225b06c,違国日記,,ヤマシタ トモコ,祥伝社,unknown,unknown,2017,sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-0153a125c5a56225b06c
work-0262dcaa820443c3185d,ゴルゴ13,,さいとうたかを,リイド社,unknown,unknown,1968,action,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-0262dcaa820443c3185d
work-07b11ec79f10c7eb7e05,かくかくしかじか,,東村アキコ,集英社,unknown,unknown,2012,sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-07b11ec79f10c7eb7e05
work-07dc759bd91e1cffb2df,しあわせは食べて寝て待て,,水凪トリ,秋田書店,unknown,unknown,2020,sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-07dc759bd91e1cffb2df
work-07ff2a01ef593ce2f809,さよならミニスカート,,牧野 あおい,集英社,shojo,unknown,2018,mystery,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-07ff2a01ef593ce2f809
work-081e75d8bbc53ac64713,ダイヤモンドの功罪,,平井 大橋,集英社,seinen,unknown,2023,sports,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-081e75d8bbc53ac64713
work-0bec5d8d9474a2197312,放浪息子,,志村貴子,エンターブレイン,seinen,unknown,2003,sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-0bec5d8d9474a2197312
work-112589a161d1596ec97f,写らナイんです,,コノシマ ルカ,小学館,shonen,unknown,2024,comedy;horror,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-112589a161d1596ec97f
work-11296a590b885cb73b66,透明なゆりかご,,沖田×華,講談社,shojo,unknown,2014,sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-11296a590b885cb73b66
work-14e489bf1afd1587c44a,YAWARA！,,浦沢直樹,小学館,seinen,unknown,1986,sports;comedy;romance,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-14e489bf1afd1587c44a
work-192cbecc59e9c028142b,本なら売るほど,,児島 青,KADOKAWA,unknown,unknown,2022,sliceOfLife,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-192cbecc59e9c028142b
work-1cf7a0bb5f55e0d69b27,モンキーターン,,河合克敏,小学館,shonen,unknown,1996,sports,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-1cf7a0bb5f55e0d69b27
work-1fc61ddbeb429b4a2c15,エマ,,森 薫,KADOKAWA,unknown,unknown,2002,historical;romance,entry_1_3_volumes,true,true,false,1,1,1,authorizedModelPanel,2026-08-23T00:00:00+09:00,reviews/pilot-001-promotion-panel.md,ev-rakuten-library-work-1fc61ddbeb429b4a2c15
