mappingId,sourceItemId,candidateId,workId,mappingType,canonicalTitleJa,confidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,notes
mapping-c15fb26fb8dfa7309240,konomanga-2020-ranking-30,candidate-0153a125c5a56225b06c,work-0153a125c5a56225b06c,included,違国日記,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15182203/; normalizedTitle=違国日記; matchedRakutenAuthor=ヤマシタ トモコ; isbn=9784396767174.
mapping-da99b06213c88b2d71c7,mangataisho-2019-004,candidate-0153a125c5a56225b06c,work-0153a125c5a56225b06c,duplicate,違国日記,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2019.html,2019,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2019.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/15182203/; normalizedTitle=違国日記; matchedRakutenAuthor=ヤマシタ トモコ; isbn=9784396767174.
mapping-51ce0eb95bc62c0cf586,mangataisho-2020-010,candidate-0153a125c5a56225b06c,work-0153a125c5a56225b06c,duplicate,違国日記,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2020.html,2020,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2020.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/15182203/; normalizedTitle=違国日記; matchedRakutenAuthor=ヤマシタ トモコ; isbn=9784396767174.
mapping-e3b729ebd2b9df19c950,tsugimanga-2019-comics-004,candidate-0153a125c5a56225b06c,work-0153a125c5a56225b06c,duplicate,違国日記,1,KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match,https://tsugimanga.jp/winner/2019/comics,2019-08-22,2026-08-22,sourceOfficialUrl=https://tsugimanga.jp/winner/2019/comics; rakutenProductUrl=https://books.rakuten.co.jp/rb/15182203/; normalizedTitle=違国日記; matchedRakutenAuthor=ヤマシタ トモコ; isbn=9784396767174.
mapping-0e8b6e378c86c8a96513,shogakukan-manga-award-21-003,candidate-0262dcaa820443c3185d,work-0262dcaa820443c3185d,included,ゴルゴ13,1,小学館「小学館漫画賞」 official selection + Rakuten Books exact product match,https://shogakukan-comic.jp/shogakukan-mangasho-archives,1975,2026-08-22,sourceOfficialUrl=https://shogakukan-comic.jp/shogakukan-mangasho-archives; rakutenProductUrl=https://books.rakuten.co.jp/rb/869925/; normalizedTitle=ごるご; matchedRakutenAuthor=さいとうたかを; isbn=9784845800018.
mapping-68e74b4f4f371a557275,shogakukan-manga-award-50-007,candidate-0262dcaa820443c3185d,work-0262dcaa820443c3185d,duplicate,ゴルゴ13,1,小学館「小学館漫画賞」 official selection + Rakuten Books exact product match,https://shogakukan-comic.jp/shogakukan-mangasho-archives,2004,2026-08-22,sourceOfficialUrl=https://shogakukan-comic.jp/shogakukan-mangasho-archives; rakutenProductUrl=https://books.rakuten.co.jp/rb/869925/; normalizedTitle=ごるご; matchedRakutenAuthor=さいとうたかを; isbn=9784845800018.
mapping-e7bcd15f5b81ec75f7d4,mangataisho-2013-047,candidate-07b11ec79f10c7eb7e05,work-07b11ec79f10c7eb7e05,included,かくかくしかじか,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2013.html,2013,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2013.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11789644/; normalizedTitle=かくかくしかじか; matchedRakutenAuthor=東村アキコ; isbn=9784087824575.
mapping-e0c18f490984da010351,mangataisho-2014-039,candidate-07b11ec79f10c7eb7e05,work-07b11ec79f10c7eb7e05,duplicate,かくかくしかじか,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2014.html,2014,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2014.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11789644/; normalizedTitle=かくかくしかじか; matchedRakutenAuthor=東村アキコ; isbn=9784087824575.
mapping-4e84c88edc31218eae60,mangataisho-2015-001,candidate-07b11ec79f10c7eb7e05,work-07b11ec79f10c7eb7e05,duplicate,かくかくしかじか,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2015.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11789644/; normalizedTitle=かくかくしかじか; matchedRakutenAuthor=東村アキコ; isbn=9784087824575.
mapping-e2c86feb00b80531434b,konomanga-2022-ranking-18,candidate-07dc759bd91e1cffb2df,work-07dc759bd91e1cffb2df,included,しあわせは食べて寝て待て,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4815/,2021-12-07,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4815/; rakutenProductUrl=https://books.rakuten.co.jp/rb/16630845/; normalizedTitle=しあわせは食べて寝て待て; matchedRakutenAuthor=水凪トリ; isbn=9784253160827.
mapping-7f0c9552e8f9eb2f2f7a,konomanga-2020-ranking-21,candidate-07ff2a01ef593ce2f809,work-07ff2a01ef593ce2f809,included,さよならミニスカート,1,宝島社「このマンガがすごい！」編集部 official selection + Rakuten Books exact product match,https://sugoiweb.jp/column/4894/,2019-12-20,2026-08-22,sourceOfficialUrl=https://sugoiweb.jp/column/4894/; rakutenProductUrl=https://books.rakuten.co.jp/rb/15681764/; normalizedTitle=さよならみにすかーと; matchedRakutenAuthor=牧野 あおい; isbn=9784088675206.
