rakutenMatchId,candidateId,matchStatus,isbn,matchedTitle,editionKind,isRepresentative,sourceUrl,checkedAt,notes
rakuten-match-0153a125c5a56225b06c,candidate-0153a125c5a56225b06c,matched,9784396767174,違国日記（1）,standard,true,https://books.rakuten.co.jp/rb/15182203/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-0262dcaa820443c3185d,candidate-0262dcaa820443c3185d,matched,9784845800018,ゴルゴ13（1）,standard,true,https://books.rakuten.co.jp/rb/869925/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-07b11ec79f10c7eb7e05,candidate-07b11ec79f10c7eb7e05,matched,9784087824575,かくかくしかじか（1）,standard,true,https://books.rakuten.co.jp/rb/11789644/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-07dc759bd91e1cffb2df,candidate-07dc759bd91e1cffb2df,matched,9784253160827,しあわせは食べて寝て待て 1,standard,true,https://books.rakuten.co.jp/rb/16630845/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-07ff2a01ef593ce2f809,candidate-07ff2a01ef593ce2f809,matched,9784088675206,さよならミニスカート 1,standard,true,https://books.rakuten.co.jp/rb/15681764/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001002007."
rakuten-match-081e75d8bbc53ac64713,candidate-081e75d8bbc53ac64713,matched,9784088927671,ダイヤモンドの功罪 1,standard,true,https://books.rakuten.co.jp/rb/17493969/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003005."
rakuten-match-0bec5d8d9474a2197312,candidate-0bec5d8d9474a2197312,matched,9784757715226,放浪息子（1）,standard,true,https://books.rakuten.co.jp/rb/1579024/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003023."
rakuten-match-112589a161d1596ec97f,candidate-112589a161d1596ec97f,matched,9784098535439,写らナイんです（1）,standard,true,https://books.rakuten.co.jp/rb/17926225/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001001009."
rakuten-match-11296a590b885cb73b66,candidate-11296a590b885cb73b66,matched,9784063409574,透明なゆりかご（1）,standard,true,https://books.rakuten.co.jp/rb/13204718/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001002005."
rakuten-match-14e489bf1afd1587c44a,candidate-14e489bf1afd1587c44a,matched,9784091813411,YAWARA！（1）,standard,true,https://books.rakuten.co.jp/rb/366092/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003009."
