sourceItemId,sourceId,status,candidateId,workId,decisionRef
konomanga-2020-ranking-30,konomanga-2020-ranking,included,candidate-0153a125c5a56225b06c,work-0153a125c5a56225b06c,mapping-c15fb26fb8dfa7309240
mangataisho-2019-004,mangataisho-2019,duplicate,candidate-0153a125c5a56225b06c,work-0153a125c5a56225b06c,mapping-da99b06213c88b2d71c7
mangataisho-2020-010,mangataisho-2020,duplicate,candidate-0153a125c5a56225b06c,work-0153a125c5a56225b06c,mapping-51ce0eb95bc62c0cf586
tsugimanga-2019-comics-004,tsugimanga-2019-comics,duplicate,candidate-0153a125c5a56225b06c,work-0153a125c5a56225b06c,mapping-e3b729ebd2b9df19c950
shogakukan-manga-award-21-003,shogakukan-manga-award-21,included,candidate-0262dcaa820443c3185d,work-0262dcaa820443c3185d,mapping-0e8b6e378c86c8a96513
shogakukan-manga-award-50-007,shogakukan-manga-award-50,duplicate,candidate-0262dcaa820443c3185d,work-0262dcaa820443c3185d,mapping-68e74b4f4f371a557275
mangataisho-2013-047,mangataisho-2013,included,candidate-07b11ec79f10c7eb7e05,work-07b11ec79f10c7eb7e05,mapping-e7bcd15f5b81ec75f7d4
mangataisho-2014-039,mangataisho-2014,duplicate,candidate-07b11ec79f10c7eb7e05,work-07b11ec79f10c7eb7e05,mapping-e0c18f490984da010351
mangataisho-2015-001,mangataisho-2015,duplicate,candidate-07b11ec79f10c7eb7e05,work-07b11ec79f10c7eb7e05,mapping-4e84c88edc31218eae60
konomanga-2022-ranking-18,konomanga-2022-ranking,included,candidate-07dc759bd91e1cffb2df,work-07dc759bd91e1cffb2df,mapping-e2c86feb00b80531434b
konomanga-2020-ranking-21,konomanga-2020-ranking,included,candidate-07ff2a01ef593ce2f809,work-07ff2a01ef593ce2f809,mapping-7f0c9552e8f9eb2f2f7a
konomanga-2024-ranking-01,konomanga-2024-ranking,included,candidate-081e75d8bbc53ac64713,work-081e75d8bbc53ac64713,mapping-411780b7037d03b4082a
mangataisho-2024-005,mangataisho-2024,duplicate,candidate-081e75d8bbc53ac64713,work-081e75d8bbc53ac64713,mapping-b5c95afbbd853fd05e0c
nippan-bookseller-recommendations-2024-004,nippan-bookseller-recommendations-2024,duplicate,candidate-081e75d8bbc53ac64713,work-081e75d8bbc53ac64713,mapping-63193edc90c1b3627abe
tsugimanga-2023-comics-020,tsugimanga-2023-comics,duplicate,candidate-081e75d8bbc53ac64713,work-081e75d8bbc53ac64713,mapping-fbb46989099150dba40d
mangataisho-2008-057,mangataisho-2008,included,candidate-0bec5d8d9474a2197312,work-0bec5d8d9474a2197312,mapping-f075d0f2e89a8606819a
mangataisho-2009-054,mangataisho-2009,duplicate,candidate-0bec5d8d9474a2197312,work-0bec5d8d9474a2197312,mapping-fe783d38d5e1ca0476ad
nippan-bookseller-recommendations-2025-015,nippan-bookseller-recommendations-2025,duplicate,candidate-112589a161d1596ec97f,work-112589a161d1596ec97f,mapping-87fe03d5597ad6e5e1c6
tsugimanga-2025-comics-004,tsugimanga-2025-comics,included,candidate-112589a161d1596ec97f,work-112589a161d1596ec97f,mapping-1ba9a09bfbd0f4a841b0
nippan-bookseller-recommendations-2017-011,nippan-bookseller-recommendations-2017,included,candidate-11296a590b885cb73b66,work-11296a590b885cb73b66,mapping-526a451df3cfede0f323
shogakukan-manga-award-35-004,shogakukan-manga-award-35,included,candidate-14e489bf1afd1587c44a,work-14e489bf1afd1587c44a,mapping-5731dd2a98a4f0712af0
konomanga-2026-ranking-01,konomanga-2026-ranking,included,candidate-192cbecc59e9c028142b,work-192cbecc59e9c028142b,mapping-1d8fcafa64a57be914a4
mangataisho-2026-001,mangataisho-2026,duplicate,candidate-192cbecc59e9c028142b,work-192cbecc59e9c028142b,mapping-ae3a4aa43d2765a4d9b5
nippan-bookseller-recommendations-2026-002,nippan-bookseller-recommendations-2026,duplicate,candidate-192cbecc59e9c028142b,work-192cbecc59e9c028142b,mapping-368d17922d6afd3b993b
tsugimanga-2025-comics-032,tsugimanga-2025-comics,duplicate,candidate-192cbecc59e9c028142b,work-192cbecc59e9c028142b,mapping-db1bb74c4b2ed6bbd196
shogakukan-manga-award-45-002,shogakukan-manga-award-45,included,candidate-1cf7a0bb5f55e0d69b27,work-1cf7a0bb5f55e0d69b27,mapping-b50005de144a3790d81f
mangataisho-2008-111,mangataisho-2008,included,candidate-1fc61ddbeb429b4a2c15,work-1fc61ddbeb429b4a2c15,mapping-ed4a42995df0be57e7af
mangataisho-2009-099,mangataisho-2009,included,candidate-205e576ef057e3aed1ab,work-205e576ef057e3aed1ab,mapping-17f9844545193ecab4f3
mangataisho-2010-101,mangataisho-2010,duplicate,candidate-205e576ef057e3aed1ab,work-205e576ef057e3aed1ab,mapping-9ab013420684602b82d5
shogakukan-manga-award-57-004,shogakukan-manga-award-57,duplicate,candidate-205e576ef057e3aed1ab,work-205e576ef057e3aed1ab,mapping-21e5638721e083ea4ca2
konomanga-2020-ranking-07,konomanga-2020-ranking,included,candidate-222504590507d3ab8093,work-222504590507d3ab8093,mapping-7b70ebfe73f18231b882
mangataisho-2025-003,mangataisho-2025,included,candidate-268e1fa3599955359969,work-268e1fa3599955359969,mapping-b649d1175dc24a634cf8
shogakukan-manga-award-43-004,shogakukan-manga-award-43,included,candidate-2f39795212f5ad8db155,work-2f39795212f5ad8db155,mapping-98989b33564041234228
shogakukan-manga-award-41-004,shogakukan-manga-award-41,included,candidate-303d0a9d67a606a817af,work-303d0a9d67a606a817af,mapping-201bbc466dae6c1b4a7e
mangataisho-2019-006,mangataisho-2019,included,candidate-34bba03e2a127ef29cd7,work-34bba03e2a127ef29cd7,mapping-db5dc09a684277455798
nippan-bookseller-recommendations-2018-012,nippan-bookseller-recommendations-2018,duplicate,candidate-34bba03e2a127ef29cd7,work-34bba03e2a127ef29cd7,mapping-cff8c58fe6678775454c
konomanga-2022-ranking-11,konomanga-2022-ranking,included,candidate-3588928ab8f6a2520923,work-3588928ab8f6a2520923,mapping-7dde7dc65baf0bfd7765
konomanga-2023-ranking-16,konomanga-2023-ranking,duplicate,candidate-3588928ab8f6a2520923,work-3588928ab8f6a2520923,mapping-a4338750c62a866ab0cc
mangataisho-2022-009,mangataisho-2022,duplicate,candidate-3588928ab8f6a2520923,work-3588928ab8f6a2520923,mapping-04df2ddb689e7c9acc8f
mangataisho-2025-002,mangataisho-2025,duplicate,candidate-37ecced0b2392d7af9b2,work-37ecced0b2392d7af9b2,mapping-08fc54650d265465f96a
mangataisho-2026-007,mangataisho-2026,duplicate,candidate-37ecced0b2392d7af9b2,work-37ecced0b2392d7af9b2,mapping-7c8ca1711bcad54413fb
nippan-bookseller-recommendations-2025-009,nippan-bookseller-recommendations-2025,duplicate,candidate-37ecced0b2392d7af9b2,work-37ecced0b2392d7af9b2,mapping-816ccb40b00b42319ada
tsugimanga-2024-comics-040,tsugimanga-2024-comics,included,candidate-37ecced0b2392d7af9b2,work-37ecced0b2392d7af9b2,mapping-2425a706b7111c4a45fc
mangataisho-2011-009,mangataisho-2011,included,candidate-3823ff0766f67c015c53,work-3823ff0766f67c015c53,mapping-0ebf38904c41d570c2ba
mangataisho-2012-040,mangataisho-2012,duplicate,candidate-3823ff0766f67c015c53,work-3823ff0766f67c015c53,mapping-d5c83b4a19f9b0de0b5d
mangataisho-2013-014,mangataisho-2013,duplicate,candidate-3823ff0766f67c015c53,work-3823ff0766f67c015c53,mapping-e3f502dc3dd584aa8064
nippan-bookseller-recommendations-2011-009,nippan-bookseller-recommendations-2011,duplicate,candidate-3823ff0766f67c015c53,work-3823ff0766f67c015c53,mapping-f4d64d75a0f1bfa00424
nippan-bookseller-recommendations-2012-006,nippan-bookseller-recommendations-2012,duplicate,candidate-3823ff0766f67c015c53,work-3823ff0766f67c015c53,mapping-ab9a86d5f3e483217347
shogakukan-manga-award-46-002,shogakukan-manga-award-46,included,candidate-39555fe7402dada0d79f,work-39555fe7402dada0d79f,mapping-1798f279ed292b869524
shogakukan-manga-award-45-004,shogakukan-manga-award-45,included,candidate-440f93a4e60ef906685b,work-440f93a4e60ef906685b,mapping-0808bf85bad80207699b
konomanga-2022-ranking-13,konomanga-2022-ranking,included,candidate-464322afcd10013437b9,work-464322afcd10013437b9,mapping-2148d50d7703e853f4cb
mangataisho-2008-006,mangataisho-2008,duplicate,candidate-464322afcd10013437b9,work-464322afcd10013437b9,mapping-1b6221d98c779756615d
mangataisho-2009-012,mangataisho-2009,duplicate,candidate-464322afcd10013437b9,work-464322afcd10013437b9,mapping-77302d0f631b9673d262
mangataisho-2010-031,mangataisho-2010,duplicate,candidate-464322afcd10013437b9,work-464322afcd10013437b9,mapping-44bf18e5124e28540f55
mangataisho-2012-161,mangataisho-2012,duplicate,candidate-464322afcd10013437b9,work-464322afcd10013437b9,mapping-b730c65a91929f8939f0
shogakukan-manga-award-56-003,shogakukan-manga-award-56,duplicate,candidate-464322afcd10013437b9,work-464322afcd10013437b9,mapping-c7e60c3aebf52f3e9a6c
shogakukan-manga-award-46-004,shogakukan-manga-award-46,included,candidate-4a8a22fc766bf9bc4c59,work-4a8a22fc766bf9bc4c59,mapping-16ca39094b3c39294e69
mangataisho-2017-007,mangataisho-2017,included,candidate-5e7eef6cc23d9738e034,work-5e7eef6cc23d9738e034,mapping-043d0435b3b5d123fded
mangataisho-2018-012,mangataisho-2018,duplicate,candidate-5e7eef6cc23d9738e034,work-5e7eef6cc23d9738e034,mapping-9819218504b67915bf11
mangataisho-2019-012,mangataisho-2019,duplicate,candidate-5e7eef6cc23d9738e034,work-5e7eef6cc23d9738e034,mapping-e76ff78282c2c6af7f91
mangataisho-2012-001,mangataisho-2012,included,candidate-61f2b70ee9f8217b3604,work-61f2b70ee9f8217b3604,mapping-b7858d421038045664ea
nippan-bookseller-recommendations-2012-002,nippan-bookseller-recommendations-2012,duplicate,candidate-61f2b70ee9f8217b3604,work-61f2b70ee9f8217b3604,mapping-ae2b0aab18edc35799d4
shogakukan-manga-award-58-002,shogakukan-manga-award-58,duplicate,candidate-61f2b70ee9f8217b3604,work-61f2b70ee9f8217b3604,mapping-a73e74993492690744a6
shogakukan-manga-award-29-005,shogakukan-manga-award-29,included,candidate-671e3453cf9e1df2ee87,work-671e3453cf9e1df2ee87,mapping-7da5883bdaf3a6547512
shogakukan-manga-award-43-003,shogakukan-manga-award-43,included,candidate-76c038b398f4b28b7748,work-76c038b398f4b28b7748,mapping-1d4ae273af93c6b277e9
konomanga-2025-ranking-01,konomanga-2025-ranking,included,candidate-7730845c9cf7ba0cccc8,work-7730845c9cf7ba0cccc8,mapping-765624103e5e8dc3071c
mangataisho-2024-001,mangataisho-2024,duplicate,candidate-7730845c9cf7ba0cccc8,work-7730845c9cf7ba0cccc8,mapping-0118f5a50597ccc2b009
nippan-bookseller-recommendations-2025-003,nippan-bookseller-recommendations-2025,duplicate,candidate-7730845c9cf7ba0cccc8,work-7730845c9cf7ba0cccc8,mapping-e5cb3efbdaeb0f64c8a7
mangataisho-2016-007,mangataisho-2016,duplicate,candidate-8716f80d9b988bd0d055,work-8716f80d9b988bd0d055,mapping-83ffe3123d3799ad4174
nippan-bookseller-recommendations-2016-004,nippan-bookseller-recommendations-2016,duplicate,candidate-8716f80d9b988bd0d055,work-8716f80d9b988bd0d055,mapping-238cf085104550de5535
shogakukan-manga-award-63-005,shogakukan-manga-award-63,duplicate,candidate-8716f80d9b988bd0d055,work-8716f80d9b988bd0d055,mapping-743c7ea6238122fc3d3b
tsugimanga-2016-comics-011,tsugimanga-2016-comics,included,candidate-8716f80d9b988bd0d055,work-8716f80d9b988bd0d055,mapping-9b04955679e3fc3e898a
shogakukan-manga-award-20-001,shogakukan-manga-award-20,included,candidate-98d513b70560f2f96a38,work-98d513b70560f2f96a38,mapping-d1166294d20d30b2b49c
