workId,canonicalTitle,artRealismState,artRealismValue,artDensityState,artDensityValue,visualSoftnessState,visualSoftnessValue,motionImpactState,motionImpactValue,closure,localEvidence,geminiEvidence,adjudication
work-0262dcaa820443c3185d,ゴルゴ13,known,4,known,3,known,0,known,4,quorum-verified,art-capability-preflight.md,gemini-art-final-remaining-response.txt,adjudicated
work-9d5d64262dbc2893acd4,ポーの一族,known,2,known,1,known,4,unknown,,quorum-verified,art-local-ecomi-audit.md,review-ledger.md,adjudicated
work-98d513b70560f2f96a38,漂流教室,known,3,known,4,known,0,known,4,quorum-verified,art-salvage-four/local-codex-blind-freeze.md,art-salvage-four/hyoryu-gemini-counted-stdout.json,adjudicated:art-salvage-four/pass-c-adjudication.md
work-f50fa290eb4116a7078e,11人いる！,known,2,known,3,known,3,unknown,,quorum-verified,art-salvage-four/local-codex-blind-freeze.md,art-salvage-four/eleven-gemini-counted-stdout.json,adjudicated:art-salvage-four/pass-c-adjudication.md
work-a089c0eef91d1213da38,うる星やつら,known,1,known,2,known,2,known,4,quorum-verified,art-salvage-four/local-codex-blind-freeze.md,art-salvage-four/urusei-gemini-counted-stdout.json,adjudicated:art-salvage-four/pass-c-adjudication.md
work-671e3453cf9e1df2ee87,陽だまりの樹,known,2,known,3,known,2,known,4,quorum-verified,art-local-hidamari-salvage.md,gemini-art-hidamari-salvage-response.md,adjudicated
work-14e489bf1afd1587c44a,YAWARA！,known,3,known,2,known,2,known,1,quorum-verified,art-salvage-four/local-codex-blind-freeze.md,art-salvage-four/yawara-gemini-counted-stdout.json,adjudicated:art-salvage-four/pass-c-adjudication.md
work-ad2b80b81b7bc9b602a3,Papa told me,known,2,known,2,known,4,unknown,,quorum-verified,art-local-remaining.md,gemini-art-dandadan-papa-ooku-response.txt,accepted
work-39555fe7402dada0d79f,名探偵コナン,known,2,known,3,known,1,known,4,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-01-response.txt,adjudicated
work-4a8a22fc766bf9bc4c59,天は赤い河のほとり,known,2,known,2,known,4,unknown,,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-02-response.txt,adjudicated
work-0bec5d8d9474a2197312,放浪息子,known,2,known,1,known,4,unknown,,quorum-verified,art-local-hourou-salvage.md,gemini-art-hourou-salvage-response.md,adjudicated
work-1cf7a0bb5f55e0d69b27,モンキーターン,known,3,known,3,known,1,known,3,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-01-response.txt,adjudicated
work-1fc61ddbeb429b4a2c15,エマ,known,3,known,3,known,3,known,2,quorum-verified,art-local-emma-salvage.md,gemini-art-emma-salvage-response.md,adjudicated
work-2f39795212f5ad8db155,あずみ,known,3,known,3,known,2,unknown,,quorum-verified,art-local-ecomi-audit.md,gemini-art-final-remaining-response.txt,accepted
work-303d0a9d67a606a817af,ギャラリーフェイク,known,3,known,3,known,1,unknown,,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-04-response.txt,adjudicated
work-440f93a4e60ef906685b,バラ色の明日,known,3,known,2,known,3,unknown,,quorum-verified,art-local-barairo-recheck.md,gemini-art-barairo-recheck-response.txt,accepted
work-464322afcd10013437b9,大奥,known,3,known,3,known,2,unknown,,quorum-verified,art-local-remaining.md,gemini-art-dandadan-papa-ooku-response.txt,accepted
work-76c038b398f4b28b7748,妖しのセレス,known,2,known,2,known,4,unknown,,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ceres-response.txt,adjudicated-to-unknown
work-b4b21d2ebe5b8efc84ea,Dr.コトー診療所,known,3,known,3,known,1,unknown,,quorum-verified,art-local-dr-coto-salvage.md,gemini-art-dr-coto-salvage-response.md,adjudicated
work-c4abbc1b44fa5706bce3,風光る,known,2,known,2,known,3,known,3,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-03-response.txt,adjudicated
work-ebe399258f28460b8f9b,鈴木先生,known,3,known,3,known,1,unknown,,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-01-response.txt,adjudicated-to-unknown
work-f391e591282e435a3c1d,アイアムアヒーロー,known,4,known,4,known,0,unknown,,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-01-response.txt,adjudicated
work-205e576ef057e3aed1ab,坂道のアポロン,known,2,known,2,known,3,unknown,,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-01-response.txt,adjudicated
work-61f2b70ee9f8217b3604,銀の匙 Silver Spoon,known,2,known,2,known,2,known,2,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-02-response.txt,adjudicated
work-07b11ec79f10c7eb7e05,かくかくしかじか,known,1,known,2,known,3,unknown,,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-02-response.txt,adjudicated
work-f5f0ee0b0ff16bc146e0,ばらかもん,known,2,known,2,known,3,known,3,quorum-verified,art-local-barakamon-salvage.md,gemini-art-barakamon-salvage-response.md,adjudicated
work-a7a1e0666169f1b2e8c0,海街diary,known,3,known,2,known,3,unknown,,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-03-response.txt,adjudicated
work-3823ff0766f67c015c53,ましろのおと,known,3,known,3,known,3,unknown,,quorum-verified,art-local-mashiro-salvage.md,gemini-art-mashiro-salvage-response.txt,adjudicated
work-d7e64b0b5479ca943edd,深夜食堂,known,1,known,1,known,2,unknown,,quorum-verified,art-local-ecomi-audit.md,gemini-art-pass-c-ecomi-group-04-response.txt,adjudicated
work-ef7106f6a387c9860877,その女、ジルバ,known,2,known,2,known,3,unknown,,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-01-response.txt,adjudicated
work-8716f80d9b988bd0d055,恋は雨上がりのように,known,3,known,3,known,3,known,1,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-01-response.txt,accepted
work-11296a590b885cb73b66,透明なゆりかご,known,0,known,1,known,3,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-01-response.txt,accepted
work-5e7eef6cc23d9738e034,ゴールデンゴールド,known,4,known,4,known,1,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-01-response.txt,accepted
work-0153a125c5a56225b06c,違国日記,known,3,known,2,known,3,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-02-response.txt,accepted
work-34bba03e2a127ef29cd7,北北西に曇と往け,known,3,known,4,known,3,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-02-response.txt,accepted
work-9d04c47e7efbbbd8aca6,かげきしょうじょ！！,known,2,known,2,known,3,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-02-response.txt,accepted
work-222504590507d3ab8093,王様ランキング,known,0,known,1,known,3,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-03-response.txt,accepted
work-07ff2a01ef593ce2f809,さよならミニスカート,known,2,known,3,known,3,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-03-response.txt,accepted
work-d489f5a2229689aa5115,女の園の星,known,4,known,3,known,1,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-chunk-04-group-03-response.txt,accepted
work-cdf549d4b1888153e146,ダンダダン,known,2,known,3,known,1,unknown,,quorum-verified,art-local-chunk-04.md,gemini-art-dandadan-papa-ooku-response.txt,accepted
work-e049c9aaf92ba31da8b0,これ描いて死ね,known,1,known,2,known,3,unknown,,quorum-verified,art-local-other-audit.md,gemini-art-final-remaining-response.txt,adjudicated
work-07dc759bd91e1cffb2df,しあわせは食べて寝て待て,known,2,known,2,known,3,unknown,,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-01-response.txt,accepted
work-3588928ab8f6a2520923,海が走るエンドロール,known,3,known,3,known,3,unknown,,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-01-response.txt,accepted
work-b2c37bdb52e2a78dfd41,天幕のジャードゥーガル,known,0,known,3,known,3,unknown,,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-01-response.txt,accepted
work-081e75d8bbc53ac64713,ダイヤモンドの功罪,known,2,known,2,known,2,known,3,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-02-response.txt,accepted
work-7730845c9cf7ba0cccc8,君と宇宙を歩くために,known,2,known,2,known,2,unknown,,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-02-response.txt,accepted
work-112589a161d1596ec97f,写らナイんです,known,1,known,1,known,2,unknown,,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-02-response.txt,adjudicated
work-268e1fa3599955359969,ふつうの軽音部,known,1,known,2,known,3,unknown,,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-03-response.txt,accepted
work-192cbecc59e9c028142b,本なら売るほど,known,3,known,3,known,2,unknown,,quorum-verified,art-local-chunk-05.md,gemini-art-chunk-05-group-03-response.txt,accepted
work-37ecced0b2392d7af9b2,路傍のフジイ,known,4,known,4,known,1,unknown,,quorum-verified,art-local-other-audit.md,gemini-art-pass-c-other-group-02-response.txt,adjudicated
