candidateSha256,workId,canonicalTitle,axis,state,value,confidence,localState,localValue,geminiState,geminiValue,passCDisposition,sourceUrl,sourceName,sourceType,sourcePublicationOrEditionYear,accessedAt,edition,scope,pageRefs,samplePageCount,contextCount,contexts,observation,limitation,disagreement,hardBlocker,reviewedByHuman
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-98d513b70560f2f96a38","漂流教室","artRealism","known",3,0.83,"known",3,"known",2,"accept-local-between-anchors","https://e-comi.shogakukan.co.jp/books/091931710000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","漂流教室〔文庫版〕 1; JDCN 091931710000d0000000","entry volume; broad edition-stable traits only","pages-8-9.png;pages-20-21.png;pages-32-33.png",6,3,"toy-store/city;domestic conflict/desk;exterior anomaly","Stylized faces coexist with natural proportions and repeatedly perspective-accurate streets, interiors and props; between ordinary stylization 2 and realistic anchor 4.","Alternate bunko edition; not frozen standard ISBN 9784091200013.","Local 3 vs Gemini 2; Pass C retains 3 from pixels and dictionary, not vote.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-98d513b70560f2f96a38","漂流教室","artDensity","known",4,0.90,"known",4,"known",4,"agreement","https://e-comi.shogakukan.co.jp/books/091931710000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","漂流教室〔文庫版〕 1; JDCN 091931710000d0000000","entry volume; broad edition-stable traits only","pages-8-9.png;pages-20-21.png;pages-32-33.png",6,3,"toy-store/city;domestic conflict/desk;exterior anomaly","Toy shelves, street surfaces, drawer contents, hatching, tones and anomaly spread sustain high line/background/information density.","Alternate bunko edition; sample may overrepresent high-activity pages.","Local and Gemini agree 4.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-98d513b70560f2f96a38","漂流教室","visualSoftness","known",0,0.94,"known",0,"known",0,"agreement","https://e-comi.shogakukan.co.jp/books/091931710000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","漂流教室〔文庫版〕 1; JDCN 091931710000d0000000","entry volume; broad edition-stable traits only","pages-8-9.png;pages-20-21.png;pages-32-33.png",6,3,"toy-store/city;domestic conflict/desk;exterior anomaly","Hard contours, heavy blacks and jagged hatching anchor rough/angular 0.","Alternate bunko reproduction caveat.","Local and Gemini agree 0.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-98d513b70560f2f96a38","漂流教室","motionImpact","known",4,0.89,"known",4,"known",4,"agreement-with-factual-correction","https://e-comi.shogakukan.co.jp/books/091931710000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","漂流教室〔文庫版〕 1; JDCN 091931710000d0000000","entry volume; exact printed p.18 sequence","pages-20-21.png printed p.18 start=tablecloth grasp/pull;development=dishes launch/fall;endpoint=boy runs upstairs and fallen items remain;pages-32-33.png supporting impact spread",6,3,"toy-store/city;domestic conflict/desk;exterior anomaly","Exact bounded tablecloth/dish sequence plus a strong anomaly spread show strong speed and impact emphasis.","Gemini falsely named a knife; pixels show the mother's pointing arm and no knife. False detail excluded.","Value agreement 4; Pass C corrected the Gemini object-level hallucination without changing the value.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-f50fa290eb4116a7078e","11人いる！","artRealism","known",2,0.86,"known",3,"known",2,"accept-gemini-anchor","https://e-comi.shogakukan.co.jp/books/091910110000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","official single digital volume 11人いる!; JDCN 091910110000d0000000","original story opening only; viewer pages 8-13 before sequel starting p.125","pages-8-9.png;pages-10-11.png;pages-12-13.png",6,3,"exam pods/control terminals;B63 briefing;spacecraft exterior/airlock","Controlled perspective is balanced by elongated figures, simplified faces and large eyes; ordinary manga stylization 2 dominates.","Collected volume also contains sequel and another story; sampled range is original opening only.","Local 3 vs Gemini 2; Pass C selects 2 from dominant figure treatment.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-f50fa290eb4116a7078e","11人いる！","artDensity","known",3,0.87,"known",3,"known",3,"agreement","https://e-comi.shogakukan.co.jp/books/091910110000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","official single digital volume 11人いる!; JDCN 091910110000d0000000","original story opening only; viewer pages 8-13","pages-8-9.png;pages-10-11.png;pages-12-13.png",6,3,"exam pods/control terminals;B63 briefing;spacecraft exterior/airlock","Complex pod geometry, checkerboard perspective, machinery and starfields exceed balanced 2 but dialogue panels prevent sustained 4.","Opening-only range.","Local and Gemini agree 3.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-f50fa290eb4116a7078e","11人いる！","visualSoftness","known",3,0.86,"known",3,"known",3,"agreement","https://e-comi.shogakukan.co.jp/books/091910110000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","official single digital volume 11人いる!; JDCN 091910110000d0000000","original story opening only; viewer pages 8-13","pages-8-9.png;pages-10-11.png;pages-12-13.png",6,3,"exam pods/control terminals;B63 briefing;spacecraft exterior/airlock","Fine curved contours, flowing hair, atmospheric washes and rounded structures sit between neutral 2 and soft 4.","Opening-only range.","Local and Gemini agree 3.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-f50fa290eb4116a7078e","11人いる！","motionImpact","unknown",,,"known",0,"unknown",,"correct-to-unknown-strict-sequence-gate","https://e-comi.shogakukan.co.jp/books/091910110000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","official single digital volume 11人いる!; JDCN 091910110000d0000000","original opening; motion gate","pages-12-13.png shows mid-flight then hatch approach/entry but no visible initiation",6,3,"exam pods/control terminals;B63 briefing;spacecraft exterior/airlock","The packet begins the candidate movement already mid-flight; approach and hatch endpoint are visible, but the movement start is not.","Unknown is explicit closure, not low motion and not a blocker.","Local known 0 vs Gemini unknown; strict start-development-end rule requires unknown.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-a089c0eef91d1213da38","うる星やつら","artRealism","known",1,0.90,"known",1,"known",1,"agreement","https://e-comi.shogakukan.co.jp/books/091207160000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","うる星やつら 〔新装版〕 1; JDCN 091207160000d0000000","entry story; broad edition-stable traits only","pages-6-7.png;pages-14-15.png;pages-22-23.png",6,3,"bridge/river;tag arena;eaves/tag rematch","Elastic bodies, caricature faces and slapstick deformation sit between strong simplification 0 and ordinary stylization 2.","Official new edition; not frozen standard ISBN 9784091204417.","Local and Gemini agree 1.",false,false
"aaf4f4a4845ec105b8218f0f9e8358a2ae95c5823519e68e1752acada6e22529","work-a089c0eef91d1213da38","うる星やつら","artDensity","known",2,0.82,"known",3,"known",1,"correct-both-to-balanced-anchor","https://e-comi.shogakukan.co.jp/books/091207160000d0000000","小学館eコミックストア","official internal preview","undated live product page","2026-08-23","うる星やつら 〔新装版〕 1; JDCN 091207160000d0000000","entry story; broad edition-stable traits only","pages-6-7.png;pages-14-15.png;pages-22-23.png",6,3,"bridge/river;tag arena;eaves/tag rematch","Blank gag backgrounds alternate with stadium crowds, architecture, many panels, SFX and dense speed-line fields; packet average is balanced 2.","Official new edition reproduction caveat.","Local 3 vs Gemini 1; Pass C chooses dictionary anchor 2 from mixed density, not an average vote.",false,false
