id,workId,volumeNumber,isbn,releaseDate,editionKind,isRepresentative,evidenceId
work-0153a125c5a56225b06c-representative,work-0153a125c5a56225b06c,1,9784396767174,,standard,true,ev-rakuten-library-work-0153a125c5a56225b06c
work-0262dcaa820443c3185d-representative,work-0262dcaa820443c3185d,1,9784845800018,1989-03-01,standard,true,ev-rakuten-library-work-0262dcaa820443c3185d
work-07b11ec79f10c7eb7e05-representative,work-07b11ec79f10c7eb7e05,1,9784087824575,2012-07-25,standard,true,ev-rakuten-library-work-07b11ec79f10c7eb7e05
work-07dc759bd91e1cffb2df-representative,work-07dc759bd91e1cffb2df,1,9784253160827,2021-04-16,standard,true,ev-rakuten-library-work-07dc759bd91e1cffb2df
work-07ff2a01ef593ce2f809-representative,work-07ff2a01ef593ce2f809,1,9784088675206,2018-11-22,standard,true,ev-rakuten-library-work-07ff2a01ef593ce2f809
work-081e75d8bbc53ac64713-representative,work-081e75d8bbc53ac64713,1,9784088927671,2023-06-19,standard,true,ev-rakuten-library-work-081e75d8bbc53ac64713
work-0bec5d8d9474a2197312-representative,work-0bec5d8d9474a2197312,1,9784757715226,2003-07-25,standard,true,ev-rakuten-library-work-0bec5d8d9474a2197312
work-112589a161d1596ec97f-representative,work-112589a161d1596ec97f,1,9784098535439,2024-08-17,standard,true,ev-rakuten-library-work-112589a161d1596ec97f
work-11296a590b885cb73b66-representative,work-11296a590b885cb73b66,1,9784063409574,2015-05-13,standard,true,ev-rakuten-library-work-11296a590b885cb73b66
work-14e489bf1afd1587c44a-representative,work-14e489bf1afd1587c44a,1,9784091813411,1987-04-30,standard,true,ev-rakuten-library-work-14e489bf1afd1587c44a
work-192cbecc59e9c028142b-representative,work-192cbecc59e9c028142b,1,9784047381070,2025-01-15,standard,true,ev-rakuten-library-work-192cbecc59e9c028142b
work-1cf7a0bb5f55e0d69b27-representative,work-1cf7a0bb5f55e0d69b27,1,9784091251619,1997-02-18,standard,true,ev-rakuten-library-work-1cf7a0bb5f55e0d69b27
work-1fc61ddbeb429b4a2c15-representative,work-1fc61ddbeb429b4a2c15,1,9784047298804,2002-08-30,standard,true,ev-rakuten-library-work-1fc61ddbeb429b4a2c15
