rakutenMatchId,candidateId,matchStatus,isbn,matchedTitle,editionKind,isRepresentative,sourceUrl,checkedAt,notes
rakuten-match-002459e5f390e41d63a2,candidate-002459e5f390e41d63a2,matched,9784047289109,目玉焼きの黄身いつつぶす？（1）,standard,true,https://books.rakuten.co.jp/rb/12270709/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003023."
rakuten-match-0029e59a039dce3f6e74,candidate-0029e59a039dce3f6e74,matched,9784088916507,【推しの子】 1,standard,true,https://books.rakuten.co.jp/rb/16373626/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003005."
rakuten-match-003f3f37d4def277a23b,candidate-003f3f37d4def277a23b,matched,9784040665566,あの娘にキスと白百合を（1）,standard,true,https://books.rakuten.co.jp/rb/12718261/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-009db86ba32a4a5f3afe,candidate-009db86ba32a4a5f3afe,matched,9784046824646,異世界サムライ　1,standard,true,https://books.rakuten.co.jp/rb/17502344/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-011efc564d47a7ec9cab,candidate-011efc564d47a7ec9cab,matched,9784396765316,うどんの女,standard,true,https://books.rakuten.co.jp/rb/11322188/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001004008."
rakuten-match-01521fffc812e9b304e1,candidate-01521fffc812e9b304e1,matched,9784091261007,錦田警部はどろぼうがお好き 1,standard,true,https://books.rakuten.co.jp/rb/13187563/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003048."
rakuten-match-0153a125c5a56225b06c,candidate-0153a125c5a56225b06c,matched,9784396767174,違国日記（1）,standard,true,https://books.rakuten.co.jp/rb/15182203/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-017446dd1a9039d9839b,candidate-017446dd1a9039d9839b,matched,9784065289280,サンダー3（1）,standard,true,https://books.rakuten.co.jp/rb/17149743/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-019b6c97e23e7cd48e92,candidate-019b6c97e23e7cd48e92,matched,9784088464213,私日和（1）,standard,true,https://books.rakuten.co.jp/rb/6078475/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001002006."
rakuten-match-019c4c86fb259730e7d0,candidate-019c4c86fb259730e7d0,matched,9784098608669,フールナイト（1）,standard,true,https://books.rakuten.co.jp/rb/16623808/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003009."
