sourceItemId,sourceId,sourceRowNumber,rawPublicationClass,rawTitle,rawCreator,rawMainGenre,rawSubgenre,rawRating,rawNotes,rawUpdatedAt
dc-monthly-comics-recommendations-2020-0012,dc-monthly-comics-recommendations-2020,12,0.정발,100일간!,나타 코코네,육아,힐링,A,,2021-01-19
dc-monthly-comics-recommendations-2020-0013,dc-monthly-comics-recommendations-2020,13,0.정발,14살(열 네살),타니구치 지로,드라마,회귀,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0014,dc-monthly-comics-recommendations-2020,14,0.정발,17세의 나레이션,강경옥,순정,,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0015,dc-monthly-comics-recommendations-2020,15,0.정발,1파운드의 복음,다카하시 루미코,러브코미디,스포츠,A,권투,2013-08-23
dc-monthly-comics-recommendations-2020-0016,dc-monthly-comics-recommendations-2020,16,2.비정발,1학년이 되어버린다면 [씹덕/TS/페도/코미디] B+급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0017,dc-monthly-comics-recommendations-2020,17,0.정발,20세기 소년,우라사와 나오키,미스테리,SF,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0018,dc-monthly-comics-recommendations-2020,18,0.정발,2X2,이즈미 유,러브코미디,쌍둥이,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0019,dc-monthly-comics-recommendations-2020,19,0.정발,305호에 어서 오세요,와난,러브코미디,"BL,GL",S,,2013-08-23
dc-monthly-comics-recommendations-2020-0020,dc-monthly-comics-recommendations-2020,20,0.정발,3월의 라이온,우미노 치카,순정,프로의 세계,S+,쇼기,2013-08-23
dc-monthly-comics-recommendations-2020-0021,dc-monthly-comics-recommendations-2020,21,0.정발,3X3 EYES,타카다 유조,드라마틱 판타지,액션,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0022,dc-monthly-comics-recommendations-2020,22,0.정발,4월은 너의 거짓말,아라카와 나오시,드라마,음악,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0023,dc-monthly-comics-recommendations-2020,23,2.비정발,4인 가족 [일상/가족/육아] A급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0024,dc-monthly-comics-recommendations-2020,24,0.정발,4컷용사,고지라군,판타지,액션/코미디,A,,2021-11-28
dc-monthly-comics-recommendations-2020-0025,dc-monthly-comics-recommendations-2020,25,0.정발,5년생,키오 시모쿠,드라마,,A,4년생 단편,2013-08-23
dc-monthly-comics-recommendations-2020-0026,dc-monthly-comics-recommendations-2020,26,2.비정발,7개의 대죄 [소년/능배물] A+급,,,,,,2013-08-23
dc-monthly-comics-recommendations-2020-0027,dc-monthly-comics-recommendations-2020,27,0.정발,7SEEDS(세븐시즈),타무라 유미,순정,포스트 아포칼립스,S,,2013-08-23
dc-monthly-comics-recommendations-2020-0028,dc-monthly-comics-recommendations-2020,28,0.정발,81다이버,시바타 요쿠사루,드라마,"프로의 세계, 드라마틱 판타지",A,쇼기,2013-08-23
dc-monthly-comics-recommendations-2020-0029,dc-monthly-comics-recommendations-2020,29,0.정발,가가 탐정 사무소,칸자키 슘미,추리,코미디,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0030,dc-monthly-comics-recommendations-2020,30,0.정발,가까워지고 싶은 미야젠 양,아키타카,러브코미디,,B,,2021-05-09
dc-monthly-comics-recommendations-2020-0031,dc-monthly-comics-recommendations-2020,31,0.정발,가난뱅이신이!,요시아키 스케노,코믹,비일상,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0032,dc-monthly-comics-recommendations-2020,32,0.정발,가르쳐줘! 갸루코 짱,스즈키 켄야,4컷,학원/코믹,S,,2021-01-18
dc-monthly-comics-recommendations-2020-0033,dc-monthly-comics-recommendations-2020,33,0.정발,가르쳐줘!! 코스 누나,코바시코,코믹,프로의 세계,B,코스프레,2021-03-22
dc-monthly-comics-recommendations-2020-0034,dc-monthly-comics-recommendations-2020,34,0.정발,가면라이더 Spirits,모라에다 켄이치,SF,가상사회,A,,2013-08-23
dc-monthly-comics-recommendations-2020-0035,dc-monthly-comics-recommendations-2020,35,0.정발,가면속의 수수께끼,우에시바 라이치,드라마틱 판타지,,S,"본편,학원편,정령편",2013-08-23
dc-monthly-comics-recommendations-2020-0036,dc-monthly-comics-recommendations-2020,36,0.정발,가면의 메이드가이,아카이 마루보로우,코믹,비일상/메이드,B,,2013-08-23
dc-monthly-comics-recommendations-2020-0037,dc-monthly-comics-recommendations-2020,37,0.정발,가면천사,와카나 쇼헤이,순정,틴에이지 순정,B,,2013-08-23
