workId,candidateId,canonicalTitleJa,creatorsJa,decisionKind,currentIsbn,auditedIsbn,proof,corroboratingIsbn
work-002459e5f390e41d63a2,candidate-002459e5f390e41d63a2,目玉焼きの黄身 いつつぶす?,おおひなた ごう,isbn-replacement,9784047344860,9784047289109,explicit-volume-1,
work-011efc564d47a7ec9cab,candidate-011efc564d47a7ec9cab,うどんの女,えすとえむ,volume-one-correction,9784396765316,9784396765316,unnumbered-first-via-volume-2,9784396768959
work-074fc9c731ab475eaebe,candidate-074fc9c731ab475eaebe,この美術部には問題がある！,いみぎむる,volume-one-correction,9784048916455,9784048916455,attached-volume-1,
work-09c2784da3afe6ab62ce,candidate-09c2784da3afe6ab62ce,片桐くん家に猫がいる,吉川景都,volume-one-correction,9784107715487,9784107715487,unnumbered-first-via-volume-2,9784107715760
work-0b92afe0c01f8d4aae42,candidate-0b92afe0c01f8d4aae42,星旅少年,坂月さかな,volume-one-correction,9784756256492,9784756256492,attached-volume-1,
work-10f4cbd157b818a1f3ce,candidate-10f4cbd157b818a1f3ce,ファミレス行こ。,和山 やま,volume-one-correction,9784047377479,9784047377479,upper-first-part,
work-12b484cd79bfe6852ea1,candidate-12b484cd79bfe6852ea1,高校球児 ザワさん,三島衛里子,isbn-replacement,9784091844231,9784091825377,explicit-volume-1,
work-131ba7a362fa9e38a10a,candidate-131ba7a362fa9e38a10a,超巡！超条先輩,沼 駿,isbn-replacement,9784088845685,9784088841083,explicit-volume-1,
work-15d6508605fbd4a266fc,candidate-15d6508605fbd4a266fc,おまかせ精霊,青本 もあ,volume-one-correction,9784840116626,9784840116626,attached-volume-1,
work-19c2017b33c07f48634e,candidate-19c2017b33c07f48634e,ふうらい姉妹,長崎 ライチ,isbn-replacement,9784047277694,9784047268685,explicit-volume-1,
work-1b7c4ed54d7761cd242b,candidate-1b7c4ed54d7761cd242b,おかめ日和,入江喜和,volume-one-correction,9784063722802,9784063722802,unnumbered-first-via-volume-2,9784063723861
work-1efafafe54ce39bcb83e,candidate-1efafafe54ce39bcb83e,総天然色乙女組,みなづき忍,volume-one-correction,9784840122597,9784840122597,attached-volume-1,
work-1f853c16f6cebca63ffc,candidate-1f853c16f6cebca63ffc,学園ベビーシッターズ,時計野はり,volume-one-correction,9784592191711,9784592191711,unnumbered-first-via-volume-2,9784592191728
work-28102756d9fe31e97bf9,candidate-28102756d9fe31e97bf9,小春と湊 わたしのパートナーは女の子,ひあるろん;達磨,volume-one-correction,9784758025829,9784758025829,unnumbered-first-via-volume-2,9784758027052
work-28663a81f12fb90640d8,candidate-28663a81f12fb90640d8,ヤマノススメ,しろ,isbn-replacement,9784803012781,9784803003437,explicit-volume-1,
work-2a73da617f89ddbe502d,candidate-2a73da617f89ddbe502d,＋チック姉さん,栗井茶,isbn-replacement,9784757532731,9784757532410,explicit-volume-1,
work-2c46bb51f0e0acb08032,candidate-2c46bb51f0e0acb08032,殺し愛,Fe,volume-one-correction,9784040682389,9784040682389,attached-volume-1,
work-2e2e54a255eda38f89c2,candidate-2e2e54a255eda38f89c2,サザンと彗星の少女,赤瀬由里子,volume-one-correction,9784845851829,9784845851829,upper-first-part,
work-3179334d0e99db4a1af7,candidate-3179334d0e99db4a1af7,ヘタリア,日丸屋 秀和,volume-one-correction,9784344812758,9784344812758,unnumbered-first-via-volume-2,9784344815148
work-319e39a597d16251efc9,candidate-319e39a597d16251efc9,乱と灰色の世界,入江 亜季,isbn-replacement,9784047281165,9784047261457,explicit-volume-1,
work-31e7e4b93d21620f1717,candidate-31e7e4b93d21620f1717,嫁姑の拳,函岬誉,volume-one-correction,9784253158633,9784253158633,unnumbered-first-via-volume-2,9784253158657
work-3756cbfd509f5240c688,candidate-3756cbfd509f5240c688,能面女子の花子さん,織田 涼,volume-one-correction,9784063808445,9784063808445,unnumbered-first-via-volume-2,9784063808902
work-418af771ae574eb15a99,candidate-418af771ae574eb15a99,岸辺露伴は動かない,荒木 飛呂彦,volume-one-correction,9784088708720,9784088708720,unnumbered-first-via-volume-2,9784088815572
work-42a7c7ad0497eb458d0f,candidate-42a7c7ad0497eb458d0f,ジパング 深蒼海流,かわぐちかいじ,isbn-replacement,9784063884975,9784063872163,explicit-volume-1,
work-42f14f92911ef04a1ed1,candidate-42f14f92911ef04a1ed1,堀田,山本直樹,volume-one-correction,9784872337853,9784872337853,unnumbered-first-via-volume-2,9784872339772
work-4ab9720731a7bf98632e,candidate-4ab9720731a7bf98632e,修羅の門 第弐門,川原 正敏,isbn-replacement,9784063713121,9784063712766,explicit-volume-1,
work-4b58e9c429e2c2849e76,candidate-4b58e9c429e2c2849e76,スティーブズ,うめ;松永 肇一,isbn-replacement,9784091878052,9784091866981,explicit-volume-1,
work-4bf5f17cb5da0a706064,candidate-4bf5f17cb5da0a706064,あめつちだれかれそこかしこ,青桐ナツ,volume-one-correction,9784800003881,9784800003881,unnumbered-first-via-volume-2,9784800004901
work-4f4175c6c19e963c46b4,candidate-4f4175c6c19e963c46b4,山本善次朗と申します,槙ようこ,isbn-replacement,9784088671482,9784088567433,explicit-volume-1,
work-553a5452dad416fd8800,candidate-553a5452dad416fd8800,中春こまわり君,山上たつひこ,volume-one-correction,9784091824561,9784091824561,unnumbered-first-via-volume-2,9784091832290
work-5546d6a69fb258a943c2,candidate-5546d6a69fb258a943c2,坊主DAYS,杜康潤,volume-one-correction,9784403670862,9784403670862,unnumbered-first-via-volume-2,9784403671067
work-57f00e4a2130d5a0fa70,candidate-57f00e4a2130d5a0fa70,新米姉妹のふたりごはん,柊 ゆたか,volume-one-correction,9784048656535,9784048656535,attached-volume-1,
work-5915d6d7601377fcc75f,candidate-5915d6d7601377fcc75f,赤髪の白雪姫,あきづき空太,isbn-replacement,9784592194460,9784592183730,explicit-volume-1,
work-5b7cf2105a4bc6f6b46c,candidate-5b7cf2105a4bc6f6b46c,クジラの子らは砂上に歌う,梅田阿比,volume-one-correction,9784253261012,9784253261012,unnumbered-first-via-volume-2,9784253261029
work-5d1d25fba80d0044182d,candidate-5d1d25fba80d0044182d,メンヘラちゃん,琴葉とこ,volume-one-correction,9784781608242,9784781608242,upper-first-part,
work-5e20323e014d6d390aaf,candidate-5e20323e014d6d390aaf,あさひなぐ,こざき 亜衣,volume-one-correction,9784091837981,9784091837981,unnumbered-first-via-volume-2,9784091838995
work-5eafe74dcfdc64fbe5f0,candidate-5eafe74dcfdc64fbe5f0,怪獣を解剖する,サイトウ マド,volume-one-correction,9784047384217,9784047384217,upper-first-part,
work-6492acae38103c762359,candidate-6492acae38103c762359,夜明けの図書館,埜納タオ,volume-one-correction,9784575334623,9784575334623,unnumbered-first-via-volume-2,9784575335149
work-64cd212285dac5214c5f,candidate-64cd212285dac5214c5f,帝の至宝,仲野えみこ,isbn-replacement,9784592191247,9784592191216,explicit-volume-1,
work-65a0463696716c6f690c,candidate-65a0463696716c6f690c,家族ゲーム,鈴城芹,isbn-replacement,9784048915380,9784840236577,unnumbered-first-via-volume-2,9784840239530
work-716101e001160197c4f5,candidate-716101e001160197c4f5,吸血鬼ちゃん×後輩ちゃん,嵩乃朔,volume-one-correction,9784048933186,9784048933186,attached-volume-1,
work-723a9fd1a730426c54a2,candidate-723a9fd1a730426c54a2,オハナホロホロ,鳥野しの,volume-one-correction,9784396764845,9784396764845,unnumbered-first-via-volume-2,9784396765132
work-752c8a8fb14b16459c3d,candidate-752c8a8fb14b16459c3d,つるた部長はいつも寝不足,須河篤志,volume-one-correction,9784840133340,9784840133340,attached-volume-1,
work-7568cab93fa9a9a409d1,candidate-7568cab93fa9a9a409d1,ミス・ポピーシードのメルヘン横丁,山本ルンルン,volume-one-correction,9784832265646,9784832265646,unnumbered-first-via-volume-2,9784832266827
work-78ca5a89590ad691bb34,candidate-78ca5a89590ad691bb34,おもいで金平糖,持田 あき,isbn-replacement,9784088674803,9784088670393,explicit-volume-1,
work-7ca6955ae7fb52cbaaae,candidate-7ca6955ae7fb52cbaaae,SCATTER,新井英樹,isbn-replacement,9784047268975,9784047263222,explicit-volume-1,
work-7fd53aa3074613979204,candidate-7fd53aa3074613979204,ビューティフルピープル・パーフェクトワールド,坂井恵理,volume-one-correction,9784091885340,9784091885340,unnumbered-first-via-volume-2,9784091885739
work-80e097bc189aec3797e5,candidate-80e097bc189aec3797e5,映画大好きポンポさん,杉谷 庄吾,volume-one-correction,9784040694535,9784040694535,unnumbered-first-via-volume-2,9784040651507
work-840f12a844b6b1afd2f7,candidate-840f12a844b6b1afd2f7,数学ガール,結城浩;日坂水柯,volume-one-correction,9784840122924,9784840122924,upper-first-part,
work-88a18383d225bfbb8d3c,candidate-88a18383d225bfbb8d3c,きのこいぬ,蒼星きまま,isbn-replacement,9784199506864,9784199502675,unnumbered-first-via-volume-2,9784199502972
work-90510bc26c9ef2851fb5,candidate-90510bc26c9ef2851fb5,ギャル医者あやっぺ,長イキアキヒコ,volume-one-correction,9784801968271,9784801968271,unnumbered-first-via-volume-2,9784801972896
work-9204df77aa0e4c6b1622,candidate-9204df77aa0e4c6b1622,江戸モアゼル,キリエ,volume-one-correction,9784344829442,9784344829442,unnumbered-first-via-volume-2,9784344837010
work-954b6f2a132cd6cdf07b,candidate-954b6f2a132cd6cdf07b,七月の骨,吉田 聡,volume-one-correction,9784091840905,9784091840905,unnumbered-first-via-volume-2,9784091842145
work-974a42056e7a969be948,candidate-974a42056e7a969be948,誰も知らない〜子不語〜,夏達;SUMMER,isbn-replacement,9784088778686,9784088777474,explicit-volume-1,
work-9bd00739b995d84e2494,candidate-9bd00739b995d84e2494,あした死ぬには、,雁 須磨子,volume-one-correction,9784778323011,9784778323011,attached-volume-1,
work-9c99d5d65e8e6a4a8465,candidate-9c99d5d65e8e6a4a8465,少年メイド,乙 橘,volume-one-correction,9784047340015,9784047340015,attached-volume-1,
work-9cfccaa87d8dc193f422,candidate-9cfccaa87d8dc193f422,血界戦線,内藤泰弘,isbn-replacement,9784088701097,9784088747231,explicit-volume-1,
work-9ee686214ab1d0d4c8fc,candidate-9ee686214ab1d0d4c8fc,まったく最近の探偵ときたら,五十嵐 正邦,volume-one-correction,9784048922531,9784048922531,attached-volume-1,
work-a31925593fef2aaca2e2,candidate-a31925593fef2aaca2e2,深夜のダメ恋図鑑,尾崎衣良,volume-one-correction,9784091373427,9784091373427,unnumbered-first-via-volume-2,9784091385468
work-ab51f5d655622c574dce,candidate-ab51f5d655622c574dce,熱帯魚は雪に焦がれる,萩埜 まこと,volume-one-correction,9784048934701,9784048934701,attached-volume-1,
work-abec8267e69f1b6e819e,candidate-abec8267e69f1b6e819e,はじまりのにいな,水森暦,volume-one-correction,9784592185475,9784592185475,unnumbered-first-via-volume-2,9784592194217
work-afae32577b86c1197811,candidate-afae32577b86c1197811,迷宮ブラックカンパニー,安村洋平,isbn-replacement,9784800007360,9784800006837,explicit-volume-1,
work-ba9a377f97f53eb2a746,candidate-ba9a377f97f53eb2a746,はちみつの花,木内たつや,volume-one-correction,9784592188476,9784592188476,unnumbered-first-via-volume-2,9784592188667
work-bc7561b3680492d55be9,candidate-bc7561b3680492d55be9,あそびあそばせ,涼川りん,volume-one-correction,9784592141792,9784592141792,unnumbered-first-via-volume-2,9784592141808
work-ce6a8fb8a086bcaa5737,candidate-ce6a8fb8a086bcaa5737,ホタルノヒカリ,ひうら さとる,isbn-replacement,9784063406559,9784063405293,explicit-volume-1,
work-d00935b9f2ba0897925d,candidate-d00935b9f2ba0897925d,サムライカアサン,板羽皆,volume-one-correction,9784088653440,9784088653440,unnumbered-first-via-volume-2,9784088653792
work-d185fc02c4d16dffb0c3,candidate-d185fc02c4d16dffb0c3,カラスヤサトシ,カラスヤ サトシ,volume-one-correction,9784063144253,9784063144253,unnumbered-first-via-volume-2,9784063144499
work-d532eab2aba5cb4a898f,candidate-d532eab2aba5cb4a898f,バーナード嬢曰く。,施川ユウキ,volume-one-correction,9784758063715,9784758063715,unnumbered-first-via-volume-2,9784758065290
