sourceItemId,sourceId,status,candidateId,workId,decisionRef
dc-monthly-comics-recommendations-2020-0012,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0013,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0014,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0015,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0016,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0017,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0018,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0019,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0020,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0021,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0022,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0023,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0024,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0025,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0026,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0027,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0028,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0029,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0030,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0031,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0032,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0033,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0034,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0035,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0036,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0037,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0038,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0039,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0040,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0041,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0042,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0043,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0044,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0045,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0046,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0047,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0048,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0049,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0050,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0051,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0052,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0053,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0054,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0055,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0056,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0057,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0058,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0059,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0060,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0061,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0062,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0063,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0064,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0065,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0066,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0067,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0068,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0069,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0070,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0071,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0072,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0073,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0074,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0075,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0076,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0077,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0078,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0079,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0080,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0081,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0082,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0083,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0084,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0085,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0086,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0087,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0088,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0089,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0090,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0091,dc-monthly-comics-recommendations-2020,unresolved,,,
dc-monthly-comics-recommendations-2020-0092,dc-monthly-comics-recommendations-2020,unresolved,,,
