workId,axisId,state,value,confidence,evidenceId
jojo-bizarre-adventure,progression,known,2,0.84,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,problemSolving,known,2,0.80,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,strategy,known,2,0.76,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,pacing,known,4,0.93,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,mysteryReveal,known,4,0.92,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,worldBuilding,known,2,0.88,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,characterArcWeight,known,4,0.92,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,relationshipStructure,known,2,0.88,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,comedy,known,2,0.76,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,darkness,known,4,0.96,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,mentalStress,known,3,0.86,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,romance,known,2,0.72,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,emotionalWarmth,known,2,0.82,ev-g1-adjudicated-jojo-bizarre-adventure
berserk,progression,unknown,,,ev-g1-adjudicated-berserk
berserk,problemSolving,known,0,0.86,ev-g1-adjudicated-berserk
berserk,strategy,known,0,0.82,ev-g1-adjudicated-berserk
berserk,pacing,known,4,0.90,ev-g1-adjudicated-berserk
berserk,mysteryReveal,known,4,0.91,ev-g1-adjudicated-berserk
berserk,worldBuilding,known,4,0.91,ev-g1-adjudicated-berserk
berserk,characterArcWeight,known,3,0.86,ev-g1-adjudicated-berserk
berserk,relationshipStructure,known,1,0.90,ev-g1-adjudicated-berserk
berserk,comedy,known,2,0.80,ev-g1-adjudicated-berserk
berserk,darkness,known,4,0.99,ev-g1-adjudicated-berserk
berserk,mentalStress,known,3,0.88,ev-g1-adjudicated-berserk
berserk,romance,unknown,,,ev-g1-adjudicated-berserk
berserk,emotionalWarmth,known,1,0.78,ev-g1-adjudicated-berserk
dr-stone,progression,known,4,0.98,ev-g1-adjudicated-dr-stone
dr-stone,problemSolving,known,4,0.98,ev-g1-adjudicated-dr-stone
dr-stone,strategy,known,2,0.90,ev-g1-adjudicated-dr-stone
dr-stone,pacing,known,4,0.95,ev-g1-adjudicated-dr-stone
dr-stone,mysteryReveal,known,2,0.88,ev-g1-adjudicated-dr-stone
dr-stone,worldBuilding,known,4,0.96,ev-g1-adjudicated-dr-stone
dr-stone,characterArcWeight,known,2,0.86,ev-g1-adjudicated-dr-stone
dr-stone,relationshipStructure,known,2,0.90,ev-g1-adjudicated-dr-stone
dr-stone,comedy,known,4,0.92,ev-g1-adjudicated-dr-stone
dr-stone,darkness,known,2,0.88,ev-g1-adjudicated-dr-stone
dr-stone,mentalStress,known,2,0.84,ev-g1-adjudicated-dr-stone
dr-stone,romance,known,2,0.91,ev-g1-adjudicated-dr-stone
dr-stone,emotionalWarmth,known,4,0.93,ev-g1-adjudicated-dr-stone
20th-century-boys,progression,unknown,,,ev-g1-adjudicated-20th-century-boys
20th-century-boys,problemSolving,known,3,0.92,ev-g1-adjudicated-20th-century-boys
20th-century-boys,strategy,known,2,0.85,ev-g1-adjudicated-20th-century-boys
20th-century-boys,pacing,known,4,0.96,ev-g1-adjudicated-20th-century-boys
20th-century-boys,mysteryReveal,known,4,0.99,ev-g1-adjudicated-20th-century-boys
20th-century-boys,worldBuilding,known,2,0.86,ev-g1-adjudicated-20th-century-boys
20th-century-boys,characterArcWeight,known,3,0.90,ev-g1-adjudicated-20th-century-boys
20th-century-boys,relationshipStructure,known,3,0.92,ev-g1-adjudicated-20th-century-boys
20th-century-boys,comedy,unknown,,,ev-g1-adjudicated-20th-century-boys
20th-century-boys,darkness,known,4,0.97,ev-g1-adjudicated-20th-century-boys
20th-century-boys,mentalStress,known,3,0.92,ev-g1-adjudicated-20th-century-boys
20th-century-boys,romance,known,1,0.68,ev-g1-adjudicated-20th-century-boys
20th-century-boys,emotionalWarmth,known,2,0.85,ev-g1-adjudicated-20th-century-boys
