workId,themeId,centrality,confidence,evidenceId
jojo-bizarre-adventure,adventure,2,0.84,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,combat,2,0.96,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,martialArts,2,0.90,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,revenge,2,0.86,ev-g1-adjudicated-jojo-bizarre-adventure
jojo-bizarre-adventure,historicalReconstruction,1,0.72,ev-g1-adjudicated-jojo-bizarre-adventure
berserk,adventure,1,0.80,ev-g1-adjudicated-berserk
berserk,combat,2,0.98,ev-g1-adjudicated-berserk
berserk,revenge,2,0.91,ev-g1-adjudicated-berserk
dr-stone,adventure,2,0.95,ev-g1-adjudicated-dr-stone
dr-stone,survival,2,0.97,ev-g1-adjudicated-dr-stone
dr-stone,crafting,2,0.98,ev-g1-adjudicated-dr-stone
dr-stone,postApocalypse,2,0.98,ev-g1-adjudicated-dr-stone
dr-stone,exploration,1,0.84,ev-g1-adjudicated-dr-stone
20th-century-boys,investigation,2,0.97,ev-g1-adjudicated-20th-century-boys
20th-century-boys,school,1,0.87,ev-g1-adjudicated-20th-century-boys
20th-century-boys,workplace,1,0.82,ev-g1-adjudicated-20th-century-boys
dungeon-meshi,adventure,2,0.98,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,combat,2,0.95,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,survival,2,0.98,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,investigation,1,0.88,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,dungeon,2,0.99,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,cooking,2,0.99,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,school,1,0.91,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,exploration,2,0.97,ev-g1-adjudicated-dungeon-meshi
kingdom,adventure,2,0.95,ev-g1-adjudicated-kingdom
kingdom,combat,2,0.98,ev-g1-adjudicated-kingdom
kingdom,martialArts,1,0.89,ev-g1-adjudicated-kingdom
kingdom,war,2,0.99,ev-g1-adjudicated-kingdom
kingdom,politics,2,0.98,ev-g1-adjudicated-kingdom
kingdom,revenge,1,0.84,ev-g1-adjudicated-kingdom
kingdom,historicalReconstruction,2,0.99,ev-g1-adjudicated-kingdom
bocchi-the-rock,tournament,1,0.86,ev-g1-adjudicated-bocchi-the-rock
bocchi-the-rock,school,1,0.85,ev-g1-adjudicated-bocchi-the-rock
bocchi-the-rock,workplace,1,0.82,ev-g1-adjudicated-bocchi-the-rock
bocchi-the-rock,foundFamily,2,0.94,ev-g1-adjudicated-bocchi-the-rock
monster,investigation,2,0.98,ev-g1-adjudicated-monster
monster,workplace,1,0.88,ev-g1-adjudicated-monster
monster,historicalReconstruction,1,0.80,ev-g1-adjudicated-monster
blue-lock,survival,2,0.98,ev-g1-adjudicated-blue-lock
blue-lock,tournament,2,0.97,ev-g1-adjudicated-blue-lock
blue-lock,sportsCompetition,2,0.99,ev-g1-adjudicated-blue-lock
