workId,axisId,state,value,confidence,evidenceId
jojo-bizarre-adventure,progression,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,problemSolving,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,strategy,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,pacing,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,mysteryReveal,known,2,0.8,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,worldBuilding,known,2,0.8,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,characterArcWeight,known,2,0.8,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,relationshipStructure,known,2,0.8,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,comedy,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,darkness,known,2,0.8,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,mentalStress,known,2,0.8,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,romance,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,emotionalWarmth,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,artRealism,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,artDensity,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,visualSoftness,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,motionImpact,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
berserk,progression,unknown,,,blind-retag-g1-v1-berserk
berserk,problemSolving,unknown,,,blind-retag-g1-v1-berserk
berserk,strategy,unknown,,,blind-retag-g1-v1-berserk
berserk,pacing,unknown,,,blind-retag-g1-v1-berserk
berserk,mysteryReveal,unknown,,,blind-retag-g1-v1-berserk
berserk,worldBuilding,known,2,0.8,blind-retag-g1-v1-berserk
berserk,characterArcWeight,known,2,0.8,blind-retag-g1-v1-berserk
berserk,relationshipStructure,known,0,0.8,blind-retag-g1-v1-berserk
berserk,comedy,unknown,,,blind-retag-g1-v1-berserk
berserk,darkness,known,4,1.0,blind-retag-g1-v1-berserk
berserk,mentalStress,known,3,0.9,blind-retag-g1-v1-berserk
berserk,romance,unknown,,,blind-retag-g1-v1-berserk
berserk,emotionalWarmth,unknown,,,blind-retag-g1-v1-berserk
berserk,artRealism,unknown,,,blind-retag-g1-v1-berserk
berserk,artDensity,unknown,,,blind-retag-g1-v1-berserk
berserk,visualSoftness,unknown,,,blind-retag-g1-v1-berserk
berserk,motionImpact,unknown,,,blind-retag-g1-v1-berserk
dr-stone,progression,known,4,1.0,blind-retag-g1-v1-dr-stone
dr-stone,problemSolving,known,4,1.0,blind-retag-g1-v1-dr-stone
dr-stone,strategy,known,2,0.8,blind-retag-g1-v1-dr-stone
dr-stone,pacing,known,2,0.8,blind-retag-g1-v1-dr-stone
dr-stone,mysteryReveal,known,2,0.8,blind-retag-g1-v1-dr-stone
dr-stone,worldBuilding,known,4,1.0,blind-retag-g1-v1-dr-stone
dr-stone,characterArcWeight,known,2,0.8,blind-retag-g1-v1-dr-stone
dr-stone,relationshipStructure,known,2,0.8,blind-retag-g1-v1-dr-stone
dr-stone,comedy,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,darkness,known,1,0.8,blind-retag-g1-v1-dr-stone
dr-stone,mentalStress,known,1,0.8,blind-retag-g1-v1-dr-stone
dr-stone,romance,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,emotionalWarmth,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,artRealism,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,artDensity,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,visualSoftness,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,motionImpact,unknown,,,blind-retag-g1-v1-dr-stone
20th-century-boys,progression,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,problemSolving,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,strategy,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,pacing,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,mysteryReveal,known,4,1.0,blind-retag-g1-v1-20th-century-boys
20th-century-boys,worldBuilding,known,2,0.8,blind-retag-g1-v1-20th-century-boys
20th-century-boys,characterArcWeight,known,2,0.8,blind-retag-g1-v1-20th-century-boys
20th-century-boys,relationshipStructure,known,3,0.9,blind-retag-g1-v1-20th-century-boys
20th-century-boys,comedy,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,darkness,known,2,0.8,blind-retag-g1-v1-20th-century-boys
20th-century-boys,mentalStress,known,2,0.8,blind-retag-g1-v1-20th-century-boys
20th-century-boys,romance,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,emotionalWarmth,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,artRealism,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,artDensity,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,visualSoftness,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,motionImpact,unknown,,,blind-retag-g1-v1-20th-century-boys
dungeon-meshi,progression,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,problemSolving,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,strategy,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,pacing,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,mysteryReveal,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,worldBuilding,known,2,0.8,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,characterArcWeight,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,relationshipStructure,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,comedy,known,2,0.8,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,darkness,known,0,0.8,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,mentalStress,known,0,0.8,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,romance,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,emotionalWarmth,unknown,,,blind-retag-g1-v1-dungeon-meshi
