workId,themeId,centrality,confidence,evidenceId
jojo-bizarre-adventure,historicalReconstruction,1,0.8,blind-retag-g1-v1-jojo-bizarre-adventure
berserk,combat,2,1.0,blind-retag-g1-v1-berserk
dr-stone,adventure,2,1.0,blind-retag-g1-v1-dr-stone
dr-stone,survival,2,1.0,blind-retag-g1-v1-dr-stone
dr-stone,crafting,2,1.0,blind-retag-g1-v1-dr-stone
dr-stone,postApocalypse,2,1.0,blind-retag-g1-v1-dr-stone
20th-century-boys,investigation,2,1.0,blind-retag-g1-v1-20th-century-boys
20th-century-boys,foundFamily,1,0.8,blind-retag-g1-v1-20th-century-boys
dungeon-meshi,dungeon,2,1.0,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,cooking,2,1.0,blind-retag-g1-v1-dungeon-meshi
kingdom,war,2,1.0,blind-retag-g1-v1-kingdom
kingdom,historicalReconstruction,2,1.0,blind-retag-g1-v1-kingdom
monster,investigation,2,1.0,blind-retag-g1-v1-monster
monster,workplace,1,0.8,blind-retag-g1-v1-monster
blue-lock,survival,2,1.0,blind-retag-g1-v1-blue-lock
blue-lock,school,1,0.8,blind-retag-g1-v1-blue-lock
blue-lock,sportsCompetition,2,1.0,blind-retag-g1-v1-blue-lock
