workId,axisId,state,value,confidence,evidenceId
jojo-bizarre-adventure,progression,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,problemSolving,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,strategy,known,2,0.55,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,pacing,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,mysteryReveal,known,3,0.72,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,worldBuilding,known,2,0.62,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,characterArcWeight,known,2,0.58,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,relationshipStructure,known,2,0.60,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,comedy,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,darkness,known,2,0.68,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,mentalStress,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,romance,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,emotionalWarmth,known,0,0.55,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,artRealism,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,artDensity,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,visualSoftness,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
jojo-bizarre-adventure,motionImpact,unknown,,,blind-retag-g1-v1-jojo-bizarre-adventure
berserk,progression,unknown,,,blind-retag-g1-v1-berserk
berserk,problemSolving,unknown,,,blind-retag-g1-v1-berserk
berserk,strategy,unknown,,,blind-retag-g1-v1-berserk
berserk,pacing,unknown,,,blind-retag-g1-v1-berserk
berserk,mysteryReveal,unknown,,,blind-retag-g1-v1-berserk
berserk,worldBuilding,unknown,,,blind-retag-g1-v1-berserk
berserk,characterArcWeight,unknown,,,blind-retag-g1-v1-berserk
berserk,relationshipStructure,known,0,0.62,blind-retag-g1-v1-berserk
berserk,comedy,known,0,0.60,blind-retag-g1-v1-berserk
berserk,darkness,known,4,0.88,blind-retag-g1-v1-berserk
berserk,mentalStress,known,2,0.50,blind-retag-g1-v1-berserk
berserk,romance,known,0,0.58,blind-retag-g1-v1-berserk
berserk,emotionalWarmth,known,0,0.72,blind-retag-g1-v1-berserk
berserk,artRealism,unknown,,,blind-retag-g1-v1-berserk
berserk,artDensity,unknown,,,blind-retag-g1-v1-berserk
berserk,visualSoftness,unknown,,,blind-retag-g1-v1-berserk
berserk,motionImpact,unknown,,,blind-retag-g1-v1-berserk
dr-stone,progression,known,4,0.86,blind-retag-g1-v1-dr-stone
dr-stone,problemSolving,known,4,0.82,blind-retag-g1-v1-dr-stone
dr-stone,strategy,known,3,0.70,blind-retag-g1-v1-dr-stone
dr-stone,pacing,known,2,0.55,blind-retag-g1-v1-dr-stone
dr-stone,mysteryReveal,known,2,0.70,blind-retag-g1-v1-dr-stone
dr-stone,worldBuilding,known,3,0.78,blind-retag-g1-v1-dr-stone
dr-stone,characterArcWeight,known,2,0.60,blind-retag-g1-v1-dr-stone
dr-stone,relationshipStructure,known,2,0.68,blind-retag-g1-v1-dr-stone
dr-stone,comedy,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,darkness,known,2,0.65,blind-retag-g1-v1-dr-stone
dr-stone,mentalStress,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,romance,known,0,0.50,blind-retag-g1-v1-dr-stone
dr-stone,emotionalWarmth,known,2,0.58,blind-retag-g1-v1-dr-stone
dr-stone,artRealism,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,artDensity,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,visualSoftness,unknown,,,blind-retag-g1-v1-dr-stone
dr-stone,motionImpact,unknown,,,blind-retag-g1-v1-dr-stone
20th-century-boys,progression,known,0,0.55,blind-retag-g1-v1-20th-century-boys
20th-century-boys,problemSolving,known,2,0.62,blind-retag-g1-v1-20th-century-boys
20th-century-boys,strategy,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,pacing,known,2,0.58,blind-retag-g1-v1-20th-century-boys
20th-century-boys,mysteryReveal,known,4,0.90,blind-retag-g1-v1-20th-century-boys
20th-century-boys,worldBuilding,known,2,0.60,blind-retag-g1-v1-20th-century-boys
20th-century-boys,characterArcWeight,known,2,0.62,blind-retag-g1-v1-20th-century-boys
20th-century-boys,relationshipStructure,known,3,0.75,blind-retag-g1-v1-20th-century-boys
20th-century-boys,comedy,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,darkness,known,2,0.70,blind-retag-g1-v1-20th-century-boys
20th-century-boys,mentalStress,known,2,0.60,blind-retag-g1-v1-20th-century-boys
20th-century-boys,romance,known,0,0.50,blind-retag-g1-v1-20th-century-boys
20th-century-boys,emotionalWarmth,known,2,0.65,blind-retag-g1-v1-20th-century-boys
20th-century-boys,artRealism,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,artDensity,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,visualSoftness,unknown,,,blind-retag-g1-v1-20th-century-boys
20th-century-boys,motionImpact,unknown,,,blind-retag-g1-v1-20th-century-boys
dungeon-meshi,progression,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,problemSolving,known,2,0.50,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,strategy,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,pacing,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,mysteryReveal,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,worldBuilding,known,2,0.55,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,characterArcWeight,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,relationshipStructure,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,comedy,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,darkness,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,mentalStress,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,romance,unknown,,,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,emotionalWarmth,unknown,,,blind-retag-g1-v1-dungeon-meshi
