workId,themeId,centrality,confidence,evidenceId
berserk,combat,2,0.80,blind-retag-g1-v1-berserk
dr-stone,adventure,2,0.88,blind-retag-g1-v1-dr-stone
dr-stone,survival,2,0.90,blind-retag-g1-v1-dr-stone
dr-stone,crafting,2,0.82,blind-retag-g1-v1-dr-stone
dr-stone,postApocalypse,2,0.92,blind-retag-g1-v1-dr-stone
dr-stone,exploration,1,0.55,blind-retag-g1-v1-dr-stone
20th-century-boys,investigation,2,0.88,blind-retag-g1-v1-20th-century-boys
20th-century-boys,school,1,0.55,blind-retag-g1-v1-20th-century-boys
20th-century-boys,workplace,1,0.50,blind-retag-g1-v1-20th-century-boys
20th-century-boys,foundFamily,1,0.70,blind-retag-g1-v1-20th-century-boys
dungeon-meshi,adventure,1,0.55,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,dungeon,2,0.85,blind-retag-g1-v1-dungeon-meshi
dungeon-meshi,cooking,2,0.88,blind-retag-g1-v1-dungeon-meshi
kingdom,adventure,1,0.60,blind-retag-g1-v1-kingdom
kingdom,combat,2,0.78,blind-retag-g1-v1-kingdom
kingdom,war,2,0.90,blind-retag-g1-v1-kingdom
kingdom,historicalReconstruction,2,0.85,blind-retag-g1-v1-kingdom
monster,investigation,2,0.90,blind-retag-g1-v1-monster
monster,revenge,1,0.70,blind-retag-g1-v1-monster
monster,workplace,1,0.65,blind-retag-g1-v1-monster
blue-lock,tournament,2,0.85,blind-retag-g1-v1-blue-lock
blue-lock,school,1,0.70,blind-retag-g1-v1-blue-lock
blue-lock,sportsCompetition,2,0.95,blind-retag-g1-v1-blue-lock
