id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-g1-art-dungeon-meshi,dungeon-meshi,work,dungeon-meshi,publisher,https://comic-walker.com/detail/KC_000393_S/episodes/KC_0003930000100011_E?episodeType=first,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-kingdom,kingdom,work,kingdom,publisher,https://tonarinoyj.jp/episode/13932016480028986503,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-fullmetal-alchemist,fullmetal-alchemist,work,fullmetal-alchemist,publisher,https://magazine.jp.square-enix.com/gangan/tcym/hagaren_01/index.html,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-death-note,death-note,work,death-note,publisher,https://shonenjumpplus.com/episode/10833519556325021815,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-spy-family,spy-family,work,spy-family,publisher,https://shonenjumpplus.com/episode/10834108156648240735,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-frieren,frieren,work,frieren,publisher,https://e-comi.shogakukan.co.jp/viewer/speedreader?cid=098501800000d0000000&u0=1,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-chainsaw-man,chainsaw-man,work,chainsaw-man,publisher,https://shonenjumpplus.com/episode/10834108156650024834,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-blue-lock,blue-lock,work,blue-lock,publisher,https://pocket.shonenmagazine.com/title/00617/episode/213491,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-monster,monster,work,monster,publisher,https://e-comi.shogakukan.co.jp/viewer/speedreader?cid=091836510000d0000000&u0=1,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-yotsuba-to,yotsuba-to,work,yotsuba-to,publisher,https://comic-walker.com/detail/KC_003331_S/episodes/KC_0033310000100011_E?episodeType=first,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-blame,blame,work,blame,publisher,https://comic-days.com/episode/13932016480029861973,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-one-piece,one-piece,work,one-piece,publisher,https://shonenjumpplus.com/episode/10833519556325021794,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-naruto,naruto,work,naruto,publisher,https://shonenjumpplus.com/episode/10833519556325021854,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-dragon-ball,dragon-ball,work,dragon-ball,publisher,https://shonenjumpplus.com/episode/10833519556325021841,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-attack-on-titan,attack-on-titan,work,attack-on-titan,publisher,https://comic-days.com/episode/10834108156636966525,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-demon-slayer,demon-slayer,work,demon-slayer,publisher,https://shonenjumpplus.com/episode/13932016480029012543,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-jujutsu-kaisen,jujutsu-kaisen,work,jujutsu-kaisen,publisher,https://shonenjumpplus.com/episode/10834108156650001170,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-my-hero-academia,my-hero-academia,work,my-hero-academia,publisher,https://shonenjumpplus.com/episode/10833519556325021790,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-hunter-x-hunter,hunter-x-hunter,work,hunter-x-hunter,publisher,https://shonenjumpplus.com/episode/10833519556325021810,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-jojo-bizarre-adventure,jojo-bizarre-adventure,work,jojo-bizarre-adventure,publisher,https://shonenjumpplus.com/episode/3269632237245268586,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-berserk,berserk,work,berserk,publisher,https://www.hakusensha-e.net/hakusensha_otameshi?jdcn=59213574berserk00111,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-vinland-saga,vinland-saga,work,vinland-saga,publisher,https://www.kodansha.co.jp/comic/products/0000029270/trial,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-vagabond,vagabond,work,vagabond,publisher,https://www.viz.com/manga-books/manga/vagabond-definitive-edition-volume-1-0/product/8139,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.94,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-vagabond-motion,vagabond,work,vagabond,publisher,https://www.youtube.com/watch?v=kZhw6gclUhw,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official licensed-publisher trailer used only to document why motionImpact remains unknown; the bounded observation and limitation are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-golden-kamuy,golden-kamuy,work,golden-kamuy,publisher,https://tonarinoyj.jp/episode/13932016480028986525,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-made-in-abyss,made-in-abyss,work,made-in-abyss,publisher,https://takecomic.jp/episodes/74f33031e13cd,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-land-of-the-lustrous,land-of-the-lustrous,work,land-of-the-lustrous,publisher,https://comic-days.com/episode/13932016480029605220,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-mushishi,mushishi,work,mushishi,publisher,https://www.kodansha.co.jp/comic/products/0000030168/trial/reader?cid=03efd3f390f00457001346f87da9dcd54ec13ac3c0d730514b636b76e6c3b093,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-dr-stone,dr-stone,work,dr-stone,publisher,https://www.s-manga.net/reader/main.php?cid=9784088811840,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-promised-neverland,promised-neverland,work,promised-neverland,publisher,https://www.s-manga.net/reader/main.php?cid=9784088808727,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-erased,erased,work,erased,publisher,https://comic-walker.com/detail/KC_003491_S/episodes/KC_0034910000100012_E?episodeType=comics,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-20th-century-boys,20th-century-boys,work,20th-century-boys,publisher,https://e-comi.shogakukan.co.jp/viewer/speedreader?cid=091855310000d0000000&u0=1,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-pluto,pluto,work,pluto,publisher,https://e-comi.shogakukan.co.jp/viewer/speedreader?cid=091874310000d0000000&u0=1,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-ghost-in-the-shell,ghost-in-the-shell,work,ghost-in-the-shell,publisher,https://www.kodansha.co.jp/comic/products/0000006425/trial,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-akira,akira,work,akira,publisher,https://www.darkhorse.com/books/40-180/akira-volume-1-tpb/,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.96,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-witch-hat-atelier,witch-hat-atelier,work,witch-hat-atelier,publisher,https://www.kodansha.co.jp/comic/products/0000018887/trial,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
ev-g1-art-mob-psycho-100,mob-psycho-100,work,mob-psycho-100,publisher,https://e-comi.shogakukan.co.jp/viewer/speedreader?cid=091241020000d0000000&u0=1,2026-08-11T11:30:00+09:00,g1-art-authority-v2,false,0.90,"Official Art audit source; exact page references, authority class, edition mapping, observations, and limitations are in data/staging/g1/art-evidence-manifest.csv"
