workId,axisId,state,value,confidence,evidenceId
dungeon-meshi,artRealism,known,2,0.88,ev-g1-art-dungeon-meshi
dungeon-meshi,artDensity,known,3,0.89,ev-g1-art-dungeon-meshi
dungeon-meshi,visualSoftness,known,2,0.84,ev-g1-art-dungeon-meshi
dungeon-meshi,motionImpact,known,3,0.86,ev-g1-art-dungeon-meshi
kingdom,artRealism,known,4,0.92,ev-g1-art-kingdom
kingdom,artDensity,known,4,0.94,ev-g1-art-kingdom
kingdom,visualSoftness,known,0,0.91,ev-g1-art-kingdom
kingdom,motionImpact,unknown,,,ev-g1-art-kingdom
fullmetal-alchemist,artRealism,known,2,0.90,ev-g1-art-fullmetal-alchemist
fullmetal-alchemist,artDensity,known,2,0.89,ev-g1-art-fullmetal-alchemist
fullmetal-alchemist,visualSoftness,known,1,0.86,ev-g1-art-fullmetal-alchemist
fullmetal-alchemist,motionImpact,known,4,0.94,ev-g1-art-fullmetal-alchemist
death-note,artRealism,known,4,0.95,ev-g1-art-death-note
death-note,artDensity,known,3,0.88,ev-g1-art-death-note
death-note,visualSoftness,known,1,0.87,ev-g1-art-death-note
death-note,motionImpact,unknown,,,ev-g1-art-death-note
spy-family,artRealism,known,2,0.88,ev-g1-art-spy-family
spy-family,artDensity,known,2,0.88,ev-g1-art-spy-family
spy-family,visualSoftness,known,3,0.87,ev-g1-art-spy-family
spy-family,motionImpact,unknown,,,ev-g1-art-spy-family
frieren,artRealism,known,2,0.91,ev-g1-art-frieren
frieren,artDensity,known,2,0.89,ev-g1-art-frieren
frieren,visualSoftness,known,3,0.92,ev-g1-art-frieren
frieren,motionImpact,unknown,,,ev-g1-art-frieren
chainsaw-man,artRealism,known,2,0.91,ev-g1-art-chainsaw-man
chainsaw-man,artDensity,known,2,0.91,ev-g1-art-chainsaw-man
chainsaw-man,visualSoftness,known,0,0.98,ev-g1-art-chainsaw-man
chainsaw-man,motionImpact,known,4,0.99,ev-g1-art-chainsaw-man
blue-lock,artRealism,known,3,0.94,ev-g1-art-blue-lock
blue-lock,artDensity,known,3,0.96,ev-g1-art-blue-lock
blue-lock,visualSoftness,known,0,0.98,ev-g1-art-blue-lock
blue-lock,motionImpact,known,4,0.99,ev-g1-art-blue-lock
monster,artRealism,known,4,0.99,ev-g1-art-monster
monster,artDensity,known,3,0.97,ev-g1-art-monster
monster,visualSoftness,known,1,0.95,ev-g1-art-monster
monster,motionImpact,unknown,,,ev-g1-art-monster
yotsuba-to,artRealism,known,3,0.97,ev-g1-art-yotsuba-to
yotsuba-to,artDensity,known,2,0.95,ev-g1-art-yotsuba-to
yotsuba-to,visualSoftness,known,3,0.98,ev-g1-art-yotsuba-to
yotsuba-to,motionImpact,known,2,0.92,ev-g1-art-yotsuba-to
blame,artRealism,known,3,0.91,ev-g1-art-blame
blame,artDensity,known,4,0.99,ev-g1-art-blame
blame,visualSoftness,known,0,0.97,ev-g1-art-blame
blame,motionImpact,known,4,0.96,ev-g1-art-blame
one-piece,artRealism,known,0,0.86,ev-g1-art-one-piece
one-piece,artDensity,known,2,0.80,ev-g1-art-one-piece
one-piece,visualSoftness,known,0,0.82,ev-g1-art-one-piece
one-piece,motionImpact,unknown,,,ev-g1-art-one-piece
naruto,artRealism,known,2,0.84,ev-g1-art-naruto
naruto,artDensity,known,2,0.82,ev-g1-art-naruto
naruto,visualSoftness,known,2,0.80,ev-g1-art-naruto
naruto,motionImpact,unknown,,,ev-g1-art-naruto
dragon-ball,artRealism,known,0,0.90,ev-g1-art-dragon-ball
dragon-ball,artDensity,known,2,0.84,ev-g1-art-dragon-ball
dragon-ball,visualSoftness,known,2,0.84,ev-g1-art-dragon-ball
dragon-ball,motionImpact,unknown,,,ev-g1-art-dragon-ball
attack-on-titan,artRealism,known,2,0.80,ev-g1-art-attack-on-titan
attack-on-titan,artDensity,known,2,0.78,ev-g1-art-attack-on-titan
attack-on-titan,visualSoftness,known,0,0.90,ev-g1-art-attack-on-titan
attack-on-titan,motionImpact,unknown,,,ev-g1-art-attack-on-titan
demon-slayer,artRealism,known,2,0.82,ev-g1-art-demon-slayer
demon-slayer,artDensity,known,2,0.80,ev-g1-art-demon-slayer
demon-slayer,visualSoftness,known,2,0.82,ev-g1-art-demon-slayer
demon-slayer,motionImpact,unknown,,,ev-g1-art-demon-slayer
jujutsu-kaisen,artRealism,known,2,0.84,ev-g1-art-jujutsu-kaisen
jujutsu-kaisen,artDensity,known,2,0.82,ev-g1-art-jujutsu-kaisen
jujutsu-kaisen,visualSoftness,known,0,0.88,ev-g1-art-jujutsu-kaisen
jujutsu-kaisen,motionImpact,unknown,,,ev-g1-art-jujutsu-kaisen
my-hero-academia,artRealism,known,1,0.90,ev-g1-art-my-hero-academia
my-hero-academia,artDensity,known,3,0.86,ev-g1-art-my-hero-academia
my-hero-academia,visualSoftness,known,1,0.87,ev-g1-art-my-hero-academia
my-hero-academia,motionImpact,known,4,0.94,ev-g1-art-my-hero-academia
hunter-x-hunter,artRealism,known,2,0.82,ev-g1-art-hunter-x-hunter
hunter-x-hunter,artDensity,known,2,0.82,ev-g1-art-hunter-x-hunter
hunter-x-hunter,visualSoftness,known,2,0.82,ev-g1-art-hunter-x-hunter
hunter-x-hunter,motionImpact,unknown,,,ev-g1-art-hunter-x-hunter
jojo-bizarre-adventure,artRealism,known,4,0.90,ev-g1-art-jojo-bizarre-adventure
jojo-bizarre-adventure,artDensity,known,4,0.88,ev-g1-art-jojo-bizarre-adventure
jojo-bizarre-adventure,visualSoftness,known,0,0.90,ev-g1-art-jojo-bizarre-adventure
jojo-bizarre-adventure,motionImpact,unknown,,,ev-g1-art-jojo-bizarre-adventure
berserk,artRealism,known,3,0.86,ev-g1-art-berserk
berserk,artDensity,known,4,0.91,ev-g1-art-berserk
berserk,visualSoftness,known,0,0.88,ev-g1-art-berserk
berserk,motionImpact,unknown,,,ev-g1-art-berserk
vinland-saga,artRealism,known,3,0.88,ev-g1-art-vinland-saga
vinland-saga,artDensity,known,4,0.93,ev-g1-art-vinland-saga
vinland-saga,visualSoftness,known,1,0.82,ev-g1-art-vinland-saga
vinland-saga,motionImpact,known,4,0.86,ev-g1-art-vinland-saga
vagabond,artRealism,known,4,0.96,ev-g1-art-vagabond
vagabond,artDensity,known,4,0.94,ev-g1-art-vagabond
vagabond,visualSoftness,known,0,0.94,ev-g1-art-vagabond
vagabond,motionImpact,unknown,,,ev-g1-art-vagabond-motion
golden-kamuy,artRealism,known,4,0.92,ev-g1-art-golden-kamuy
golden-kamuy,artDensity,known,4,0.90,ev-g1-art-golden-kamuy
golden-kamuy,visualSoftness,known,0,0.90,ev-g1-art-golden-kamuy
golden-kamuy,motionImpact,known,4,0.93,ev-g1-art-golden-kamuy
made-in-abyss,artRealism,known,0,0.95,ev-g1-art-made-in-abyss
made-in-abyss,artDensity,known,4,0.96,ev-g1-art-made-in-abyss
made-in-abyss,visualSoftness,known,4,0.94,ev-g1-art-made-in-abyss
made-in-abyss,motionImpact,unknown,,,ev-g1-art-made-in-abyss
land-of-the-lustrous,artRealism,known,0,0.94,ev-g1-art-land-of-the-lustrous
land-of-the-lustrous,artDensity,known,2,0.93,ev-g1-art-land-of-the-lustrous
land-of-the-lustrous,visualSoftness,known,4,0.95,ev-g1-art-land-of-the-lustrous
land-of-the-lustrous,motionImpact,unknown,,,ev-g1-art-land-of-the-lustrous
mushishi,artRealism,known,2,0.91,ev-g1-art-mushishi
mushishi,artDensity,known,2,0.90,ev-g1-art-mushishi
mushishi,visualSoftness,known,4,0.93,ev-g1-art-mushishi
mushishi,motionImpact,unknown,,,ev-g1-art-mushishi
dr-stone,artRealism,known,2,0.93,ev-g1-art-dr-stone
dr-stone,artDensity,known,4,0.95,ev-g1-art-dr-stone
dr-stone,visualSoftness,known,0,0.92,ev-g1-art-dr-stone
dr-stone,motionImpact,known,4,0.92,ev-g1-art-dr-stone
promised-neverland,artRealism,known,2,0.91,ev-g1-art-promised-neverland
promised-neverland,artDensity,known,2,0.90,ev-g1-art-promised-neverland
promised-neverland,visualSoftness,known,2,0.90,ev-g1-art-promised-neverland
promised-neverland,motionImpact,unknown,,,ev-g1-art-promised-neverland
erased,artRealism,known,2,0.92,ev-g1-art-erased
erased,artDensity,known,2,0.91,ev-g1-art-erased
erased,visualSoftness,known,2,0.89,ev-g1-art-erased
erased,motionImpact,unknown,,,ev-g1-art-erased
20th-century-boys,artRealism,known,4,0.96,ev-g1-art-20th-century-boys
20th-century-boys,artDensity,known,4,0.95,ev-g1-art-20th-century-boys
20th-century-boys,visualSoftness,known,2,0.91,ev-g1-art-20th-century-boys
20th-century-boys,motionImpact,unknown,,,ev-g1-art-20th-century-boys
pluto,artRealism,known,4,0.96,ev-g1-art-pluto
pluto,artDensity,known,4,0.95,ev-g1-art-pluto
pluto,visualSoftness,known,2,0.91,ev-g1-art-pluto
pluto,motionImpact,unknown,,,ev-g1-art-pluto
ghost-in-the-shell,artRealism,known,4,0.95,ev-g1-art-ghost-in-the-shell
ghost-in-the-shell,artDensity,known,4,0.97,ev-g1-art-ghost-in-the-shell
ghost-in-the-shell,visualSoftness,known,0,0.94,ev-g1-art-ghost-in-the-shell
ghost-in-the-shell,motionImpact,known,4,0.93,ev-g1-art-ghost-in-the-shell
akira,artRealism,known,4,0.93,ev-g1-art-akira
akira,artDensity,known,4,0.94,ev-g1-art-akira
akira,visualSoftness,known,0,0.90,ev-g1-art-akira
akira,motionImpact,known,4,0.95,ev-g1-art-akira
witch-hat-atelier,artRealism,known,2,0.94,ev-g1-art-witch-hat-atelier
witch-hat-atelier,artDensity,known,4,0.97,ev-g1-art-witch-hat-atelier
witch-hat-atelier,visualSoftness,known,4,0.96,ev-g1-art-witch-hat-atelier
witch-hat-atelier,motionImpact,unknown,,,ev-g1-art-witch-hat-atelier
mob-psycho-100,artRealism,known,0,0.96,ev-g1-art-mob-psycho-100
mob-psycho-100,artDensity,known,0,0.94,ev-g1-art-mob-psycho-100
mob-psycho-100,visualSoftness,known,0,0.93,ev-g1-art-mob-psycho-100
mob-psycho-100,motionImpact,unknown,,,ev-g1-art-mob-psycho-100
natsumes-book-of-friends,artRealism,known,2,0.78,ev-g1-art-natsumes-book-of-friends
