id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-dungeon-meshi,dungeon-meshi,work,dungeon-meshi,model,https://www.kadokawa.co.jp/product/301411000826/,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.90,KADOKAWA 1~3권 서지와 공식 제1화를 초반 범위로 대조한 모델 초벌 주석
ev-kingdom,kingdom,work,kingdom,model,https://www.s-manga.net/items/contents.html?isbn=4-08-877079-X,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.92,集英社 1~3권 소개와 공식 미리보기를 초반 범위로 대조한 모델 초벌 주석
ev-fullmetal-alchemist,fullmetal-alchemist,work,fullmetal-alchemist,model,https://magazine.jp.square-enix.com/top/comics/detail/9784757506206/,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.92,SQUARE ENIX 1~3권 소개와 공식 제1화를 초반 범위로 대조한 모델 초벌 주석
ev-death-note,death-note,work,death-note,model,https://www.s-manga.net/items/contents.html?isbn=4088736214,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.93,集英社 1~3권 소개와 공식 미리보기를 초반 범위로 대조한 모델 초벌 주석
ev-spy-family,spy-family,work,spy-family,model,https://www.s-manga.net/items/contents.html?isbn=978-4-08-882011-8,2026-08-11T01:06:18+09:00,seed-annotation-panel-v1,false,0.91,集英社 1~3권 소개와 공식 미리보기를 초반 범위로 대조하고 motionImpact는 unknown으로 유지한 모델 초벌 주석
ev-frieren,frieren,work,frieren,model,https://shogakukan-comic.jp/book?isbn=9784098501809,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.92,小学館 1~3권과 공식 미리보기를 대조하고 romance는 unknown으로 유지한 모델 초벌 주석
ev-chainsaw-man,chainsaw-man,work,chainsaw-man,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-881780-4,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.96,集英社 1~3권과 공식 제1화를 초반 범위로 대조한 모델 초벌 주석
ev-blue-lock,blue-lock,work,blue-lock,model,https://www.kodansha.co.jp/r/comic/product?item=0000314505,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.96,講談社 1~3권과 マガポケ 공식 제1화를 초반 범위로 대조한 모델 초벌 주석
ev-monster,monster,work,monster,model,https://shogakukan-comic.jp/book?isbn=9784091817907,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.95,小学館 현행 완전판과 공식 미리보기 및 楽天 원판 서지를 대조한 모델 초벌 주석
ev-yotsuba-to,yotsuba-to,work,yotsuba-to,model,https://www.kadokawa.co.jp/product/312171800000/,2026-08-11T01:30:00+09:00,seed-annotation-panel-v1,false,0.95,KADOKAWA 1권과 공식 제1화를 대조하고 demographic은 unknown으로 유지한 모델 초벌 주석
ev-blame,blame,work,blame,model,https://www.kodansha.co.jp/comic/products/0000030097,2026-08-11T01:41:44+09:00,seed-annotation-panel-v1,false,0.94,講談社 1권 서지와 コミックDAYS 공식 LOG.1 미리보기를 초반 1~3권 범위로 대조한 모델 초벌 주석
ev-one-piece,one-piece,work,one-piece,model,https://books.shueisha.co.jp/items/contents.html?isbn=4-08-872509-3,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.91,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-naruto,naruto,work,naruto,model,https://books.shueisha.co.jp/items/contents.html?isbn=4-08-872840-8,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.91,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-dragon-ball,dragon-ball,work,dragon-ball,model,https://books.shueisha.co.jp/items/contents.html?isbn=4088518314,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.91,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-attack-on-titan,attack-on-titan,work,attack-on-titan,model,https://www.kodansha.co.jp/comic/products/0000017064,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,講談社 1권 서지·목차·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-demon-slayer,demon-slayer,work,demon-slayer,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-880723-2,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-jujutsu-kaisen,jujutsu-kaisen,work,jujutsu-kaisen,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-881516-9,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-my-hero-academia,my-hero-academia,work,my-hero-academia,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-880264-0,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-hunter-x-hunter,hunter-x-hunter,work,hunter-x-hunter,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-872571-0,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-jojo-bizarre-adventure,jojo-bizarre-adventure,work,jojo-bizarre-adventure,model,https://books.shueisha.co.jp/items/contents.html?isbn=4-08-851126-3,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.90,集英社 1권 서지·공식 소개와 원제 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-berserk,berserk,work,berserk,model,https://www.hakusensha.co.jp/comicslist/40773/,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.91,白泉社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-vinland-saga,vinland-saga,work,vinland-saga,model,https://www.kodansha.co.jp/comic/products/0000029270,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,講談社 1권 서지·목차·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-vagabond,vagabond,work,vagabond,model,https://www.kodansha.co.jp/comic/products/0000007491,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.90,講談社 1권 서지·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-golden-kamuy,golden-kamuy,work,golden-kamuy,model,https://books.shueisha.co.jp/items/contents.html?jdcn=08890082890082315501,2026-08-11T06:29:54+09:00,g1-chunk-a-model-v1,false,0.92,集英社 1권 서지·목차·공식 소개와 초반 1~3권 진입 경험을 바탕으로 작성한 패널 전 모델 초안
ev-made-in-abyss,made-in-abyss,work,made-in-abyss,model,https://takecomic.jp/series/3f846451aff2d/new,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.90,竹書房公式連載の1巻から3巻と現行15巻および楽天ブックス1巻書誌を照合したモデル初稿
ev-land-of-the-lustrous,land-of-the-lustrous,work,land-of-the-lustrous,model,https://www.kodansha.co.jp/comic/products/0000047266,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.91,講談社の1巻から3巻紹介と完結13巻および楽天ブックス1巻書誌を照合したモデル初稿
ev-mushishi,mushishi,work,mushishi,model,https://www.kodansha.co.jp/comic/products/0000030168,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.91,講談社の1巻から3巻紹介と完結10巻および楽天ブックス1巻書誌を照合したモデル初稿
ev-dr-stone,dr-stone,work,dr-stone,model,https://books.shueisha.co.jp/items/contents_amp.html?isbn=978-4-08-881184-0,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.93,集英社の1巻から3巻紹介と27巻および楽天ブックス1巻書誌を照合したモデル初稿
ev-promised-neverland,promised-neverland,work,promised-neverland,model,https://books.shueisha.co.jp/items/contents.html?isbn=978-4-08-880872-7,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.93,集英社の1巻から3巻紹介と完結20巻および楽天ブックス1巻書誌を照合したモデル初稿
ev-erased,erased,work,erased,model,https://www.kadokawa.co.jp/product/321208000180/,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.91,KADOKAWAの1巻から3巻紹介と同シリーズ9巻および楽天ブックス1巻書誌を照合したモデル初稿
ev-20th-century-boys,20th-century-boys,work,20th-century-boys,model,https://shogakukan-comic.jp/book?isbn=9784091855312,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.93,小学館の1巻から3巻紹介と全22巻一覧および楽天ブックス1巻書誌を照合したモデル初稿
ev-pluto,pluto,work,pluto,model,https://shogakukan-comic.jp/book?isbn=9784091874313,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.93,小学館の1巻から3巻紹介と全8巻一覧および楽天ブックス1巻書誌を照合したモデル初稿
ev-ghost-in-the-shell,ghost-in-the-shell,work,ghost-in-the-shell,model,https://www.kodansha.co.jp/comic/products/0000006425,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.90,講談社の原作1巻と2巻および1.5巻一覧と楽天ブックス1巻書誌を照合したモデル初稿
ev-akira,akira,work,akira,model,https://www.kodansha.co.jp/comic/products/0000002123,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.93,講談社の1巻から3巻紹介と全6巻および楽天ブックス1巻書誌を照合したモデル初稿
ev-witch-hat-atelier,witch-hat-atelier,work,witch-hat-atelier,model,https://www.kodansha.co.jp/comic/products/0000018887,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.93,講談社の1巻から3巻紹介と現行16巻および楽天ブックス1巻書誌を照合したモデル初稿
ev-mob-psycho-100,mob-psycho-100,work,mob-psycho-100,model,https://shogakukan-comic.jp/book?isbn=9784091241023,2026-08-11T06:28:47+09:00,g1-chunk-b-model-v1,false,0.93,小学館の1巻から3巻紹介と全16巻一覧および楽天ブックス1巻書誌を照合したモデル初稿
ev-g1c-natsumes-book-of-friends,natsumes-book-of-friends,work,natsumes-book-of-friends,model,https://www.hakusensha.co.jp/comicslist/40971/,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.90,白泉社 1권 서지와 공식 소개 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-march-comes-in-like-a-lion,march-comes-in-like-a-lion,work,march-comes-in-like-a-lion,model,https://www.hakusensha.co.jp/comicslist/43152/,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.91,白泉社 1권 서지와 공식 작품 페이지 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-a-silent-voice,a-silent-voice,work,a-silent-voice,model,https://www.kodansha.co.jp/comic/products/0000019055,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.92,講談社 1권 서지와 공식 소개 및 초반 1~3권 범위를 대조한 모델 초벌 주석
