workId,axisId,state,value,confidence,evidenceId
dungeon-meshi,progression,known,1,0.83,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,problemSolving,known,4,0.98,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,strategy,known,2,0.93,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,pacing,known,3,0.92,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,mysteryReveal,known,3,0.91,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,worldBuilding,known,4,0.99,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,characterArcWeight,known,2,0.90,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,relationshipStructure,known,2,0.95,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,comedy,known,4,0.96,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,darkness,known,2,0.93,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,mentalStress,known,2,0.90,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,romance,unknown,,,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,emotionalWarmth,known,3,0.94,ev-g1-adjudicated-dungeon-meshi
dungeon-meshi,artRealism,known,2,0.88,ev-g1-art-dungeon-meshi
dungeon-meshi,artDensity,known,3,0.89,ev-g1-art-dungeon-meshi
dungeon-meshi,visualSoftness,known,2,0.84,ev-g1-art-dungeon-meshi
dungeon-meshi,motionImpact,known,3,0.86,ev-g1-art-dungeon-meshi
kingdom,progression,known,3,0.94,ev-g1-adjudicated-kingdom
kingdom,problemSolving,known,2,0.92,ev-g1-adjudicated-kingdom
kingdom,strategy,known,4,0.96,ev-g1-adjudicated-kingdom
kingdom,pacing,known,4,0.96,ev-g1-adjudicated-kingdom
kingdom,mysteryReveal,known,1,0.80,ev-g1-adjudicated-kingdom
kingdom,worldBuilding,known,4,0.98,ev-g1-adjudicated-kingdom
kingdom,characterArcWeight,known,3,0.93,ev-g1-adjudicated-kingdom
kingdom,relationshipStructure,known,3,0.92,ev-g1-adjudicated-kingdom
