id,title,titleKana,creators,publisher,demographic,status,firstPublishedYear,genres,factorScope,onboardingEligible,recommendationEligible,libraryOnly,metadataConfidence,groupingConfidence,sourceAgreement,annotationReviewMethod,annotationReviewedAt,annotationReviewReference,evidenceId
dungeon-meshi,ダンジョン飯,ダンジョンメシ,九井諒子,KADOKAWA,unknown,completed,2014,action;fantasy;comedy,entry_1_3_volumes,true,true,false,0.95,0.98,0.95,unreviewed,,,ev-dungeon-meshi
kingdom,キングダム,キングダム,原泰久,集英社,seinen,ongoing,2006,action;historical,entry_1_3_volumes,true,true,false,0.98,0.99,0.98,unreviewed,,,ev-kingdom
fullmetal-alchemist,鋼の錬金術師,ハガネノレンキンジュツシ,荒川弘,スクウェア・エニックス,shonen,completed,2001,action;fantasy,entry_1_3_volumes,true,true,false,0.98,0.99,0.98,unreviewed,,,ev-fullmetal-alchemist
death-note,DEATH NOTE,デスノート,大場つぐみ;小畑健,集英社,shonen,completed,2003,mystery;horror,entry_1_3_volumes,true,true,false,0.98,0.99,0.98,unreviewed,,,ev-death-note
spy-family,SPY×FAMILY,スパイファミリー,遠藤達哉,集英社,shonen,ongoing,2019,action;comedy;sliceOfLife,entry_1_3_volumes,true,true,false,0.98,0.99,0.98,unreviewed,,,ev-spy-family
frieren,葬送のフリーレン,ソウソウノフリーレン,山田鐘人;アベツカサ,小学館,shonen,hiatus,2020,fantasy,entry_1_3_volumes,true,true,false,0.98,0.99,0.92,unreviewed,,,ev-frieren
chainsaw-man,チェンソーマン,チェンソーマン,藤本タツキ,集英社,shonen,completed,2018,action;fantasy;horror;comedy,entry_1_3_volumes,true,true,false,0.99,0.99,0.99,unreviewed,,,ev-chainsaw-man
blue-lock,ブルーロック,ブルーロック,金城宗幸;ノ村優介,講談社,shonen,ongoing,2018,sports,entry_1_3_volumes,true,true,false,0.99,0.99,0.99,unreviewed,,,ev-blue-lock
monster,MONSTER,モンスター,浦沢直樹,小学館,seinen,completed,1994,mystery;horror,entry_1_3_volumes,true,true,false,0.98,0.95,0.97,unreviewed,,,ev-monster
yotsuba-to,よつばと！,ヨツバト,あずまきよひこ,KADOKAWA,unknown,ongoing,2003,comedy;sliceOfLife,entry_1_3_volumes,true,true,false,0.98,0.99,0.95,unreviewed,,,ev-yotsuba-to
blame,BLAME!,ブラム,弐瓶勉,講談社,seinen,completed,1997,action;scienceFiction,entry_1_3_volumes,true,true,false,0.99,0.99,0.99,unreviewed,,,ev-blame
one-piece,ONE PIECE,ワンピース,尾田栄一郎,集英社,shonen,ongoing,1997,action;fantasy;comedy,entry_1_3_volumes,true,true,false,0.98,0.99,0.91,unreviewed,,,ev-one-piece
naruto,NARUTO―ナルト―,ナルト,岸本斉史,集英社,shonen,completed,1999,action;fantasy;comedy,entry_1_3_volumes,false,true,false,0.98,0.99,0.91,unreviewed,,,ev-naruto
dragon-ball,DRAGON BALL,ドラゴンボール,鳥山明,集英社,shonen,completed,1984,action;fantasy;comedy,entry_1_3_volumes,true,true,false,0.98,0.99,0.91,unreviewed,,,ev-dragon-ball
attack-on-titan,進撃の巨人,シンゲキノキョジン,諫山創,講談社,shonen,completed,2009,action;fantasy;horror,entry_1_3_volumes,true,true,false,0.99,0.99,0.92,unreviewed,,,ev-attack-on-titan
demon-slayer,鬼滅の刃,キメツノヤイバ,吾峠呼世晴,集英社,shonen,completed,2016,action;fantasy;historical;horror,entry_1_3_volumes,false,true,false,0.99,0.99,0.92,unreviewed,,,ev-demon-slayer
jujutsu-kaisen,呪術廻戦,ジュジュツカイセン,芥見下々,集英社,shonen,completed,2018,action;fantasy;horror,entry_1_3_volumes,false,true,false,0.99,0.99,0.92,unreviewed,,,ev-jujutsu-kaisen
my-hero-academia,僕のヒーローアカデミア,ボクノヒーローアカデミア,堀越耕平,集英社,shonen,completed,2014,action;fantasy;comedy,entry_1_3_volumes,false,true,false,0.99,0.99,0.92,unreviewed,,,ev-my-hero-academia
hunter-x-hunter,HUNTER×HUNTER,ハンターハンター,冨樫義博,集英社,shonen,ongoing,1998,action;fantasy;comedy,entry_1_3_volumes,true,true,false,0.99,0.99,0.92,unreviewed,,,ev-hunter-x-hunter
jojo-bizarre-adventure,ジョジョの奇妙な冒険,ジョジョノキミョウナボウケン,荒木飛呂彦,集英社,shonen,completed,1986,action;fantasy;historical;mystery;horror,entry_1_3_volumes,false,true,false,0.98,0.98,0.90,unreviewed,,,ev-jojo-bizarre-adventure
