workId,axisId,state,value,confidence,evidenceId
one-piece,progression,known,2,0.84,ev-one-piece
one-piece,problemSolving,known,2,0.80,ev-one-piece
one-piece,strategy,known,0,0.78,ev-one-piece
one-piece,pacing,known,4,0.92,ev-one-piece
one-piece,mysteryReveal,known,2,0.78,ev-one-piece
one-piece,worldBuilding,known,4,0.92,ev-one-piece
one-piece,characterArcWeight,known,4,0.88,ev-one-piece
one-piece,relationshipStructure,known,2,0.86,ev-one-piece
one-piece,comedy,known,4,0.94,ev-one-piece
one-piece,darkness,known,2,0.84,ev-one-piece
one-piece,mentalStress,known,1,0.78,ev-one-piece
one-piece,romance,known,0,0.88,ev-one-piece
one-piece,emotionalWarmth,known,4,0.90,ev-one-piece
one-piece,artRealism,known,0,0.86,ev-one-piece
one-piece,artDensity,known,2,0.80,ev-one-piece
one-piece,visualSoftness,known,0,0.82,ev-one-piece
one-piece,motionImpact,unknown,,,ev-one-piece
naruto,progression,known,4,0.90,ev-naruto
naruto,problemSolving,known,2,0.84,ev-naruto
naruto,strategy,known,2,0.84,ev-naruto
naruto,pacing,known,4,0.91,ev-naruto
naruto,mysteryReveal,known,2,0.80,ev-naruto
naruto,worldBuilding,known,4,0.91,ev-naruto
naruto,characterArcWeight,known,4,0.90,ev-naruto
naruto,relationshipStructure,known,2,0.86,ev-naruto
naruto,comedy,known,4,0.90,ev-naruto
naruto,darkness,known,2,0.86,ev-naruto
naruto,mentalStress,known,2,0.82,ev-naruto
naruto,romance,known,1,0.78,ev-naruto
naruto,emotionalWarmth,known,4,0.88,ev-naruto
naruto,artRealism,known,2,0.84,ev-naruto
naruto,artDensity,known,2,0.82,ev-naruto
naruto,visualSoftness,known,2,0.80,ev-naruto
naruto,motionImpact,unknown,,,ev-naruto
dragon-ball,progression,known,2,0.84,ev-dragon-ball
dragon-ball,problemSolving,known,2,0.84,ev-dragon-ball
dragon-ball,strategy,known,0,0.84,ev-dragon-ball
dragon-ball,pacing,known,4,0.94,ev-dragon-ball
dragon-ball,mysteryReveal,known,0,0.86,ev-dragon-ball
dragon-ball,worldBuilding,known,2,0.86,ev-dragon-ball
dragon-ball,characterArcWeight,known,2,0.84,ev-dragon-ball
dragon-ball,relationshipStructure,known,2,0.84,ev-dragon-ball
dragon-ball,comedy,known,4,0.96,ev-dragon-ball
dragon-ball,darkness,known,0,0.92,ev-dragon-ball
dragon-ball,mentalStress,known,0,0.92,ev-dragon-ball
dragon-ball,romance,known,2,0.80,ev-dragon-ball
dragon-ball,emotionalWarmth,known,2,0.84,ev-dragon-ball
dragon-ball,artRealism,known,0,0.90,ev-dragon-ball
dragon-ball,artDensity,known,2,0.84,ev-dragon-ball
dragon-ball,visualSoftness,known,2,0.84,ev-dragon-ball
dragon-ball,motionImpact,unknown,,,ev-dragon-ball
attack-on-titan,progression,known,2,0.80,ev-attack-on-titan
attack-on-titan,problemSolving,known,2,0.84,ev-attack-on-titan
attack-on-titan,strategy,known,2,0.82,ev-attack-on-titan
attack-on-titan,pacing,known,4,0.94,ev-attack-on-titan
attack-on-titan,mysteryReveal,known,4,0.90,ev-attack-on-titan
attack-on-titan,worldBuilding,known,4,0.94,ev-attack-on-titan
attack-on-titan,characterArcWeight,known,4,0.92,ev-attack-on-titan
attack-on-titan,relationshipStructure,known,4,0.90,ev-attack-on-titan
attack-on-titan,comedy,known,0,0.94,ev-attack-on-titan
attack-on-titan,darkness,known,4,0.98,ev-attack-on-titan
attack-on-titan,mentalStress,known,4,0.96,ev-attack-on-titan
attack-on-titan,romance,known,0,0.90,ev-attack-on-titan
attack-on-titan,emotionalWarmth,known,2,0.82,ev-attack-on-titan
attack-on-titan,artRealism,known,2,0.80,ev-attack-on-titan
attack-on-titan,artDensity,known,2,0.78,ev-attack-on-titan
attack-on-titan,visualSoftness,known,0,0.90,ev-attack-on-titan
attack-on-titan,motionImpact,unknown,,,ev-attack-on-titan
demon-slayer,progression,known,4,0.90,ev-demon-slayer
demon-slayer,problemSolving,known,2,0.84,ev-demon-slayer
demon-slayer,strategy,known,2,0.82,ev-demon-slayer
demon-slayer,pacing,known,4,0.92,ev-demon-slayer
demon-slayer,mysteryReveal,known,2,0.80,ev-demon-slayer
demon-slayer,worldBuilding,known,4,0.90,ev-demon-slayer
demon-slayer,characterArcWeight,known,4,0.92,ev-demon-slayer
demon-slayer,relationshipStructure,known,2,0.86,ev-demon-slayer
demon-slayer,comedy,known,2,0.86,ev-demon-slayer
demon-slayer,darkness,known,4,0.94,ev-demon-slayer
demon-slayer,mentalStress,known,2,0.84,ev-demon-slayer
demon-slayer,romance,known,0,0.92,ev-demon-slayer
demon-slayer,emotionalWarmth,known,4,0.92,ev-demon-slayer
demon-slayer,artRealism,known,2,0.82,ev-demon-slayer
demon-slayer,artDensity,known,2,0.80,ev-demon-slayer
demon-slayer,visualSoftness,known,2,0.82,ev-demon-slayer
demon-slayer,motionImpact,unknown,,,ev-demon-slayer
jujutsu-kaisen,progression,known,2,0.84,ev-jujutsu-kaisen
jujutsu-kaisen,problemSolving,known,2,0.84,ev-jujutsu-kaisen
jujutsu-kaisen,strategy,known,2,0.84,ev-jujutsu-kaisen
jujutsu-kaisen,pacing,known,4,0.94,ev-jujutsu-kaisen
jujutsu-kaisen,mysteryReveal,known,2,0.82,ev-jujutsu-kaisen
jujutsu-kaisen,worldBuilding,known,4,0.92,ev-jujutsu-kaisen
jujutsu-kaisen,characterArcWeight,known,2,0.84,ev-jujutsu-kaisen
jujutsu-kaisen,relationshipStructure,known,2,0.86,ev-jujutsu-kaisen
jujutsu-kaisen,comedy,known,2,0.86,ev-jujutsu-kaisen
jujutsu-kaisen,darkness,known,4,0.96,ev-jujutsu-kaisen
jujutsu-kaisen,mentalStress,known,4,0.92,ev-jujutsu-kaisen
jujutsu-kaisen,romance,known,0,0.94,ev-jujutsu-kaisen
jujutsu-kaisen,emotionalWarmth,known,2,0.82,ev-jujutsu-kaisen
jujutsu-kaisen,artRealism,known,2,0.84,ev-jujutsu-kaisen
jujutsu-kaisen,artDensity,known,2,0.82,ev-jujutsu-kaisen
jujutsu-kaisen,visualSoftness,known,0,0.88,ev-jujutsu-kaisen
jujutsu-kaisen,motionImpact,unknown,,,ev-jujutsu-kaisen
my-hero-academia,progression,known,4,0.94,ev-my-hero-academia
my-hero-academia,problemSolving,known,2,0.84,ev-my-hero-academia
my-hero-academia,strategy,known,2,0.86,ev-my-hero-academia
my-hero-academia,pacing,known,4,0.92,ev-my-hero-academia
my-hero-academia,mysteryReveal,known,0,0.86,ev-my-hero-academia
my-hero-academia,worldBuilding,known,4,0.92,ev-my-hero-academia
my-hero-academia,characterArcWeight,known,4,0.92,ev-my-hero-academia
my-hero-academia,relationshipStructure,known,2,0.90,ev-my-hero-academia
my-hero-academia,comedy,known,2,0.86,ev-my-hero-academia
my-hero-academia,darkness,known,2,0.84,ev-my-hero-academia
my-hero-academia,mentalStress,known,2,0.82,ev-my-hero-academia
my-hero-academia,romance,known,1,0.76,ev-my-hero-academia
my-hero-academia,emotionalWarmth,known,2,0.90,ev-my-hero-academia
my-hero-academia,artRealism,known,1,0.90,ev-my-hero-academia
my-hero-academia,artDensity,known,3,0.86,ev-my-hero-academia
my-hero-academia,visualSoftness,known,1,0.87,ev-my-hero-academia
my-hero-academia,motionImpact,known,4,0.94,ev-my-hero-academia
hunter-x-hunter,progression,known,2,0.84,ev-hunter-x-hunter
hunter-x-hunter,problemSolving,known,4,0.92,ev-hunter-x-hunter
hunter-x-hunter,strategy,known,2,0.90,ev-hunter-x-hunter
hunter-x-hunter,pacing,known,4,0.92,ev-hunter-x-hunter
hunter-x-hunter,mysteryReveal,known,2,0.82,ev-hunter-x-hunter
hunter-x-hunter,worldBuilding,known,4,0.92,ev-hunter-x-hunter
hunter-x-hunter,characterArcWeight,known,4,0.88,ev-hunter-x-hunter
hunter-x-hunter,relationshipStructure,known,2,0.88,ev-hunter-x-hunter
hunter-x-hunter,comedy,known,2,0.84,ev-hunter-x-hunter
hunter-x-hunter,darkness,known,2,0.84,ev-hunter-x-hunter
hunter-x-hunter,mentalStress,known,2,0.82,ev-hunter-x-hunter
hunter-x-hunter,romance,known,0,0.92,ev-hunter-x-hunter
hunter-x-hunter,emotionalWarmth,known,4,0.88,ev-hunter-x-hunter
hunter-x-hunter,artRealism,known,2,0.82,ev-hunter-x-hunter
hunter-x-hunter,artDensity,known,2,0.82,ev-hunter-x-hunter
hunter-x-hunter,visualSoftness,known,2,0.82,ev-hunter-x-hunter
hunter-x-hunter,motionImpact,unknown,,,ev-hunter-x-hunter
jojo-bizarre-adventure,progression,known,2,0.82,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,problemSolving,known,2,0.82,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,strategy,known,2,0.84,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,pacing,known,4,0.92,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,mysteryReveal,known,4,0.90,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,worldBuilding,known,4,0.90,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,characterArcWeight,known,4,0.92,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,relationshipStructure,known,2,0.86,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,comedy,known,0,0.84,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,darkness,known,4,0.96,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,mentalStress,known,4,0.90,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,romance,known,2,0.84,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,emotionalWarmth,known,2,0.80,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,artRealism,known,4,0.90,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,artDensity,known,4,0.88,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,visualSoftness,known,0,0.90,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,motionImpact,unknown,,,ev-jojo-bizarre-adventure
berserk,progression,known,0,0.88,ev-berserk
berserk,problemSolving,known,0,0.80,ev-berserk
berserk,strategy,known,0,0.86,ev-berserk
berserk,pacing,known,4,0.92,ev-berserk
berserk,mysteryReveal,known,4,0.88,ev-berserk
berserk,worldBuilding,known,4,0.92,ev-berserk
berserk,characterArcWeight,known,4,0.94,ev-berserk
berserk,relationshipStructure,known,0,0.82,ev-berserk
berserk,comedy,unknown,,,ev-berserk
berserk,darkness,known,4,0.98,ev-berserk
berserk,mentalStress,known,4,0.94,ev-berserk
berserk,romance,known,0,0.88,ev-berserk
berserk,emotionalWarmth,known,0,0.90,ev-berserk
berserk,artRealism,known,3,0.86,ev-berserk
berserk,artDensity,known,4,0.91,ev-berserk
berserk,visualSoftness,known,0,0.88,ev-berserk
berserk,motionImpact,unknown,,,ev-berserk
vinland-saga,progression,known,2,0.82,ev-vinland-saga
vinland-saga,problemSolving,known,2,0.82,ev-vinland-saga
vinland-saga,strategy,known,2,0.84,ev-vinland-saga
vinland-saga,pacing,known,4,0.92,ev-vinland-saga
vinland-saga,mysteryReveal,known,0,0.84,ev-vinland-saga
vinland-saga,worldBuilding,known,4,0.94,ev-vinland-saga
vinland-saga,characterArcWeight,known,4,0.94,ev-vinland-saga
vinland-saga,relationshipStructure,known,4,0.90,ev-vinland-saga
vinland-saga,comedy,known,0,0.88,ev-vinland-saga
vinland-saga,darkness,known,4,0.96,ev-vinland-saga
vinland-saga,mentalStress,known,4,0.92,ev-vinland-saga
vinland-saga,romance,known,0,0.92,ev-vinland-saga
vinland-saga,emotionalWarmth,known,2,0.82,ev-vinland-saga
vinland-saga,artRealism,known,3,0.88,ev-vinland-saga
vinland-saga,artDensity,known,4,0.93,ev-vinland-saga
vinland-saga,visualSoftness,known,1,0.82,ev-vinland-saga
vinland-saga,motionImpact,known,4,0.86,ev-vinland-saga
vagabond,progression,known,4,0.92,ev-vagabond
vagabond,problemSolving,known,2,0.82,ev-vagabond
vagabond,strategy,known,2,0.84,ev-vagabond
vagabond,pacing,known,2,0.86,ev-vagabond
vagabond,mysteryReveal,known,0,0.86,ev-vagabond
vagabond,worldBuilding,known,2,0.82,ev-vagabond
vagabond,characterArcWeight,known,4,0.94,ev-vagabond
vagabond,relationshipStructure,known,2,0.84,ev-vagabond
vagabond,comedy,known,0,0.88,ev-vagabond
vagabond,darkness,known,4,0.94,ev-vagabond
vagabond,mentalStress,known,4,0.90,ev-vagabond
vagabond,romance,known,2,0.82,ev-vagabond
vagabond,emotionalWarmth,known,2,0.80,ev-vagabond
vagabond,artRealism,unknown,,,ev-vagabond
vagabond,artDensity,unknown,,,ev-vagabond
vagabond,visualSoftness,unknown,,,ev-vagabond
vagabond,motionImpact,unknown,,,ev-vagabond
golden-kamuy,progression,known,0,0.88,ev-golden-kamuy
golden-kamuy,problemSolving,known,4,0.92,ev-golden-kamuy
golden-kamuy,strategy,known,2,0.86,ev-golden-kamuy
golden-kamuy,pacing,known,4,0.92,ev-golden-kamuy
golden-kamuy,mysteryReveal,known,4,0.92,ev-golden-kamuy
golden-kamuy,worldBuilding,known,4,0.94,ev-golden-kamuy
golden-kamuy,characterArcWeight,known,4,0.90,ev-golden-kamuy
golden-kamuy,relationshipStructure,known,4,0.90,ev-golden-kamuy
golden-kamuy,comedy,known,4,0.94,ev-golden-kamuy
golden-kamuy,darkness,known,4,0.92,ev-golden-kamuy
